,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.56,-20.47,,,,,,,,PLAT,SET,PROPCON,PROP
1Q2558,421.54,,,140.16,0.06,2.07,2.66,73.34,21.04,33.25,0.19,-51.50,5.75,"16,100.00",36.72,0.00,0.00,1.08,13.26,PLAT,SET,PROPCON,PROP
2Q2558,442.78,-11.44,,159.19,0.06,1.70,2.02,70.90,18.86,35.95,0.18,-61.91,5.55,"15,540.00",31.22,1.97,2.82,1.12,14.41,PLAT,SET,PROPCON,PROP
3Q2558,431.81,0.98,,158.78,0.06,1.70,2.00,71.73,17.95,36.77,0.17,-65.41,5.25,"14,700.00",26.76,1.87,2.81,1.18,11.29,PLAT,SET,PROPCON,PROP
4Q2558,472.31,13.86,,171.40,0.06,1.81,2.11,67.72,20.54,36.29,0.16,-103.16,5.00,"14,000.00",23.91,1.74,2.87,1.24,16.03,PLAT,SET,PROPCON,PROP
1Q2559,462.59,-0.70,1.11,178.90,0.06,1.85,2.16,71.68,16.45,38.67,0.17,-90.42,5.45,"15,260.00",24.24,1.86,2.93,2.89,16.59,PLAT,SET,PROPCON,PROP
2Q2559,449.74,-12.18,0.27,165.36,0.06,1.72,2.01,74.80,17.49,36.77,0.17,-107.02,6.30,"17,640.00",26.40,2.10,2.99,2.50,18.77,PLAT,SET,PROPCON,PROP
3Q2559,469.01,19.16,18.32,178.94,0.07,1.88,2.18,74.85,18.00,38.15,0.16,-124.18,6.25,"17,500.00",25.95,2.16,2.90,2.52,18.08,PLAT,SET,PROPCON,PROP
4Q2559,481.86,-3.35,0.44,180.96,0.06,1.87,2.16,76.03,19.43,37.55,0.16,-143.18,7.25,"20,300.00",29.23,2.45,2.96,2.17,20.71,PLAT,SET,PROPCON,PROP
1Q2560,497.59,2.66,3.83,185.74,0.07,1.87,2.17,75.82,17.33,37.33,0.16,-140.33,7.40,"20,720.00",29.43,2.45,3.02,2.43,20.83,PLAT,SET,PROPCON,PROP
2Q2560,499.81,-0.33,17.84,185.14,0.07,1.86,2.18,75.54,17.78,37.04,0.18,-155.43,7.05,"19,740.00",27.76,2.28,3.09,2.55,19.52,PLAT,SET,PROPCON,PROP
3Q2560,517.45,6.79,5.61,197.71,0.07,1.97,2.34,75.17,17.13,38.21,0.19,-220.59,9.10,"25,480.00",34.87,3.06,2.98,1.98,24.32,PLAT,SET,PROPCON,PROP
4Q2560,543.64,2.85,12.38,203.35,0.07,1.97,2.36,77.95,16.92,37.41,0.20,-297.13,8.15,"22,820.00",30.45,2.68,3.05,2.21,20.84,PLAT,SET,PROPCON,PROP
1Q2561,530.83,-0.12,9.33,203.08,0.07,1.91,2.30,77.14,17.62,38.26,0.21,-381.23,8.10,"22,680.00",29.38,2.60,3.12,2.47,20.50,PLAT,SET,PROPCON,PROP
2Q2561,516.66,-2.23,7.24,198.55,0.07,1.87,2.27,79.53,16.68,38.43,0.22,-441.34,7.60,"21,280.00",26.96,2.38,3.19,2.63,19.03,PLAT,SET,PROPCON,PROP
3Q2561,512.12,-6.13,-5.74,185.89,0.07,1.73,2.14,80.08,18.78,36.30,0.26,-521.65,8.60,"24,080.00",30.00,2.81,3.06,2.33,21.79,PLAT,SET,PROPCON,PROP
4Q2561,557.22,5.72,-3.10,197.52,0.07,1.77,2.23,74.18,20.43,35.45,0.27,-561.97,7.25,"20,300.00",25.67,2.32,3.13,2.76,18.75,PLAT,SET,PROPCON,PROP
1Q2562,603.91,2.10,-0.94,201.18,0.07,1.75,2.22,79.33,16.68,33.31,0.28,-622.39,6.50,"18,200.00",23.18,2.03,3.20,3.08,17.17,PLAT,SET,PROPCON,PROP
2Q2562,650.32,-11.52,-10.35,177.98,0.06,1.54,1.98,78.00,18.02,27.37,0.29,-641.70,6.35,"17,780.00",22.70,1.94,3.27,3.15,16.68,PLAT,SET,PROPCON,PROP
3Q2562,605.15,-14.14,-18.00,156.55,0.05,1.37,1.77,75.80,17.91,25.87,0.29,-636.06,5.20,"14,560.00",19.09,1.66,3.14,3.85,14.04,PLAT,SET,PROPCON,PROP
4Q2562,605.13,19.73,-7.13,179.28,0.07,1.54,1.99,77.52,15.32,29.63,0.28,-695.79,4.08,"11,424.00",15.58,1.28,3.19,4.90,11.34,PLAT,SET,PROPCON,PROP
1Q2563,458.45,-85.63,-86.93,26.29,0.01,0.21,0.29,75.60,18.16,5.74,0.45,-682.48,2.04,"5,712.00",,,,9.80,8.32,PLAT,SET,PROPCON,PROP
2Q2563,186.82,,,-57.50,-0.02,-0.45,-0.65,53.60,32.65,-30.78,0.44,-678.61,3.10,"8,680.00",16.07,0.95,3.27,6.45,14.39,PLAT,SET,PROPCON,PROP
3Q2563,156.13,-73.08,,-99.54,-0.04,-0.83,-1.17,45.60,39.47,-63.76,0.40,-580.84,2.26,"6,328.00",20.77,0.74,3.04,8.85,16.05,PLAT,SET,PROPCON,PROP
4Q2563,130.59,-19.49,,-118.95,-0.04,-1.02,-1.42,40.87,44.29,-91.08,0.39,-412.90,2.46,"6,888.00",141.95,0.82,3.01,8.13,36.71,PLAT,SET,PROPCON,PROP
1Q2564,141.05,-14.69,,-136.41,-0.05,-1.18,-1.66,26.43,68.17,-96.70,0.40,-249.21,3.34,"9,352.00",N/A,1.13,2.97,0.00,148.72,PLAT,SET,PROPCON,PROP
2Q2564,102.95,0.99,-134.86,-135.08,-0.05,-1.18,-1.67,30.86,64.16,-131.21,0.42,-318.65,3.08,"8,624.00",N/A,1.06,2.92,0.00,-849.73,PLAT,SET,PROPCON,PROP
3Q2564,77.33,-12.85,-53.14,-152.43,-0.05,-1.33,-1.91,-0.38,76.14,-197.12,0.45,-414.99,3.26,"9,128.00",N/A,1.14,2.87,0.00,-185.25,PLAT,SET,PROPCON,PROP
4Q2564,121.94,46.40,31.31,-81.71,-0.03,-0.71,-1.04,49.58,42.90,-67.01,0.48,-602.12,2.98,"8,344.00",N/A,1.06,2.82,0.00,-695.45,PLAT,SET,PROPCON,PROP
1Q2565,108.69,-65.42,0.92,-135.15,-0.05,-1.15,-1.75,41.24,52.34,-124.35,0.54,"-1,020.67",3.12,"8,736.00",,,,0.00,-834.20,PLAT,SET,PROPCON,PROP
2Q2565,171.45,39.57,39.53,-81.68,-0.03,-0.68,-1.07,59.13,36.58,-47.64,0.60,"-1,390.45",3.24,"9,128.00",N/A,1.19,2.74,0.00,287.29,PLAT,SET,PROPCON,PROP
