,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,931.39,5.88,63.64,106.87,0.18,5.79,9.37,86.39,12.19,11.47,0.60,-94.01,4.04,"2,626.00",8.41,2.22,1.82,5.94,7.01,PM,SET,AGRO,FOOD
2Q2555,897.13,-27.78,44.44,78.52,0.13,4.15,6.59,82.28,17.57,8.75,0.58,-97.74,5.70,"3,705.00",10.42,2.86,2.00,4.21,8.72,PM,SET,AGRO,FOOD
3Q2555,"1,001.29",30.77,54.55,104.36,0.17,5.61,8.66,83.85,14.86,10.42,0.51,-101.94,5.60,"3,640.00",9.57,2.82,1.99,4.29,8.14,PM,SET,AGRO,FOOD
4Q2555,"1,093.20",17.65,17.65,118.98,0.20,6.15,9.29,83.87,15.15,10.88,0.52,-93.37,7.35,"4,777.50",11.32,3.60,2.04,3.27,9.81,PM,SET,AGRO,FOOD
1Q2556,"1,024.16",4.41,16.01,124.93,0.21,5.93,8.97,86.11,12.51,12.20,0.51,-85.29,10.50,"6,825.00",15.37,4.69,2.24,3.52,13.14,PM,SET,AGRO,FOOD
2Q2556,961.38,-37.18,0.91,75.90,0.13,3.62,5.39,81.74,18.10,7.90,0.47,-81.12,9.80,"6,370.00",13.74,4.06,2.22,3.78,12.34,PM,SET,AGRO,FOOD
3Q2556,974.16,29.59,0.00,104.75,0.17,5.21,7.67,82.05,17.31,10.75,0.48,-5.05,8.55,"5,557.50",12.06,3.73,2.29,4.33,11.22,PM,SET,AGRO,FOOD
4Q2556,"1,070.74",12.96,-3.99,114.40,0.19,5.40,7.96,82.02,17.25,10.68,0.47,-3.01,7.30,"4,745.00",10.29,3.21,2.28,5.07,10.20,PM,SET,AGRO,FOOD
1Q2557,"1,006.20",13.14,4.05,129.98,0.22,5.64,8.23,85.27,13.63,12.92,0.45,-3.16,8.60,"5,590.00",12.25,3.40,2.53,5.81,11.77,PM,SET,AGRO,FOOD
2Q2557,"1,009.76",-44.61,-8.26,71.99,0.12,3.15,4.54,81.45,17.80,7.13,0.43,-5.14,10.10,"6,042.28",14.22,3.68,2.75,4.95,12.81,PM,SET,AGRO,FOOD
3Q2557,"1,025.81",31.98,-6.58,95.01,0.16,4.46,6.32,82.78,16.23,9.26,0.41,-74.07,9.85,"5,892.72",13.99,3.85,2.56,5.08,12.45,PM,SET,AGRO,FOOD
4Q2557,"1,054.04",38.28,14.36,131.38,0.22,5.99,8.52,84.58,14.97,12.46,0.43,-73.03,9.00,"5,384.21",13.09,3.65,2.47,5.56,11.22,PM,SET,AGRO,FOOD
