,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.39,,,,,,,,,PMTA,SET,INDUS,PETRO
1Q2558,588.13,,,37.86,0.41,2.31,3.30,,9.22,6.44,0.47,,,,,,,,,PMTA,SET,INDUS,PETRO
2Q2558,987.96,75.61,,70.44,0.72,3.72,5.53,,7.17,7.13,0.50,,20.00,"2,024.00",9.93,0.00,0.00,0.00,14.94,PMTA,SET,INDUS,PETRO
3Q2558,816.69,-33.33,,49.11,0.48,2.48,3.41,,7.14,6.01,0.25,,18.20,"1,841.84",8.50,1.30,14.02,0.00,8.32,PMTA,SET,INDUS,PETRO
4Q2558,918.17,56.25,,75.59,0.75,3.99,5.04,,7.08,8.23,0.28,,0.00,"1,963.28",9.35,1.34,14.45,0.00,6.02,PMTA,SET,INDUS,PETRO
1Q2559,619.01,-65.18,-36.30,26.43,0.26,1.33,1.70,,9.83,4.27,0.28,,20.60,"2,084.72",8.95,1.36,15.20,5.44,6.70,PMTA,SET,INDUS,PETRO
2Q2559,837.77,136.95,-14.05,62.61,0.62,3.11,4.07,,8.24,7.47,0.34,,19.20,"1,943.04",8.77,1.24,15.49,5.83,6.67,PMTA,SET,INDUS,PETRO
3Q2559,807.40,22.81,58.33,77.10,0.76,3.97,4.99,,10.27,9.55,0.17,,19.00,"1,922.80",9.00,1.28,14.90,5.89,5.33,PMTA,SET,INDUS,PETRO
4Q2559,974.20,44.74,46.67,110.89,1.10,5.74,6.78,,8.58,11.38,0.19,,19.10,"1,932.92",8.00,1.22,15.61,5.86,4.45,PMTA,SET,INDUS,PETRO
1Q2560,552.70,-98.18,-92.34,2.25,0.02,0.12,0.14,,14.55,0.41,0.16,,22.70,"2,297.24",8.29,1.36,16.69,5.15,5.67,PMTA,SET,INDUS,PETRO
2Q2560,804.84,"3,550.00",17.96,73.95,0.73,3.92,4.68,,7.75,9.19,0.24,,20.00,"2,024.00",8.00,1.26,15.84,5.85,5.12,PMTA,SET,INDUS,PETRO
3Q2560,751.17,-21.92,-25.00,56.92,0.57,2.91,3.59,,9.65,7.58,0.23,,19.40,"1,963.28",7.43,1.26,15.37,6.03,5.40,PMTA,SET,INDUS,PETRO
4Q2560,768.21,0.00,-48.18,58.64,0.57,2.94,3.69,,10.32,7.63,0.28,,18.90,"1,912.68",7.84,1.19,15.95,6.19,6.73,PMTA,SET,INDUS,PETRO
1Q2561,709.58,-89.47,200.00,5.97,0.06,0.31,0.38,,11.53,0.84,0.20,,17.40,"1,760.88",9.18,1.12,15.48,5.75,5.57,PMTA,SET,INDUS,PETRO
2Q2561,722.91,316.67,-65.75,25.88,0.25,1.37,1.67,,8.76,3.58,0.24,,16.30,"1,649.56",8.44,1.06,15.36,6.13,6.71,PMTA,SET,INDUS,PETRO
3Q2561,711.47,-95.98,-98.24,0.54,0.01,0.03,0.04,,9.88,0.08,0.33,,14.00,"1,416.80",9.61,0.91,15.31,7.14,8.57,PMTA,SET,INDUS,PETRO
4Q2561,639.38,396.42,-91.24,5.29,0.05,0.26,0.35,,11.71,0.83,0.40,,10.90,"1,103.08",12.12,0.74,14.78,9.17,11.99,PMTA,SET,INDUS,PETRO
1Q2562,561.37,,,-23.91,-0.24,-1.15,-1.61,,9.55,-4.26,0.40,,9.90,"1,001.88",26.59,0.66,14.93,5.05,14.08,PMTA,SET,INDUS,PETRO
2Q2562,877.75,,-80.00,5.06,0.05,0.25,0.36,,8.33,0.58,0.45,,8.60,870.32,111.47,0.59,14.47,5.81,16.46,PMTA,SET,INDUS,PETRO
3Q2562,642.18,80.00,794.63,8.55,0.09,0.44,0.62,,8.90,1.33,0.39,,8.25,834.90,N/A,0.61,13.56,6.06,12.99,PMTA,SET,INDUS,PETRO
4Q2562,803.89,500.00,981.30,54.38,0.54,2.76,3.88,,9.06,6.77,0.43,,0.00,804.54,N/A,0.58,13.65,6.29,8.41,PMTA,SET,INDUS,PETRO
1Q2563,724.95,-59.26,,22.06,0.22,1.04,1.51,,10.53,3.04,0.47,,5.65,571.78,,,,8.85,4.91,PMTA,SET,INDUS,PETRO
2Q2563,634.56,-59.09,80.00,8.89,0.09,0.39,0.61,,11.15,1.40,0.62,,8.55,865.26,9.61,0.57,14.92,5.85,7.07,PMTA,SET,INDUS,PETRO
3Q2563,793.66,155.56,155.56,24.16,0.23,1.09,1.66,,8.35,3.04,0.45,,0.00,880.44,9.38,0.62,14.06,5.75,5.62,PMTA,SET,INDUS,PETRO
4Q2563,694.94,69.57,-27.78,38.75,0.39,1.84,2.64,,8.40,5.58,0.42,,9.15,925.98,8.46,0.63,14.62,5.46,5.56,PMTA,SET,INDUS,PETRO
1Q2564,524.47,-61.77,-32.23,15.09,0.15,0.74,1.01,,9.96,2.88,0.31,,10.60,"1,072.72",11.43,0.74,14.39,6.60,4.93,PMTA,SET,INDUS,PETRO
2Q2564,898.38,108.54,245.46,31.04,0.31,1.53,2.04,,8.30,3.46,0.37,,11.30,"1,143.56",13.16,0.75,15.07,6.19,5.40,PMTA,SET,INDUS,PETRO
3Q2564,831.99,-22.81,4.35,24.87,0.24,1.09,1.58,,7.91,2.99,0.52,,11.30,"1,143.56",10.49,0.75,14.99,6.19,7.03,PMTA,SET,INDUS,PETRO
