,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,148.91,,,76.79,,2.07,2.18,,,51.57,0.05,,10.50,"3,591.00",,1.02,10.32,6.89,,POPF,SET,PROPCON,PF&REIT
2Q2555,150.17,,,87.02,,2.34,2.47,,,57.95,0.06,,11.30,"3,864.60",,1.10,10.30,6.41,,POPF,SET,PROPCON,PF&REIT
3Q2555,151.66,,,97.86,,2.62,2.77,,,64.53,0.06,,13.40,"4,582.80",,1.30,10.31,5.40,,POPF,SET,PROPCON,PF&REIT
4Q2555,159.31,,,363.29,,9.34,9.88,,,228.04,0.06,,14.50,"4,959.00",,1.40,10.35,4.99,,POPF,SET,PROPCON,PF&REIT
1Q2556,162.56,,,105.01,,2.59,2.74,,,64.60,0.06,,13.90,"4,753.80",,1.25,11.16,5.21,,POPF,SET,PROPCON,PF&REIT
2Q2556,161.02,,,124.13,,3.04,3.22,,,77.09,0.06,,13.10,"4,480.20",,1.17,11.22,7.55,,POPF,SET,PROPCON,PF&REIT
3Q2556,160.72,,,89.28,,2.18,2.30,,,55.55,0.06,,12.50,"4,275.00",,1.10,11.33,7.91,,POPF,SET,PROPCON,PF&REIT
4Q2556,165.44,,,82.85,,2.01,2.14,,,50.08,0.07,,11.90,"4,069.80",,1.05,11.34,8.31,,POPF,SET,PROPCON,PF&REIT
1Q2557,164.04,,,107.74,,2.60,2.77,,,65.68,0.07,,11.90,"4,069.80",,1.05,11.33,8.62,,POPF,SET,PROPCON,PF&REIT
2Q2557,168.20,,,120.87,,2.90,3.09,,,71.86,0.07,,12.50,"4,275.00",,1.10,11.38,8.21,,POPF,SET,PROPCON,PF&REIT
3Q2557,166.68,,,95.30,,2.28,2.43,,,57.17,0.07,,12.30,"4,206.60",,1.51,11.47,5.92,,POPF,SET,PROPCON,PF&REIT
4Q2557,205.59,,,98.03,,1.86,2.07,,,47.68,0.15,,11.80,"5,683.34",,1.45,11.48,6.17,,POPF,SET,PROPCON,PF&REIT
1Q2558,227.65,,,149.77,,2.35,2.70,,,65.79,0.15,,12.10,"5,827.83",,1.05,11.00,6.65,,POPF,SET,PROPCON,PF&REIT
2Q2558,228.36,,,3.42,,0.05,0.06,,,1.50,0.15,,12.70,"6,116.81",,1.10,11.57,6.33,,POPF,SET,PROPCON,PF&REIT
3Q2558,230.43,,,141.51,,2.26,2.59,,,61.41,0.15,,13.70,"6,598.45",,1.21,10.84,5.87,,POPF,SET,PROPCON,PF&REIT
4Q2558,232.32,,,197.26,,3.12,3.59,,,84.91,0.15,,14.30,"6,887.43",,1.26,10.87,5.63,,POPF,SET,PROPCON,PF&REIT
1Q2559,231.09,,,20.89,,0.33,0.38,,,9.04,0.15,,16.80,"8,091.53",,1.46,11.49,6.25,,POPF,SET,PROPCON,PF&REIT
2Q2559,233.54,,,113.33,,1.82,2.09,,,48.53,0.15,,16.70,"8,043.36",,1.48,11.27,6.29,,POPF,SET,PROPCON,PF&REIT
3Q2559,225.40,,,121.03,,1.94,2.24,,,53.69,0.15,,17.00,"8,187.86",,1.51,11.24,6.17,,POPF,SET,PROPCON,PF&REIT
4Q2559,233.75,,,110.89,,1.78,2.05,,,47.44,0.16,,15.70,"7,561.73",,1.40,11.23,6.69,,POPF,SET,PROPCON,PF&REIT
1Q2560,228.54,,,136.62,,2.19,2.53,,,59.78,0.15,,13.40,"6,453.96",,1.19,11.22,7.83,,POPF,SET,PROPCON,PF&REIT
2Q2560,234.47,,,143.83,,2.31,2.66,,,61.34,0.15,,13.90,"6,694.78",,1.24,11.22,7.55,,POPF,SET,PROPCON,PF&REIT
3Q2560,228.52,,,87.46,,1.41,1.62,,,38.27,0.15,,14.50,"6,983.76",,1.29,11.24,7.24,,POPF,SET,PROPCON,PF&REIT
4Q2560,233.50,,,78.95,,1.28,1.48,,,33.81,0.16,,14.30,"6,887.43",,,11.14,7.34,,POPF,SET,PROPCON,PF&REIT
1Q2561,239.84,,,114.96,,1.87,2.15,,,47.93,0.15,,13.90,"6,694.78",,1.26,11.06,7.28,,POPF,SET,PROPCON,PF&REIT
2Q2561,244.24,,,241.78,,3.88,4.47,,,98.99,0.15,,13.60,"6,550.28",,1.23,11.09,7.44,,POPF,SET,PROPCON,PF&REIT
3Q2561,246.22,,,87.89,,1.40,1.61,,,35.70,0.15,,13.80,"6,646.61",,1.21,11.36,7.33,,POPF,SET,PROPCON,PF&REIT
4Q2561,251.54,,,82.07,,1.31,1.51,,,32.63,0.15,,13.20,"6,357.63",,1.17,11.30,7.67,,POPF,SET,PROPCON,PF&REIT
1Q2562,254.39,,,122.60,,1.97,2.27,,,48.19,0.15,,13.30,"6,405.79",,1.18,11.23,7.54,,POPF,SET,PROPCON,PF&REIT
2Q2562,256.69,,,142.32,,2.29,2.63,,,55.45,0.15,,13.50,"6,502.12",,1.20,11.20,7.42,,POPF,SET,PROPCON,PF&REIT
3Q2562,250.87,,,111.16,,1.79,2.06,,,44.31,0.15,,13.60,"6,550.28",,1.21,11.24,7.37,,POPF,SET,PROPCON,PF&REIT
4Q2562,257.76,,,113.92,,1.84,2.12,,,44.20,0.15,,13.00,"6,261.30",,1.17,11.13,7.71,,POPF,SET,PROPCON,PF&REIT
1Q2563,256.86,,,238.17,,3.79,4.36,,,92.72,0.15,,11.40,"5,490.68",,,,8.83,,POPF,SET,PROPCON,PF&REIT
2Q2563,237.97,,,81.89,,1.29,1.49,,,34.41,0.15,,10.90,"5,249.86",,0.95,11.45,9.23,,POPF,SET,PROPCON,PF&REIT
3Q2563,254.08,,,138.92,,2.20,2.53,,,54.67,0.15,,10.10,"4,864.55",,0.89,11.36,9.96,,POPF,SET,PROPCON,PF&REIT
4Q2563,235.28,,,115.71,,1.84,2.11,,,49.18,0.15,,10.60,"5,105.37",,0.93,11.40,9.49,,POPF,SET,PROPCON,PF&REIT
1Q2564,235.86,,,94.87,,1.52,1.74,,,40.22,0.14,,10.80,"5,201.70",,0.95,11.38,9.97,,POPF,SET,PROPCON,PF&REIT
2Q2564,224.95,,,46.32,,0.75,0.86,,,20.59,0.15,,11.10,"5,346.19",,0.98,11.27,9.70,,POPF,SET,PROPCON,PF&REIT
3Q2564,218.79,,,112.54,,1.84,2.10,,,51.44,0.14,,11.40,"5,490.68",,1.02,11.12,9.45,,POPF,SET,PROPCON,PF&REIT
4Q2564,228.19,,,111.88,,1.83,2.09,,,49.03,0.14,,11.70,"5,635.17",,1.05,11.10,9.21,,POPF,SET,PROPCON,PF&REIT
1Q2565,235.32,,,96.60,,1.59,1.81,,,41.05,0.14,,11.80,"5,683.34",,,,8.57,,POPF,SET,PROPCON,PF&REIT
2Q2565,241.48,,,89.47,,1.49,1.69,,,37.05,0.13,,11.40,"5,538.84",,1.04,11.02,8.79,,POPF,SET,PROPCON,PF&REIT
