,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,3.54,-212.03,,,,,,,,PORT,SET,SERVICE,TRANS
3Q2560,"1,000.25",,,21.66,0.11,1.16,5.78,86.06,12.57,2.17,4.38,-236.83,,,,,,,,PORT,SET,SERVICE,TRANS
4Q2560,364.30,-41.69,,15.84,0.06,0.72,2.42,85.50,13.00,4.35,1.54,-252.64,8.00,"3,680.00",57.18,,0.00,0.00,13.51,PORT,SET,SERVICE,TRANS
1Q2561,380.94,20.61,,33.82,0.08,1.35,3.60,83.64,14.71,8.88,1.79,-284.57,7.00,"3,220.00",52.17,3.71,1.89,0.71,11.15,PORT,SET,SERVICE,TRANS
2Q2561,372.28,-26.99,,23.64,0.06,0.88,2.44,84.45,14.58,6.35,1.77,-328.40,6.75,"3,105.00",37.76,3.44,1.96,0.74,14.68,PORT,SET,SERVICE,TRANS
3Q2561,414.76,47.89,-24.06,40.52,0.08,1.47,4.03,85.68,13.58,9.77,1.72,-355.12,7.00,"3,220.00",31.63,3.55,1.97,0.71,17.71,PORT,SET,SERVICE,TRANS
4Q2561,411.27,-3.83,25.24,38.60,0.08,1.38,3.69,83.46,14.49,9.38,1.64,-322.90,4.68,"2,152.80",17.56,2.28,2.05,1.07,12.78,PORT,SET,SERVICE,TRANS
1Q2562,395.98,-2.20,1.55,35.82,0.08,1.27,3.31,85.95,13.31,9.05,1.58,-288.65,4.62,"2,125.20",15.52,2.16,2.14,2.16,12.48,PORT,SET,SERVICE,TRANS
2Q2562,386.78,-48.71,-28.67,22.53,0.04,0.79,1.77,83.68,15.42,5.83,0.97,-259.62,4.52,"2,495.04",18.15,2.45,2.14,1.84,12.27,PORT,SET,SERVICE,TRANS
3Q2562,406.53,16.43,-43.84,29.51,0.05,1.05,2.03,79.93,15.32,7.26,0.92,-204.89,3.26,"1,799.52",14.99,1.46,2.23,2.32,10.21,PORT,SET,SERVICE,TRANS
4Q2562,369.62,-40.74,-65.39,21.17,0.03,0.74,1.43,83.36,15.44,5.73,0.97,-184.59,2.08,"1,262.98",10.50,0.91,2.50,3.64,8.90,PORT,SET,SERVICE,TRANS
1Q2563,346.85,-63.24,-86.99,8.48,0.01,0.25,0.57,81.04,17.13,2.44,1.61,-122.69,1.21,734.71,,,,6.16,10.25,PORT,SET,SERVICE,TRANS
2Q2563,327.98,28.38,-67.44,8.59,0.01,0.22,0.58,83.09,16.20,2.62,1.63,-97.34,2.16,"1,311.55",18.15,0.93,2.31,3.45,11.18,PORT,SET,SERVICE,TRANS
3Q2563,343.40,194.21,-17.71,24.23,0.04,0.63,1.64,84.00,15.37,7.05,1.58,-96.41,2.08,"1,262.98",21.18,0.92,2.25,3.58,9.80,PORT,SET,SERVICE,TRANS
4Q2563,341.71,-12.59,21.37,19.49,0.03,0.51,1.30,85.91,13.54,5.70,1.55,-77.22,2.80,"1,700.16",30.08,1.22,2.29,2.66,9.83,PORT,SET,SERVICE,TRANS
1Q2564,328.65,-67.81,6.26,6.01,0.01,0.16,0.40,84.46,14.48,1.83,1.46,-84.29,3.24,"1,967.33",33.86,1.39,2.33,1.08,10.54,PORT,SET,SERVICE,TRANS
2Q2564,338.04,26.15,4.42,8.86,0.01,0.24,0.59,85.43,13.60,2.62,1.49,-87.30,3.06,"1,858.03",31.77,1.31,2.34,1.14,10.24,PORT,SET,SERVICE,TRANS
3Q2564,524.51,46.79,-47.90,11.90,0.02,0.32,0.79,89.66,9.13,2.27,1.47,-93.60,2.68,"1,627.30",27.66,1.16,2.32,1.31,9.94,PORT,SET,SERVICE,TRANS
4Q2564,415.50,-95.92,-97.57,-0.38,0.00,-0.01,-0.03,87.69,11.13,-0.09,1.41,-104.10,2.70,"1,639.44",34.43,1.16,2.34,1.30,10.36,PORT,SET,SERVICE,TRANS
1Q2565,578.69,,,-6.71,-0.01,-0.18,-0.45,89.65,9.31,-1.16,1.43,-113.68,2.66,"1,615.15",,,,0.94,10.64,PORT,SET,SERVICE,TRANS
2Q2565,446.76,-37.32,,-10.22,-0.02,-0.28,-0.69,87.21,12.07,-2.29,1.41,-110.17,2.18,"1,335.84",101.18,0.95,2.32,1.14,10.37,PORT,SET,SERVICE,TRANS
3Q2565,533.29,,-32.42,4.99,0.01,0.14,0.34,89.38,10.17,0.94,1.44,-114.79,2.08,"1,275.12",N/A,0.92,2.28,1.19,10.73,PORT,SET,SERVICE,TRANS
