,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,536.22,,-66.50,5.89,0.01,0.31,0.74,73.71,24.62,1.10,1.38,18.07,0.00,"1,470.00",29.06,1.86,1.58,3.40,9.78,POST,SET,SERVICE,MEDIA
2Q2555,563.53,198.01,-57.21,16.44,0.03,0.86,2.10,75.10,23.36,2.92,1.51,-0.50,0.00,"1,450.00",36.99,1.82,1.59,3.45,11.16,POST,SET,SERVICE,MEDIA
3Q2555,602.60,133.72,-12.50,36.15,0.07,1.84,4.60,75.39,23.07,6.00,1.49,-16.70,5.40,"2,700.00",119.80,3.54,1.52,1.85,17.52,POST,SET,SERVICE,MEDIA
4Q2555,703.66,103.91,,70.64,0.14,3.55,8.57,77.15,22.44,10.04,1.35,-20.65,4.62,"2,310.00",139.65,2.90,1.60,2.16,10.10,POST,SET,SERVICE,MEDIA
1Q2556,592.12,-57.97,497.01,23.76,0.06,1.21,2.78,75.60,23.27,4.01,1.23,-34.95,5.85,"2,925.00",23.15,3.49,1.68,2.74,10.99,POST,SET,SERVICE,MEDIA
2Q2556,598.25,-9.30,81.70,26.75,0.05,1.35,3.12,74.16,24.65,4.47,1.39,-41.80,7.60,"3,800.00",25.49,4.39,1.73,2.11,13.56,POST,SET,SERVICE,MEDIA
3Q2556,628.89,39.86,8.73,37.99,0.08,1.87,4.40,73.98,25.35,6.04,1.32,-53.16,7.20,"3,600.00",22.08,4.26,1.69,2.22,12.94,POST,SET,SERVICE,MEDIA
4Q2556,655.67,-11.65,-52.89,31.60,0.07,1.53,3.63,74.52,23.98,4.82,1.43,-51.75,6.75,"3,375.00",20.38,3.82,1.77,2.37,15.30,POST,SET,SERVICE,MEDIA
1Q2557,490.00,,,-26.46,-0.05,-1.30,-3.14,71.04,27.94,-5.40,1.38,-42.06,0.00,"3,600.00",27.93,4.19,1.72,3.33,20.04,POST,SET,SERVICE,MEDIA
2Q2557,531.34,-35.74,,-35.86,-0.07,-1.80,-4.61,71.60,27.40,-6.75,1.76,-42.56,7.50,"3,750.00",50.15,4.50,1.67,3.20,30.14,POST,SET,SERVICE,MEDIA
3Q2557,600.52,36.11,,-25.17,-0.05,-1.22,-3.53,72.35,26.29,-4.19,2.03,-41.24,0.00,"3,500.00",367.14,4.81,1.46,3.43,51.92,POST,SET,SERVICE,MEDIA
4Q2557,659.00,-263.58,,-81.13,-0.17,-3.77,-12.44,63.29,36.16,-12.31,2.62,-41.09,0.00,"3,300.00",N/A,4.70,1.40,3.64,"172,569.69",POST,SET,SERVICE,MEDIA
1Q2558,527.92,-12.74,-255.46,-93.81,-0.19,-4.45,-16.83,65.43,32.79,-17.77,2.98,-45.72,7.40,"3,700.00",N/A,6.09,1.21,0.00,-103.57,POST,SET,SERVICE,MEDIA
2Q2558,551.53,50.15,-30.55,-46.83,-0.09,-2.24,-9.62,67.84,30.83,-8.49,3.62,-38.60,0.00,"3,475.00",N/A,6.77,1.03,0.00,-90.85,POST,SET,SERVICE,MEDIA
