,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,334.17,,,21.37,0.13,3.03,29.66,78.91,19.80,6.39,7.78,-36.53,,,,,,,,PPP,SET,PROPCON,CONMAT
2Q2555,316.16,552.59,,11.19,0.83,1.49,10.26,76.84,22.66,3.54,4.69,-46.54,,,,,,,,PPP,SET,PROPCON,CONMAT
3Q2555,343.18,,,18.79,-0.68,1.49,10.17,68.98,22.54,5.47,6.46,-138.27,,,,,,,,PPP,SET,PROPCON,CONMAT
4Q2555,346.53,,,23.81,0.12,1.21,9.92,64.11,22.92,6.87,7.92,-358.07,,,,,,,,PPP,SET,PROPCON,CONMAT
1Q2556,363.99,-16.67,-21.61,28.73,0.10,1.27,6.11,74.99,22.01,7.89,2.36,-365.00,7.95,"2,385.00",30.82,0.00,0.00,0.00,21.08,PPP,SET,PROPCON,CONMAT
2Q2556,391.98,10.00,-86.79,38.22,0.11,1.61,5.36,79.85,21.52,9.75,2.29,-362.36,5.90,"1,770.00",21.68,3.39,1.74,0.00,13.95,PPP,SET,PROPCON,CONMAT
3Q2556,382.08,9.09,,38.98,0.12,1.63,5.18,51.15,22.02,10.20,2.06,-245.11,5.00,"1,500.00",14.32,2.69,1.86,0.00,10.49,PPP,SET,PROPCON,CONMAT
4Q2556,382.28,0.00,0.00,43.76,0.12,1.87,5.63,102.26,23.25,11.45,1.96,-123.06,4.68,"1,404.00",11.69,2.38,1.97,0.00,9.64,PPP,SET,PROPCON,CONMAT
1Q2557,370.75,8.33,30.00,47.36,0.13,2.02,5.87,75.83,23.09,12.77,1.85,-97.57,4.68,"1,404.00",10.73,2.26,2.07,1.07,8.67,PPP,SET,PROPCON,CONMAT
2Q2557,439.92,-21.08,-6.73,38.36,0.10,1.61,4.56,76.47,22.74,8.72,1.80,-85.47,5.85,"1,755.00",12.20,2.66,2.20,0.85,9.69,PPP,SET,PROPCON,CONMAT
