,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,67.38,,,5.46,181.86,4.26,6.50,77.75,21.08,8.10,0.56,,,,,,,,,PPS,mai,PROPCON,-
2Q2555,68.07,,,2.84,-181.78,2.15,3.38,70.56,27.04,4.18,0.58,,,,,,,,,PPS,mai,PROPCON,-
3Q2555,66.60,,,5.52,0.00,3.19,4.47,79.05,23.78,8.28,0.32,,2.30,920.00,49.69,0.00,0.00,0.00,14.91,PPS,mai,PROPCON,-
4Q2555,64.06,,,1.46,-0.01,0.69,0.88,71.26,28.30,2.28,0.25,,2.04,816.00,43.12,4.93,0.41,0.00,35.72,PPS,mai,PROPCON,-
1Q2556,63.41,,-99.99,2.52,0.01,1.19,1.48,75.41,23.98,3.98,0.24,,1.76,704.00,46.08,4.22,0.42,1.70,42.05,PPS,mai,PROPCON,-
2Q2556,71.87,0.00,,5.98,0.01,2.79,3.51,78.23,20.83,8.32,0.27,,1.21,484.00,39.14,2.79,0.43,2.48,24.42,PPS,mai,PROPCON,-
3Q2556,78.90,111.20,613.51,7.88,0.02,3.55,4.59,81.98,17.73,9.98,0.31,,1.18,472.00,30.43,2.82,0.42,2.54,19.81,PPS,mai,PROPCON,-
4Q2556,79.11,-57.95,,2.88,0.01,1.27,1.63,67.93,30.93,3.65,0.25,,0.98,392.00,21.92,2.24,0.44,3.06,14.41,PPS,mai,PROPCON,-
1Q2557,73.17,125.23,100.00,8.03,0.02,3.52,4.41,77.56,21.93,10.98,0.26,,1.04,416.00,21.52,2.34,0.45,3.85,12.34,PPS,mai,PROPCON,-
2Q2557,67.16,0.00,100.00,5.23,0.02,2.25,2.89,73.04,25.41,7.79,0.31,,1.27,508.00,20.47,2.73,0.47,3.15,15.60,PPS,mai,PROPCON,-
3Q2557,64.24,,,3.32,0.00,1.41,1.86,73.40,25.02,5.16,0.33,,1.54,616.00,25.55,3.49,0.44,2.60,22.85,PPS,mai,PROPCON,-
4Q2557,62.24,,,1.01,0.00,0.43,0.56,73.31,25.51,1.62,0.30,,1.61,644.00,32.85,3.58,0.45,2.48,26.50,PPS,mai,PROPCON,-
1Q2558,59.16,,-80.00,1.41,0.00,0.60,0.77,73.28,24.87,2.38,0.26,,1.52,608.00,34.31,3.38,0.45,1.97,37.10,PPS,mai,PROPCON,-
2Q2558,64.02,50.00,-70.00,2.32,0.01,1.00,1.29,72.94,24.70,3.62,0.32,,1.33,532.00,47.17,2.88,0.46,2.26,40.80,PPS,mai,PROPCON,-
3Q2558,61.23,,,-1.56,0.00,-0.68,-0.90,72.91,25.87,-2.55,0.31,,1.07,428.00,50.29,2.45,0.44,2.80,58.34,PPS,mai,PROPCON,-
4Q2558,54.51,,,0.62,-0.00,0.28,0.36,68.48,29.04,1.13,0.26,,0.99,396.00,105.35,2.28,0.43,3.03,55.11,PPS,mai,PROPCON,-
1Q2559,62.92,,200.00,4.67,0.01,2.09,2.65,71.20,23.27,7.42,0.27,,1.18,472.00,139.14,2.72,0.43,0.47,43.76,PPS,mai,PROPCON,-
2Q2559,66.02,-86.08,-72.17,1.83,0.00,0.79,1.01,75.03,22.91,2.77,0.31,,0.88,422.40,65.01,2.34,0.38,0.53,38.58,PPS,mai,PROPCON,-
3Q2559,76.29,"1,057.49",,9.34,0.02,3.70,5.03,78.84,19.14,12.24,0.41,,1.01,484.80,82.88,2.67,0.38,0.46,21.55,PPS,mai,PROPCON,-
4Q2559,110.37,75.89,,16.07,0.03,5.74,7.89,79.52,18.40,14.56,0.34,,1.22,585.60,35.24,3.07,0.40,0.38,14.22,PPS,mai,PROPCON,-
1Q2560,94.02,-17.65,133.33,13.89,0.03,4.65,6.20,83.37,15.70,14.77,0.32,,1.74,886.68,27.56,4.10,0.45,0.32,17.00,PPS,mai,PROPCON,-
2Q2560,96.26,-3.57,"1,516.77",19.61,0.03,5.81,7.49,82.34,16.22,20.38,0.27,-157.14,1.50,917.22,22.04,3.98,0.38,0.31,12.15,PPS,mai,PROPCON,-
