,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,108.43,-94.29,,3.72,0.01,0.45,0.59,74.45,20.80,3.43,0.32,"1,681.35",1.24,416.64,8.09,0.67,1.86,4.03,4.01,PRECHA,SET,PROPCON,PROP
2Q2555,58.49,,10.00,-3.53,-0.01,-0.41,-0.57,58.31,31.50,-6.04,0.46,"1,509.40",1.10,369.60,5.65,0.59,1.87,4.55,4.95,PRECHA,SET,PROPCON,PROP
3Q2555,59.72,22.22,,-2.28,-0.01,-0.26,-0.38,61.96,29.25,-3.82,0.44,"1,471.22",1.17,393.12,5.95,0.65,1.81,4.27,5.16,PRECHA,SET,PROPCON,PROP
4Q2555,102.96,,-79.43,11.07,0.04,1.27,1.81,76.51,17.21,10.75,0.40,"1,700.43",1.20,403.20,6.98,0.66,1.80,4.17,12.71,PRECHA,SET,PROPCON,PROP
1Q2556,60.18,-72.22,0.00,4.63,0.01,0.53,0.74,60.12,31.05,7.69,0.39,"1,885.36",1.24,416.64,46.45,0.67,1.84,4.03,9.66,PRECHA,SET,PROPCON,PROP
2Q2556,52.45,100.00,,3.92,0.02,0.45,0.63,57.54,32.41,7.48,0.39,"1,917.93",1.19,399.84,40.46,0.63,1.88,4.20,13.03,PRECHA,SET,PROPCON,PROP
3Q2556,34.66,,20.86,-0.34,-0.01,-0.04,-0.05,36.69,49.79,-0.97,0.40,"1,845.25",1.17,393.12,22.67,0.64,1.84,4.27,12.61,PRECHA,SET,PROPCON,PROP
4Q2556,29.87,-1.26,,-1.88,-0.01,-0.22,-0.30,12.57,60.59,-6.31,0.39,"1,847.42",1.12,376.32,19.52,0.61,1.84,4.46,23.94,PRECHA,SET,PROPCON,PROP
1Q2557,28.65,-272.73,,-7.03,-0.02,-0.83,-1.15,20.24,62.57,-24.52,0.37,"1,922.95",1.23,413.28,65.25,0.67,1.84,4.07,68.66,PRECHA,SET,PROPCON,PROP
2Q2557,39.30,25.30,,-5.25,-0.02,-0.63,-0.88,41.99,47.57,-13.35,0.43,"1,984.60",1.46,490.56,N/A,0.80,1.81,3.42,162.38,PRECHA,SET,PROPCON,PROP
