,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,35.46,,,-28.01,-0.04,-3.12,-3.60,-42.71,90.80,-78.99,0.16,,1.06,735.64,38.35,0.93,1.14,0.00,-194.66,PRIME,SET,RESOURC,ENERG
2Q2555,70.48,25.00,,-19.34,-0.03,-2.22,-2.55,16.39,67.61,-27.45,0.13,,1.06,735.64,N/A,0.96,1.10,0.00,-20.95,PRIME,SET,RESOURC,ENERG
3Q2555,71.37,,,23.66,0.04,2.75,3.11,54.88,37.18,33.15,0.13,,1.37,950.78,N/A,1.26,1.08,0.00,-270.70,PRIME,SET,RESOURC,ENERG
4Q2555,63.05,,,-4.85,-0.01,-0.41,-0.47,-5.20,68.76,-7.69,0.18,,1.40,"1,465.80",N/A,2.22,1.11,0.00,-196.54,PRIME,SET,RESOURC,ENERG
1Q2556,95.51,65.87,95.00,-3.70,-0.00,-0.22,-0.26,,74.24,-3.87,0.17,,1.46,"1,910.78",61.30,1.45,1.26,0.00,97.12,PRIME,SET,RESOURC,ENERG
2Q2556,97.21,"-1,892.50",-32.83,-53.87,-0.04,-3.04,-3.56,100.20,84.81,-55.41,0.18,,1.25,"1,635.94",28.65,1.04,1.20,0.00,-185.04,PRIME,SET,RESOURC,ENERG
3Q2556,116.54,54.45,,-21.36,-0.02,-1.22,-1.45,2.38,90.71,-18.33,0.19,,0.96,"1,256.40",N/A,0.86,1.12,0.00,-32.13,PRIME,SET,RESOURC,ENERG
4Q2556,173.27,54.99,-39.42,-15.65,-0.01,-0.87,-1.08,19.62,76.04,-9.03,0.28,,0.94,"1,230.22",N/A,0.85,1.10,0.00,-31.34,PRIME,SET,RESOURC,ENERG
1Q2557,108.28,-352.88,"-1,750.00",-50.21,-0.04,-2.62,-3.34,,99.07,-46.37,0.26,,0.91,"1,338.02",N/A,0.94,1.08,0.00,-16.76,PRIME,SET,RESOURC,ENERG
2Q2557,103.66,3.30,10.21,-53.63,-0.04,-2.75,-3.49,,113.62,-51.74,0.27,,1.03,"1,514.47",N/A,0.98,1.05,0.00,-20.24,PRIME,SET,RESOURC,ENERG
3Q2557,133.97,9.95,-77.52,-51.83,-0.03,-2.59,-3.28,,94.69,-38.69,0.26,,1.30,"2,047.96",N/A,1.37,1.01,0.00,-19.55,PRIME,SET,RESOURC,ENERG
4Q2557,170.27,-101.74,-695.59,-99.79,-0.07,-4.76,-6.09,,111.67,-58.61,0.30,,1.05,"1,736.76",N/A,1.24,0.99,0.00,-11.56,PRIME,SET,RESOURC,ENERG
1Q2558,172.37,44.62,2.70,-66.93,-0.04,-3.01,-3.86,,111.16,-38.83,0.26,,0.90,"1,736.76",N/A,1.09,0.96,0.00,-9.63,PRIME,SET,RESOURC,ENERG
2Q2558,311.64,,,-6.72,0.00,-0.28,-0.35,,77.49,-2.16,0.26,,0.93,"1,822.12",N/A,1.00,0.93,0.00,-14.26,PRIME,SET,RESOURC,ENERG
3Q2558,63.30,,62.32,-30.20,-0.01,-1.21,-1.53,,299.32,-47.71,0.28,,0.81,"1,587.01",N/A,0.82,0.99,0.00,-17.93,PRIME,SET,RESOURC,ENERG
4Q2558,379.14,-699.75,-49.37,-203.49,-0.10,-8.56,-11.03,,70.65,-53.67,0.31,,0.60,"1,175.56",N/A,0.62,0.96,0.00,-11.51,PRIME,SET,RESOURC,ENERG
1Q2559,204.01,66.71,10.22,-69.47,-0.03,-3.09,-4.06,,97.44,-34.05,0.33,,0.52,"1,018.84",N/A,0.60,0.86,0.00,-12.02,PRIME,SET,RESOURC,ENERG
2Q2559,186.08,-93.53,,-129.41,-0.06,-5.99,-8.04,,129.73,-69.54,0.36,,0.67,"1,312.74",N/A,0.81,0.83,0.00,-7.66,PRIME,SET,RESOURC,ENERG
3Q2559,167.35,22.33,-300.16,-104.88,-0.05,-4.55,-7.03,,125.85,-62.67,0.74,,0.52,"1,018.84",N/A,0.68,0.77,0.00,-5.16,PRIME,SET,RESOURC,ENERG
4Q2559,155.74,-57.58,21.16,-150.91,-0.08,-6.37,-11.03,,158.68,-96.90,0.72,,0.51,999.25,N/A,0.71,0.72,0.00,-5.03,PRIME,SET,RESOURC,ENERG
1Q2560,151.46,37.88,-47.12,-104.18,-0.05,-4.66,-8.24,,127.64,-68.79,0.82,,0.54,"1,091.51",N/A,1.03,0.65,0.00,-5.37,PRIME,SET,RESOURC,ENERG
2Q2560,180.70,-75.50,-33.41,-183.41,-0.08,-8.44,-15.67,,163.08,-101.50,0.90,,0.47,"1,004.14",N/A,0.83,0.60,0.00,-4.57,PRIME,SET,RESOURC,ENERG
3Q2560,195.82,-176.81,-375.50,-492.07,-0.23,-26.36,-57.07,,308.53,-251.29,1.64,,0.47,"1,004.14",N/A,0.91,0.52,0.00,-2.49,PRIME,SET,RESOURC,ENERG
4Q2560,193.19,61.70,-15.58,-201.14,-0.09,-13.03,-39.07,,165.02,-104.11,2.53,,0.49,"1,046.87",N/A,1.71,0.29,0.00,-2.52,PRIME,SET,RESOURC,ENERG
1Q2561,198.28,20.73,-47.51,-157.43,-0.07,-11.12,-46.87,,136.44,-79.40,4.32,,0.45,961.41,N/A,2.26,0.20,0.00,-2.35,PRIME,SET,RESOURC,ENERG
2Q2561,183.36,10.86,25.08,-142.14,-0.06,-10.38,-46.00,,136.03,-77.52,2.80,,0.31,662.30,N/A,2.42,0.13,0.00,-2.01,PRIME,SET,RESOURC,ENERG
