,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,49.36,40.00,50.00,-12.84,-0.03,-0.65,-1.23,48.98,48.52,-26.02,0.89,-47.51,0.00,546.27,N/A,0.52,2.25,0.00,43.79,PRINC,SET,SERVICE,HELTH
2Q2555,45.81,-3.67,37.80,-15.69,-0.03,-0.80,-1.52,46.56,50.58,-34.24,0.91,-51.76,1.14,532.27,N/A,0.51,2.22,0.00,37.06,PRINC,SET,SERVICE,HELTH
3Q2555,48.83,7.07,27.75,-14.96,-0.03,-0.77,-1.47,46.49,50.52,-30.64,0.92,-64.95,1.78,831.08,N/A,0.81,2.19,0.00,44.23,PRINC,SET,SERVICE,HELTH
4Q2555,51.99,-38.41,20.00,-14.97,-0.04,-0.77,-1.50,44.89,51.65,-28.79,0.95,-72.04,2.04,952.48,N/A,0.95,2.16,0.00,40.81,PRINC,SET,SERVICE,HELTH
1Q2556,54.51,50.00,33.33,-7.72,-0.02,-0.40,-0.78,50.34,45.63,-14.16,0.93,-78.05,1.99,929.13,N/A,0.94,2.13,0.00,36.14,PRINC,SET,SERVICE,HELTH
2Q2556,46.91,-50.00,3.54,-15.21,-0.03,-0.81,-1.55,46.18,52.09,-32.42,0.93,-83.46,3.92,"1,830.25",N/A,1.86,2.11,0.00,53.63,PRINC,SET,SERVICE,HELTH
3Q2556,58.55,33.33,30.80,-7.80,-0.02,-0.42,-0.80,48.92,45.11,-13.33,0.91,-86.00,2.22,"1,036.52",N/A,2.14,2.08,0.00,32.50,PRINC,SET,SERVICE,HELTH
4Q2556,130.90,,,29.54,0.07,1.52,2.04,70.66,29.34,22.57,0.06,-79.07,2.64,"2,465.23",N/A,2.54,2.08,0.00,23.48,PRINC,SET,SERVICE,HELTH
1Q2557,75.66,-97.06,,1.71,0.00,0.08,0.09,54.58,42.33,2.26,0.05,-66.79,2.60,"2,427.93",N/A,1.26,2.06,0.00,22.07,PRINC,SET,SERVICE,HELTH
2Q2557,96.26,300.00,,3.06,0.01,0.15,0.16,57.61,39.89,3.18,0.05,-40.29,3.32,"3,100.29",376.21,1.61,2.07,0.00,26.14,PRINC,SET,SERVICE,HELTH
3Q2557,93.01,,,3.58,0.00,0.18,0.18,59.56,37.71,3.85,0.05,-21.17,4.34,"4,052.89",152.88,2.10,2.07,0.00,33.42,PRINC,SET,SERVICE,HELTH
4Q2557,108.84,,-94.12,4.60,0.00,0.23,0.24,57.40,40.42,4.23,0.04,32.43,4.18,"3,961.49",104.55,2.03,2.09,0.00,48.61,PRINC,SET,SERVICE,HELTH
