,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.83,,,,,,,,,PSH,SET,PROPCON,PROP
1Q2560,,,,696.10,,1.03,1.91,,,,0.86,,22.70,"49,638.94",8.36,1.40,16.20,2.70,,PSH,SET,PROPCON,PROP
2Q2560,,,,"1,781.85",1.11,2.56,4.83,,,,0.91,,22.30,"48,765.56",9.06,1.35,16.51,2.75,,PSH,SET,PROPCON,PROP
3Q2560,"10,094.89",-46.85,,"1,318.71",0.59,1.86,3.58,,19.19,13.06,0.94,,23.50,"51,389.72",9.71,1.42,16.52,2.61,,PSH,SET,PROPCON,PROP
4Q2560,"13,396.89",35.59,,"1,777.47",0.80,2.47,4.71,,18.98,13.27,0.87,,23.50,"51,389.72",9.06,1.42,16.54,2.61,30.12,PSH,SET,PROPCON,PROP
1Q2561,"8,368.42",,,878.32,,1.18,2.25,,22.14,10.50,0.95,,21.40,"46,834.01",8.58,1.24,17.34,9.76,20.48,PSH,SET,PROPCON,PROP
2Q2561,"10,978.02",38.75,0.00,"1,591.28",1.11,2.06,4.03,,18.04,14.50,0.96,,19.00,"41,581.59",7.38,1.07,17.73,10.99,12.50,PSH,SET,PROPCON,PROP
3Q2561,"11,229.37",-34.23,23.73,"1,619.47",0.73,2.05,4.09,,17.30,14.42,1.02,,21.20,"46,396.30",8.50,1.20,17.72,9.85,10.24,PSH,SET,PROPCON,PROP
4Q2561,"14,494.71",24.66,13.75,"2,041.70",0.91,2.52,5.00,,18.31,14.09,0.95,,17.30,"37,861.14",6.58,0.97,17.89,12.07,9.18,PSH,SET,PROPCON,PROP
1Q2562,"11,909.48",,,"1,716.85",,2.08,4.02,,15.58,14.42,0.92,,18.00,"39,393.09",6.54,0.96,18.81,8.61,8.11,PSH,SET,PROPCON,PROP
2Q2562,"7,805.70",31.87,8.11,950.33,1.20,1.13,2.21,,19.05,12.17,0.99,,21.30,"46,615.15",6.81,1.09,19.58,7.28,9.99,PSH,SET,PROPCON,PROP
3Q2562,"8,551.33",-65.83,-43.84,932.71,0.41,1.10,2.21,,20.49,10.91,1.03,,16.70,"36,548.03",5.88,0.88,19.04,9.28,9.91,PSH,SET,PROPCON,PROP
4Q2562,"11,885.73",104.88,-7.69,"1,859.15",0.84,2.16,4.34,,16.54,15.64,0.98,,14.80,"32,389.87",5.85,0.79,18.85,10.47,9.45,PSH,SET,PROPCON,PROP
1Q2563,"7,175.69",-50.00,,939.96,0.42,1.05,2.12,,17.68,13.10,1.07,,9.25,"20,243.67",,,,16.76,9.09,PSH,SET,PROPCON,PROP
2Q2563,"6,222.81",-54.76,-84.17,425.57,0.19,0.48,0.97,,21.52,6.84,0.98,,11.50,"25,167.81",5.48,0.57,20.10,13.48,10.62,PSH,SET,PROPCON,PROP
3Q2563,"6,402.41",47.37,-31.71,615.74,0.28,0.74,1.43,,18.05,9.62,0.91,,10.80,"23,635.85",5.79,0.56,19.31,14.35,10.56,PSH,SET,PROPCON,PROP
4Q2563,"9,712.06",35.71,-54.76,845.48,0.38,1.05,1.95,,17.23,8.71,0.79,,12.50,"27,356.31",7.26,0.65,19.28,12.40,13.00,PSH,SET,PROPCON,PROP
1Q2564,"6,897.21",-26.32,-33.33,616.45,0.28,0.80,1.40,,15.06,8.94,0.73,,12.80,"28,012.86",10.11,0.65,19.67,7.50,13.93,PSH,SET,PROPCON,PROP
2Q2564,"6,391.86",-32.14,0.00,438.52,0.19,0.58,1.00,,17.19,6.86,0.73,,13.80,"30,201.37",12.30,0.69,19.95,6.96,14.09,PSH,SET,PROPCON,PROP
3Q2564,"6,090.93",-21.05,-46.43,339.72,0.15,0.46,0.79,,19.36,5.58,0.69,,13.00,"28,450.56",11.54,0.67,19.50,7.38,14.47,PSH,SET,PROPCON,PROP
4Q2564,"9,050.20",200.00,18.42,"1,008.63",0.45,1.39,2.31,,15.88,11.14,0.63,,13.00,"28,450.56",12.98,0.67,19.35,7.38,12.88,PSH,SET,PROPCON,PROP
1Q2565,"5,980.98",-44.44,-10.71,563.00,0.25,0.79,1.27,,16.53,9.41,0.59,,13.70,"29,982.52",,,,7.01,13.54,PSH,SET,PROPCON,PROP
2Q2565,"5,388.72",-20.60,4.48,439.21,0.20,0.62,1.00,,20.17,8.15,0.60,,12.90,"28,669.41",12.47,0.65,20.05,7.33,13.50,PSH,SET,PROPCON,PROP
3Q2565,"6,831.51",41.80,87.66,632.66,0.28,0.89,1.44,,18.84,9.26,0.62,,12.00,"26,262.06",11.42,0.61,19.57,8.00,11.77,PSH,SET,PROPCON,PROP
