,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,2.42,55.72,,,,,,,,PSTC,mai,RESOURC,-
1Q2557,91.22,,,7.07,0.00,1.04,3.60,73.31,26.32,7.75,2.53,109.79,,,,,,,,PSTC,mai,RESOURC,-
2Q2557,133.54,0.00,,7.50,0.00,1.04,3.68,83.78,16.06,5.61,2.53,96.89,,,,,,,,PSTC,mai,RESOURC,-
3Q2557,103.62,0.00,,7.00,0.00,0.99,3.32,77.06,22.69,6.76,2.15,95.65,,,,,,,,PSTC,mai,RESOURC,-
4Q2557,97.88,100.00,,17.04,0.01,2.16,4.66,70.22,28.27,17.41,0.75,138.89,1.25,"2,750.00",62.92,0.00,0.00,0.00,29.73,PSTC,mai,RESOURC,-
1Q2558,92.23,,,-2.21,-0.00,-0.26,-0.43,68.65,29.41,-2.40,0.58,63.23,1.76,"3,872.00",100.30,7.50,0.23,0.42,50.85,PSTC,mai,RESOURC,-
2Q2558,69.14,-340.00,,-9.13,-0.00,-1.19,-1.82,55.21,43.80,-13.21,0.47,104.21,1.39,"3,058.00",104.30,5.94,0.23,0.53,56.88,PSTC,mai,RESOURC,-
3Q2558,164.44,,85.00,15.75,0.01,2.05,3.16,86.15,13.29,9.58,0.61,84.49,1.10,"2,420.00",190.67,4.93,0.22,0.67,44.76,PSTC,mai,RESOURC,-
4Q2558,158.27,-32.43,-37.50,10.03,0.01,1.13,1.91,81.21,18.36,6.33,0.76,32.85,0.56,"1,238.39",115.51,4.88,0.23,0.66,31.63,PSTC,mai,RESOURC,-
1Q2559,103.00,-28.00,,12.11,0.00,0.89,1.23,66.66,31.88,11.75,0.24,46.94,0.43,"1,901.75",128.90,3.66,0.24,0.42,30.75,PSTC,mai,RESOURC,-
2Q2559,216.72,-76.39,,4.06,0.00,0.22,0.28,80.69,17.14,1.87,0.28,15.80,0.70,"3,095.87",103.36,2.19,0.32,0.26,37.65,PSTC,mai,RESOURC,-
3Q2559,157.30,,,-33.34,-0.01,-1.35,-2.36,65.37,31.57,-21.20,1.22,-116.62,0.61,"2,697.84",61.30,1.91,0.32,0.30,64.46,PSTC,mai,RESOURC,-
4Q2559,134.32,43.12,,-24.59,-0.00,-0.75,-1.77,73.44,25.48,-18.31,1.48,-178.15,0.82,"3,634.16",N/A,2.63,0.31,0.22,89.31,PSTC,mai,RESOURC,-
1Q2560,214.51,,-22.22,11.29,0.00,0.34,0.82,83.92,15.07,5.26,1.35,-204.93,0.77,"3,413.12",N/A,2.51,0.31,0.00,53.83,PSTC,mai,RESOURC,-
2Q2560,225.59,8.93,258.82,12.67,0.00,0.39,0.91,81.05,15.78,5.62,1.36,-199.56,0.73,"3,235.81",N/A,2.36,0.31,0.00,36.12,PSTC,mai,RESOURC,-
3Q2560,397.26,-9.51,,11.25,0.00,0.33,0.80,91.90,7.59,2.83,1.42,-133.41,0.78,"3,457.45",N/A,2.49,0.31,0.00,26.07,PSTC,mai,RESOURC,-
4Q2560,523.08,-64.13,,10.78,0.00,0.23,0.43,90.14,8.90,2.06,0.59,-105.17,0.87,"5,604.19",398.07,4.00,0.32,0.00,27.39,PSTC,mai,RESOURC,-
1Q2561,656.43,283.84,35.71,32.69,0.00,0.56,0.90,91.72,7.35,4.98,0.60,-164.66,0.79,"5,088.87",117.78,1.80,0.44,0.00,24.41,PSTC,mai,RESOURC,-
2Q2561,829.79,26.84,58.03,38.58,0.00,0.65,1.05,93.23,6.23,4.65,0.66,-247.26,0.62,"3,993.79",72.25,1.40,0.44,0.00,19.28,PSTC,mai,RESOURC,-
3Q2561,724.80,-79.88,-64.86,14.10,0.00,0.23,0.38,90.72,7.16,1.95,0.68,-285.59,0.71,"4,647.98",63.85,1.61,0.45,0.00,20.45,PSTC,mai,RESOURC,-
4Q2561,773.73,261.86,254.55,27.15,0.00,0.42,0.70,93.99,4.19,3.51,0.71,-304.45,0.60,"3,933.16",58.68,1.33,0.45,0.00,17.96,PSTC,mai,RESOURC,-
