,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,403.46,142.11,-49.45,6.58,0.05,0.52,2.54,,27.48,1.63,3.85,,3.90,553.58,10.79,2.16,1.81,5.13,10.31,PT,SET,TECH,ICT
2Q2555,515.01,60.87,-12.94,10.78,0.07,0.82,4.13,,22.36,2.09,4.22,,3.34,474.09,10.54,1.80,1.85,5.99,9.97,PT,SET,TECH,ICT
3Q2555,610.24,112.16,-4.85,21.86,0.16,1.62,8.09,,20.17,3.58,3.77,,4.12,584.81,13.36,2.25,1.83,4.85,10.37,PT,SET,TECH,ICT
4Q2555,703.85,54.78,"1,178.95",34.26,0.24,2.40,11.49,297.78,15.53,4.87,3.78,,6.35,901.35,21.34,3.20,1.98,3.15,10.73,PT,SET,TECH,ICT
1Q2556,859.75,10.05,481.37,37.90,0.27,2.68,11.24,83.08,15.50,4.41,2.68,,13.40,"1,902.06",25.88,6.03,2.22,1.12,12.29,PT,SET,TECH,ICT
2Q2556,535.44,-30.46,151.31,26.46,0.19,2.05,7.31,76.50,22.49,4.94,2.46,,9.25,"1,312.99",12.53,3.65,2.53,1.62,9.01,PT,SET,TECH,ICT
3Q2556,540.70,-10.95,5.48,23.40,0.17,1.82,6.40,76.13,23.13,4.33,2.58,,7.70,"1,092.97",9.07,3.00,2.57,1.95,8.34,PT,SET,TECH,ICT
4Q2556,693.86,15.34,-21.40,27.36,0.19,1.99,7.19,77.07,21.16,3.94,2.66,,6.95,986.51,8.08,2.69,2.58,2.16,8.80,PT,SET,TECH,ICT
1Q2557,538.39,-43.66,-59.77,15.25,0.11,1.12,3.79,75.20,22.73,2.83,2.12,,8.40,"1,192.33",10.36,3.02,2.78,4.76,10.41,PT,SET,TECH,ICT
2Q2557,542.05,106.69,19.59,31.25,0.22,2.30,7.66,75.26,22.06,5.77,2.54,,7.80,"1,107.17",11.97,2.70,2.89,5.13,10.67,PT,SET,TECH,ICT
