,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"696,644.51",124.53,8.00,"43,540.01",13.09,2.98,6.57,97.81,1.54,6.25,1.23,"-1,269.75",354.00,"1,011,130.07",9.60,1.82,194.63,3.67,6.95,PTT,SET,RESOURC,ENERG
2Q2555,"688,789.78",-77.23,-73.86,"11,657.19",2.98,0.77,1.71,97.65,1.48,1.69,1.19,"-1,449.73",323.00,"922,584.78",8.53,1.56,206.68,4.02,7.30,PTT,SET,RESOURC,ENERG
3Q2555,"688,784.20",323.49,66.93,"42,911.52",12.62,2.77,6.27,97.84,1.76,6.23,1.33,"-1,555.13",329.00,"939,722.58",11.17,1.61,203.97,3.95,7.16,PTT,SET,RESOURC,ENERG
4Q2555,"736,793.52",-37.00,36.36,"27,507.24",7.95,1.70,3.88,97.40,2.07,3.73,1.23,"-1,742.03",332.00,"948,291.48",9.62,1.60,207.48,3.91,6.65,PTT,SET,RESOURC,ENERG
1Q2556,"703,512.92",58.99,-3.44,"43,064.02",12.64,2.61,5.80,98.05,1.44,6.12,1.21,"-1,747.72",326.00,"931,153.68",8.90,1.54,212.09,3.99,6.49,PTT,SET,RESOURC,ENERG
2Q2556,"672,412.45",-65.98,44.30,"16,405.75",4.30,0.99,2.16,97.90,1.68,2.44,1.16,"-1,734.75",335.00,"956,860.37",9.26,1.52,220.48,3.88,6.49,PTT,SET,RESOURC,ENERG
3Q2556,"726,818.51",151.38,-14.35,"37,353.69",10.81,2.23,4.81,97.89,1.61,5.14,1.15,"-1,751.04",316.00,"902,590.68",8.42,1.41,223.38,4.11,6.24,PTT,SET,RESOURC,ENERG
4Q2556,"753,778.96",-50.78,-33.07,"18,301.73",5.32,1.05,2.27,97.39,2.11,2.43,1.19,"-1,752.90",286.00,"816,901.69",8.01,1.25,229.68,4.55,6.31,PTT,SET,RESOURC,ENERG
1Q2557,"719,914.91",80.43,-24.05,"31,554.14",9.60,1.76,3.78,98.03,1.50,4.38,1.10,"-1,686.38",299.00,"854,033.59",9.02,1.25,239.00,4.35,6.19,PTT,SET,RESOURC,ENERG
2Q2557,"724,548.58",10.83,147.44,"37,121.15",10.64,2.07,4.27,96.83,2.08,5.12,1.01,"-1,502.96",318.00,"908,303.28",10.56,1.28,247.90,4.09,5.81,PTT,SET,RESOURC,ENERG
3Q2557,"761,993.32",-19.33,-20.59,"28,930.08",8.58,1.60,3.23,97.68,1.75,3.80,1.02,"-1,481.74",360.00,"1,028,267.86",9.87,1.43,251.13,3.61,6.08,PTT,SET,RESOURC,ENERG
4Q2557,"646,329.00",,,"-35,107.75",-9.49,-1.95,-3.97,91.00,8.62,-5.43,1.05,-785.69,324.00,"925,441.08",9.46,1.28,253.49,4.01,6.73,PTT,SET,RESOURC,ENERG
1Q2558,"521,339.23",,-17.81,"33,090.26",7.89,1.64,3.40,96.33,2.57,6.35,1.08,-676.52,323.00,"922,584.78",16.54,1.32,244.22,3.41,7.43,PTT,SET,RESOURC,ENERG
2Q2558,"541,163.58",3.80,-23.03,"33,999.16",8.19,1.51,3.09,95.80,3.37,6.28,1.00,-555.35,359.00,"1,025,411.57",20.13,1.46,245.46,3.06,7.56,PTT,SET,RESOURC,ENERG
3Q2558,"516,822.80",,,"-42,717.76",-9.14,-1.91,-3.87,93.73,4.00,-8.27,1.05,-391.77,240.00,"685,511.91",15.50,0.95,253.43,4.58,8.51,PTT,SET,RESOURC,ENERG
4Q2558,"478,370.13",97.70,97.79,"6,347.64",-0.21,0.29,0.58,94.14,4.02,1.33,1.00,-500.51,244.00,"696,937.11",N/A,1.00,244.82,4.51,6.58,PTT,SET,RESOURC,ENERG
1Q2559,"390,940.24",,4.31,"32,398.53",8.23,1.49,2.95,95.30,3.67,8.29,0.96,-461.38,280.00,"799,763.90",40.12,1.15,244.07,3.57,7.04,PTT,SET,RESOURC,ENERG
2Q2559,"421,221.67",3.36,3.86,"34,360.18",8.51,1.59,3.08,96.16,3.65,8.16,0.92,-453.02,313.00,"894,021.78",42.53,1.25,251.18,3.19,7.78,PTT,SET,RESOURC,ENERG
3Q2559,"439,416.15",10.73,,"34,853.75",9.42,1.63,3.09,95.36,3.54,7.93,0.87,-414.58,339.00,"968,285.57",43.71,1.33,255.56,2.95,6.04,PTT,SET,RESOURC,ENERG
4Q2559,"476,950.63",-30.73,,"27,962.62",6.52,1.29,2.43,95.79,4.19,5.86,0.91,-381.08,372.00,"1,062,543.46",14.03,1.44,258.21,2.69,6.08,PTT,SET,RESOURC,ENERG
1Q2560,"522,261.44",146.54,95.46,"63,171.71",16.09,2.83,5.30,94.65,2.96,12.10,0.84,-353.62,387.00,"1,105,387.95",11.68,1.45,267.11,4.13,5.59,PTT,SET,RESOURC,ENERG
2Q2560,"483,769.84",-33.15,26.42,"40,223.38",10.75,1.83,3.32,95.46,3.51,8.31,0.80,-328.06,370.00,"1,056,830.86",9.02,1.33,278.99,4.32,5.22,PTT,SET,RESOURC,ENERG
3Q2560,"480,081.24",-29.23,-19.21,"30,611.29",7.61,1.40,2.53,91.27,7.71,6.38,0.82,-280.62,408.00,"1,165,370.25",9.43,1.47,278.46,3.92,5.76,PTT,SET,RESOURC,ENERG
4Q2560,"537,878.06",61.50,88.36,"50,603.64",12.29,2.29,4.12,93.11,5.79,9.41,0.79,-262.69,440.00,"1,256,771.83",10.57,1.59,276.87,3.64,5.78,PTT,SET,RESOURC,ENERG
1Q2561,"538,030.69",-88.77,-91.42,"56,587.02",1.38,2.53,4.49,95.97,3.09,10.52,0.76,-257.35,552.00,"1,576,677.39",11.66,1.93,286.62,3.62,6.43,PTT,SET,RESOURC,ENERG
2Q2561,"579,000.50",-23.91,-90.24,"41,302.34",1.05,1.83,3.23,96.42,3.54,7.13,0.78,-298.93,48.00,"1,371,023.82",10.64,1.63,29.44,4.17,5.88,PTT,SET,RESOURC,ENERG
3Q2561,"610,447.23",0.00,-86.20,"45,108.16",1.05,1.94,3.49,96.16,3.27,7.39,0.81,-383.00,54.25,"1,549,542.55",12.15,1.81,29.92,3.69,5.89,PTT,SET,RESOURC,ENERG
4Q2561,"625,611.59",-36.19,-94.55,"22,412.72",0.67,0.95,1.72,94.74,3.95,3.58,0.79,-408.60,46.00,"1,313,897.83",9.70,1.54,29.94,4.35,5.56,PTT,SET,RESOURC,ENERG
1Q2562,"552,919.95",52.24,-26.09,"39,584.40",1.02,1.62,2.95,96.22,3.41,7.16,0.85,-417.42,48.00,"1,371,023.82",11.46,1.57,30.64,4.17,6.16,PTT,SET,RESOURC,ENERG
2Q2562,"577,227.09",-12.75,-15.24,"34,205.18",0.89,1.40,2.57,94.97,3.84,5.93,0.83,-348.18,48.75,"1,392,446.07",12.75,1.55,31.44,4.10,6.40,PTT,SET,RESOURC,ENERG
3Q2562,"544,009.85",-21.35,-33.33,"25,113.11",0.70,1.05,1.94,94.72,4.26,4.62,0.88,-332.98,46.25,"1,321,038.58",12.57,1.51,30.56,4.32,6.92,PTT,SET,RESOURC,ENERG
4Q2562,"565,561.73",-15.71,-11.94,"23,188.90",0.59,0.95,1.79,94.01,5.03,4.10,0.91,-302.81,44.00,"1,256,771.83",13.22,1.45,30.31,4.55,6.79,PTT,SET,RESOURC,ENERG
1Q2563,"488,675.06",,,"-14,005.88",-0.06,-0.56,-1.09,94.68,4.28,-2.87,0.96,-323.48,30.75,"878,312.13",,,,6.50,6.87,PTT,SET,RESOURC,ENERG
2Q2563,"351,480.53",,-52.81,"15,627.33",0.42,0.63,1.23,90.87,6.24,4.45,0.93,-292.07,37.75,"1,078,253.11",17.37,1.24,30.35,5.30,8.29,PTT,SET,RESOURC,ENERG
3Q2563,"382,221.68",19.05,-28.57,"19,119.25",0.50,0.76,1.50,94.99,5.37,5.00,0.99,-269.11,32.00,"914,015.88",18.96,1.06,30.21,6.25,7.97,PTT,SET,RESOURC,ENERG
4Q2563,"411,599.90",-8.00,-22.03,"19,209.07",0.46,0.75,1.49,91.00,7.92,4.67,0.98,-215.83,42.50,"1,213,927.34",28.86,1.38,30.73,4.71,9.16,PTT,SET,RESOURC,ENERG
1Q2564,"492,191.01",147.83,,"47,205.86",1.14,1.78,3.51,92.33,4.76,9.59,0.96,-117.74,41.00,"1,171,082.85",31.01,1.33,30.88,2.44,7.30,PTT,SET,RESOURC,ENERG
