,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"134,580.31",,,"10,069.24",2.19,2.66,4.72,97.63,2.03,7.48,0.76,273.98,71.00,"319,971.72",25.23,1.61,44.05,1.83,20.32,PTTGC,SET,INDUS,PETRO
2Q2555,"140,649.36",-91.78,,987.65,0.18,0.26,0.45,97.43,2.00,0.70,0.79,268.21,55.50,"250,156.84",6.35,1.20,46.24,2.34,14.13,PTTGC,SET,INDUS,PETRO
3Q2555,"146,786.39","1,494.44",,"13,062.88",2.87,3.21,5.88,97.52,2.01,8.90,0.87,205.44,63.00,"283,980.33",13.27,1.40,45.10,2.06,9.19,PTTGC,SET,INDUS,PETRO
4Q2555,"147,144.95",-19.86,,"10,329.10",2.30,2.40,4.44,96.53,2.38,7.02,0.83,91.90,70.00,"315,619.44",10.02,1.49,47.03,1.86,8.18,PTTGC,SET,INDUS,PETRO
1Q2556,"143,023.29",16.52,22.37,"12,099.54",2.68,2.82,5.01,97.42,2.02,8.46,0.71,11.67,70.75,"319,001.08",9.38,1.43,49.33,1.84,7.68,PTTGC,SET,INDUS,PETRO
2Q2556,"113,654.09",-65.67,411.11,"3,919.51",0.92,0.94,1.63,96.40,2.80,3.45,0.75,-40.50,69.00,"311,110.59",8.59,1.33,51.80,4.93,7.17,PTTGC,SET,INDUS,PETRO
3Q2556,"143,027.08",131.52,-25.78,"9,595.00",2.13,2.34,4.07,96.60,2.89,6.71,0.74,-13.50,74.50,"335,909.26",8.49,1.48,50.50,4.56,8.15,PTTGC,SET,INDUS,PETRO
4Q2556,"156,595.53",-22.54,-28.26,"7,227.31",1.65,1.71,3.00,96.93,2.44,4.62,0.76,10.21,79.00,"356,199.08",9.83,1.55,51.06,4.30,9.10,PTTGC,SET,INDUS,PETRO
1Q2557,"147,975.43",-15.15,-47.76,"6,125.66",1.40,1.42,2.47,97.27,2.32,4.14,0.72,35.39,72.25,"325,764.35",9.79,1.37,52.90,4.71,9.66,PTTGC,SET,INDUS,PETRO
2Q2557,"153,856.18",-3.57,46.74,"4,725.36",1.35,1.11,1.90,97.46,2.17,3.07,0.69,31.80,67.50,"304,347.32",11.07,1.25,54.19,5.04,8.81,PTTGC,SET,INDUS,PETRO
3Q2557,"147,201.92",24.44,-21.13,"7,557.66",1.68,1.79,3.06,97.21,2.44,5.13,0.72,45.45,61.00,"275,039.80",9.35,1.13,53.78,5.57,8.74,PTTGC,SET,INDUS,PETRO
4Q2557,"127,598.34",,,"-4,876.30",-1.10,-1.17,-1.99,95.99,3.30,-3.82,0.67,92.91,51.25,"231,078.52",8.44,0.94,54.37,6.63,10.24,PTTGC,SET,INDUS,PETRO
1Q2558,"100,760.10",,-10.79,"5,682.16",1.25,1.44,2.40,96.75,2.59,5.64,0.66,63.66,52.25,"235,587.37",15.67,0.98,53.10,4.54,10.29,PTTGC,SET,INDUS,PETRO
2Q2558,"112,974.83",59.36,47.43,"8,955.38",1.99,2.30,3.82,96.79,2.33,7.93,0.67,42.68,69.25,"312,237.80",21.73,1.36,50.89,3.42,11.26,PTTGC,SET,INDUS,PETRO
3Q2558,"94,964.16",-86.39,-83.88,"1,369.67",0.27,0.35,0.58,96.45,3.02,1.44,0.69,33.11,53.75,"242,350.64",14.04,1.03,52.06,4.41,11.90,PTTGC,SET,INDUS,PETRO
4Q2558,"98,348.30",284.03,,"4,773.64",1.04,1.24,2.04,95.17,3.37,4.85,0.61,25.44,50.00,"225,442.46",20.54,0.97,50.99,4.78,8.06,PTTGC,SET,INDUS,PETRO
1Q2559,"82,010.13",1.92,-15.13,"4,739.00",1.06,1.24,2.01,96.23,3.12,5.78,0.62,56.82,60.50,"272,785.37",13.16,1.17,51.83,4.66,9.23,PTTGC,SET,INDUS,PETRO
2Q2559,"67,038.30",3.77,-44.73,"4,902.99",1.10,1.30,2.06,95.08,3.95,7.31,0.56,150.52,59.25,"267,149.31",13.50,1.12,52.80,4.75,9.82,PTTGC,SET,INDUS,PETRO
3Q2559,"92,164.23",26.36,413.27,"6,308.81",1.39,1.69,2.65,95.16,3.10,6.85,0.58,148.05,58.75,"264,894.89",16.87,1.12,52.59,4.79,8.49,PTTGC,SET,INDUS,PETRO
4Q2559,"110,931.33",57.55,110.58,"9,929.25",2.19,2.58,4.08,96.59,3.19,8.95,0.58,113.42,63.00,"284,057.49",13.68,1.19,52.92,4.47,7.88,PTTGC,SET,INDUS,PETRO
1Q2560,"108,471.10",35.16,179.25,"13,250.10",2.96,3.34,5.19,96.88,2.72,12.22,0.53,128.33,73.25,"330,273.20",12.76,1.33,55.15,3.89,7.26,PTTGC,SET,INDUS,PETRO
2Q2560,"102,302.84",-50.00,34.55,"6,696.49",1.48,1.68,2.56,96.55,2.82,6.55,0.51,114.27,68.50,"308,856.16",8.97,1.18,58.01,4.16,6.42,PTTGC,SET,INDUS,PETRO
3Q2560,"111,343.54",50.00,59.71,"12,421.22",2.22,3.05,4.67,95.76,3.61,11.16,0.56,69.99,77.00,"347,181.38",9.66,1.34,57.58,3.68,6.69,PTTGC,SET,INDUS,PETRO
4Q2560,"120,165.07",-4.05,-2.74,"9,752.05",2.13,2.28,3.55,95.90,3.61,8.12,0.55,33.32,85.00,"383,252.17",9.16,1.45,58.90,3.32,7.13,PTTGC,SET,INDUS,PETRO
1Q2561,"121,931.38",28.99,-7.18,"12,561.72",2.75,2.85,4.39,97.17,2.65,10.30,0.53,-51.74,94.50,"426,086.24",10.84,1.55,60.96,4.48,8.03,PTTGC,SET,INDUS,PETRO
2Q2561,"129,958.08",-12.59,62.26,"10,432.52",2.40,2.33,3.57,97.22,2.58,8.03,0.54,-109.21,73.00,"329,145.99",8.55,1.15,63.59,5.80,6.29,PTTGC,SET,INDUS,PETRO
3Q2561,"137,774.91",18.31,27.98,"12,965.88",2.84,2.86,4.40,97.09,2.74,9.41,0.54,-187.79,81.25,"366,343.99",8.57,1.27,63.77,5.21,6.71,PTTGC,SET,INDUS,PETRO
4Q2561,"132,667.28",-68.32,-57.75,"4,310.85",0.90,0.93,1.44,92.87,4.90,3.25,0.55,-219.92,71.25,"321,255.50",7.05,1.10,64.79,5.94,6.83,PTTGC,SET,INDUS,PETRO
1Q2562,"114,199.50",58.89,-47.95,"6,593.74",1.43,1.41,2.15,96.28,3.17,5.77,0.51,-224.16,67.25,"303,220.10",7.57,1.02,65.66,6.32,7.00,PTTGC,SET,INDUS,PETRO
2Q2562,"107,954.05",-65.73,-79.60,"2,396.67",0.49,0.52,0.79,95.76,3.82,2.22,0.52,-243.50,64.00,"288,566.34",8.46,0.96,66.94,6.64,8.35,PTTGC,SET,INDUS,PETRO
3Q2562,"106,410.65",20.41,-79.23,"2,862.90",0.59,0.63,0.97,95.78,3.80,2.69,0.54,-168.41,53.75,"242,350.64",9.50,0.84,64.11,7.91,9.64,PTTGC,SET,INDUS,PETRO
4Q2562,"86,596.20",-86.44,-91.11,495.98,0.08,0.11,0.17,93.90,5.14,0.57,0.54,-112.98,57.00,"257,004.40",16.64,0.89,63.64,7.49,11.24,PTTGC,SET,INDUS,PETRO
1Q2563,"94,259.08",,,"-8,721.89",-1.96,-1.95,-3.02,95.73,3.79,-9.25,0.56,-55.06,30.50,"137,519.90",,,,6.57,15.59,PTTGC,SET,INDUS,PETRO
2Q2563,"70,670.18",,-24.49,"1,671.40",0.37,0.37,0.59,94.39,4.63,2.37,0.63,0.80,46.25,"208,534.27",N/A,0.75,61.59,4.33,19.25,PTTGC,SET,INDUS,PETRO
3Q2563,"77,417.65",-43.24,-64.41,982.09,0.21,0.22,0.35,95.09,4.56,1.27,0.61,26.82,39.25,"176,972.33",N/A,0.64,60.94,5.11,18.97,PTTGC,SET,INDUS,PETRO
4Q2563,"89,224.38",576.19,"1,675.00","6,720.28",1.42,1.42,2.35,93.98,5.06,7.53,0.69,49.35,58.50,"263,767.67",N/A,0.96,61.17,3.43,17.25,PTTGC,SET,INDUS,PETRO
1Q2564,"103,083.83",52.11,,"9,827.08",2.16,1.89,3.34,95.86,3.84,9.53,0.84,57.55,62.75,"282,930.28","1,410.43",1.00,62.64,1.59,10.62,PTTGC,SET,INDUS,PETRO
2Q2564,"135,389.05",158.37,"1,408.33","25,175.85",5.58,4.44,8.12,87.82,3.27,18.60,0.81,80.61,59.00,"266,022.10",14.17,0.91,64.97,1.69,6.29,PTTGC,SET,INDUS,PETRO
3Q2564,"113,756.71",-72.06,642.46,"7,238.70",1.56,1.25,2.26,95.38,4.39,6.36,0.81,73.68,63.25,"285,184.71",6.78,0.91,69.57,1.57,5.82,PTTGC,SET,INDUS,PETRO
4Q2564,"139,260.77",-54.46,-50.00,"3,308.45",0.71,0.50,1.02,94.96,6.00,2.38,1.30,-51.51,58.75,"264,894.89",5.50,0.85,69.48,1.69,7.80,PTTGC,SET,INDUS,PETRO
1Q2565,"177,578.38",31.56,-56.76,"4,681.20",0.93,0.61,1.43,94.23,5.37,2.64,1.40,-137.99,50.75,"228,824.09",,,,7.37,8.01,PTTGC,SET,INDUS,PETRO
2Q2565,"198,421.09",-67.25,-94.52,"1,826.22",0.31,0.23,0.57,95.08,4.73,0.92,1.50,-186.31,45.25,"205,152.63",5.19,0.65,70.16,8.22,12.40,PTTGC,SET,INDUS,PETRO
3Q2565,"183,732.20",,,"-13,184.07",-2.97,-1.72,-4.26,94.62,5.24,-7.18,1.46,-206.92,40.75,"187,117.24",11.80,0.61,68.21,9.01,18.57,PTTGC,SET,INDUS,PETRO
