,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,613.21,,201.99,131.67,0.33,6.66,8.42,89.58,10.27,21.47,0.29,-16.64,6.40,"2,560.00",26.79,1.69,3.78,1.25,7.21,Q-CON,SET,PROPCON,CONMAT
2Q2555,534.86,-35.95,219.44,84.51,0.21,4.15,5.11,88.89,9.98,15.80,0.17,-39.35,9.95,"3,980.00",21.70,2.47,4.03,0.80,9.18,Q-CON,SET,PROPCON,CONMAT
3Q2555,563.52,62.15,105.94,136.57,0.34,6.56,7.73,89.19,8.51,24.23,0.19,-73.39,12.20,"4,880.00",20.18,2.87,4.24,0.66,9.36,Q-CON,SET,PROPCON,CONMAT
4Q2555,462.97,-66.87,,45.31,0.11,2.06,2.44,91.32,9.57,9.79,0.18,-125.92,14.70,"5,880.00",18.84,3.21,4.58,0.54,9.88,Q-CON,SET,PROPCON,CONMAT
1Q2556,569.09,20.68,-58.47,54.67,0.14,2.27,2.97,88.54,10.22,9.61,0.44,-169.84,21.30,"8,520.00",21.40,4.54,4.70,1.50,16.97,Q-CON,SET,PROPCON,CONMAT
2Q2556,546.63,-29.78,-54.48,38.39,0.10,1.51,2.10,86.68,12.09,7.02,0.35,-189.53,11.10,"4,440.00",13.83,2.46,4.51,2.88,10.38,Q-CON,SET,PROPCON,CONMAT
3Q2556,588.65,52.52,-57.18,58.56,0.15,2.34,3.13,89.93,8.97,9.95,0.32,-188.82,10.50,"4,200.00",15.28,2.28,4.61,3.05,11.91,Q-CON,SET,PROPCON,CONMAT
4Q2556,578.06,40.62,81.74,82.34,0.21,3.35,4.24,94.11,6.36,14.24,0.21,-221.15,9.50,"3,800.00",19.30,2.00,4.76,3.37,9.30,Q-CON,SET,PROPCON,CONMAT
1Q2557,596.62,-16.94,25.09,68.39,0.17,2.79,3.47,90.41,9.28,11.46,0.28,-190.22,9.65,"3,860.00",16.50,1.94,4.96,2.59,8.83,Q-CON,SET,PROPCON,CONMAT
2Q2557,483.33,-71.34,-48.94,19.49,0.05,0.80,0.99,89.18,10.50,4.03,0.20,-156.62,10.50,"4,200.00",16.96,2.15,4.88,2.38,9.71,Q-CON,SET,PROPCON,CONMAT
3Q2557,562.66,105.57,-31.18,40.41,0.10,1.69,2.03,91.47,8.35,7.18,0.20,-135.66,9.40,"3,760.00",16.43,1.91,4.93,2.66,8.98,Q-CON,SET,PROPCON,CONMAT
4Q2557,478.39,,,-0.03,-0.00,0.00,0.00,88.84,10.57,-0.01,0.16,-97.91,8.75,"3,500.00",16.62,1.74,5.03,2.86,10.63,Q-CON,SET,PROPCON,CONMAT
1Q2558,477.63,,-88.30,8.18,0.02,0.35,0.41,89.82,10.07,1.71,0.21,-109.20,8.30,"3,320.00",25.88,1.65,5.03,1.69,13.13,Q-CON,SET,PROPCON,CONMAT
2Q2558,410.21,-87.00,-94.69,0.86,0.00,0.04,0.04,89.24,10.57,0.21,0.16,-119.83,7.70,"3,080.00",45.26,1.57,4.91,1.82,13.43,Q-CON,SET,PROPCON,CONMAT
