,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,97.73,-35.90,19.05,22.44,0.25,6.39,7.56,87.01,12.15,22.96,0.17,-92.35,6.85,616.50,6.95,2.27,3.02,6.95,5.52,QLT,mai,SERVICE,-
2Q2555,88.21,-40.00,-25.00,15.95,0.15,4.50,5.27,84.57,14.02,18.09,0.17,-136.01,7.50,708.75,7.31,2.31,3.42,6.35,6.49,QLT,mai,SERVICE,-
3Q2555,115.10,106.67,34.78,29.82,0.31,8.27,9.78,89.13,9.92,25.91,0.19,-207.26,8.10,770.23,8.16,2.61,3.13,5.84,6.34,QLT,mai,SERVICE,-
4Q2555,104.94,-9.68,-28.21,26.49,0.28,6.87,8.12,87.95,11.23,25.24,0.17,-198.69,10.20,969.91,9.47,3.12,3.27,4.64,8.52,QLT,mai,SERVICE,-
1Q2556,93.25,-32.14,-24.00,17.88,0.19,4.46,5.11,86.71,12.09,19.17,0.12,-175.37,12.20,"1,167.63",12.45,3.46,3.55,5.69,13.02,QLT,mai,SERVICE,-
2Q2556,98.45,26.32,60.00,22.89,0.24,5.82,6.57,87.38,11.60,23.25,0.14,-170.79,0.00,"1,052.78",11.77,2.93,3.75,6.34,10.62,QLT,mai,SERVICE,-
3Q2556,100.55,-2.51,-24.52,22.34,0.23,5.70,6.61,87.39,11.65,22.22,0.18,-152.32,11.30,"1,091.32",11.24,3.27,3.49,6.12,11.92,QLT,mai,SERVICE,-
4Q2556,108.88,-11.95,-26.42,20.04,0.21,4.82,5.72,85.03,14.02,18.40,0.19,-150.98,10.90,"1,052.69",11.69,3.11,3.51,6.34,12.59,QLT,mai,SERVICE,-
1Q2557,126.38,50.47,63.16,30.58,0.31,6.90,8.12,88.67,10.67,24.20,0.16,-175.85,11.00,"1,065.85",12.76,2.97,3.72,5.87,8.71,QLT,mai,SERVICE,-
2Q2557,107.20,-41.94,-25.00,16.15,0.18,3.61,4.23,84.30,14.09,15.07,0.19,-183.74,12.00,"1,162.75",12.14,2.97,4.04,5.38,10.65,QLT,mai,SERVICE,-
3Q2557,131.38,45.15,11.66,25.97,0.26,5.73,6.87,87.35,11.89,19.77,0.21,-199.02,11.80,"1,157.90",12.94,3.14,3.81,5.40,10.18,QLT,mai,SERVICE,-
4Q2557,140.47,25.82,59.56,32.35,0.33,6.66,8.05,88.39,10.92,23.03,0.21,-211.41,11.40,"1,118.65",12.05,2.91,3.91,5.59,8.64,QLT,mai,SERVICE,-
1Q2558,135.07,6.47,12.90,35.02,0.35,6.90,8.02,84.22,12.73,25.93,0.12,-172.28,12.80,"1,260.90",12.02,3.03,4.24,5.43,8.98,QLT,mai,SERVICE,-
