,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,121.20,-98.02,,1.31,0.01,0.22,0.34,79.17,19.51,1.08,0.64,421.70,3.54,708.00,8.42,1.86,1.90,5.37,5.91,QTC,SET,RESOURC,ENERG
2Q2555,201.24,308.88,,5.34,0.03,0.83,1.46,85.86,13.18,2.65,0.88,505.15,3.26,652.00,8.16,1.71,1.91,5.83,6.22,QTC,SET,RESOURC,ENERG
3Q2555,223.84,302.88,-10.36,21.51,0.11,3.09,5.99,84.28,14.20,9.61,0.99,512.71,3.72,744.00,8.82,2.13,1.74,5.11,7.14,QTC,SET,RESOURC,ENERG
4Q2555,423.43,317.59,36.12,90.72,0.45,11.90,21.83,92.31,6.92,21.43,0.71,499.92,4.68,936.00,10.85,2.53,1.85,4.06,6.39,QTC,SET,RESOURC,ENERG
1Q2556,161.89,-90.03,585.76,8.96,0.04,1.19,1.92,82.05,16.75,5.53,0.52,474.15,6.45,"1,290.00",10.85,2.80,2.30,4.81,7.24,QTC,SET,RESOURC,ENERG
2Q2556,175.81,26.64,112.40,11.34,0.06,1.59,2.54,79.56,19.37,6.45,0.70,442.84,5.65,"1,130.00",8.93,2.39,2.36,5.49,6.57,QTC,SET,RESOURC,ENERG
3Q2556,166.74,-46.68,-71.89,6.05,0.03,0.87,1.43,84.23,14.38,3.63,0.59,419.94,5.95,"1,190.00",8.98,2.83,2.11,5.21,7.30,QTC,SET,RESOURC,ENERG
4Q2556,307.25,696.36,-46.39,48.16,0.24,6.80,10.67,88.54,10.95,15.68,0.55,384.26,4.68,936.00,8.00,2.19,2.14,6.62,7.91,QTC,SET,RESOURC,ENERG
1Q2557,121.98,,,-4.97,-0.02,-0.71,-1.05,79.11,20.18,-4.08,0.42,376.85,4.14,828.00,11.11,1.74,2.38,5.07,8.31,QTC,SET,RESOURC,ENERG
2Q2557,144.55,14.44,,-4.25,-0.02,-0.62,-0.95,70.56,22.79,-2.94,0.65,372.36,3.74,748.00,12.35,1.59,2.35,5.61,9.98,QTC,SET,RESOURC,ENERG
3Q2557,123.68,-291.21,,-16.65,-0.08,-2.32,-4.01,78.49,24.28,-13.46,0.81,382.41,5.55,"1,110.00",24.68,2.62,2.12,3.78,19.12,QTC,SET,RESOURC,ENERG
4Q2557,378.26,,68.54,81.18,0.41,11.20,18.14,92.42,7.34,21.46,0.46,391.98,4.78,956.00,42.90,2.35,2.03,4.39,9.48,QTC,SET,RESOURC,ENERG
1Q2558,165.17,,-73.82,-8.77,-0.04,-1.17,-1.81,78.59,20.33,-5.31,0.62,367.87,4.98,996.00,18.01,2.04,2.44,3.61,11.30,QTC,SET,RESOURC,ENERG
2Q2558,188.05,,,0.15,0.00,0.02,0.03,82.44,16.93,0.08,0.80,396.34,4.32,864.00,16.74,1.81,2.39,4.17,9.80,QTC,SET,RESOURC,ENERG
3Q2558,321.72,"19,957.89",,45.71,0.23,5.14,9.74,89.07,10.40,14.21,0.98,399.56,4.72,944.00,16.83,2.13,2.21,3.81,7.04,QTC,SET,RESOURC,ENERG
4Q2558,560.51,78.19,0.38,81.46,0.41,7.97,15.28,92.39,7.32,14.53,0.86,328.67,5.10,"1,020.00",8.61,2.08,2.45,3.53,7.16,QTC,SET,RESOURC,ENERG
1Q2559,85.39,,-186.86,-24.81,-0.12,-2.47,-4.69,63.76,35.65,-29.05,0.95,377.55,5.50,"1,100.00",9.26,1.93,2.85,5.82,8.38,QTC,SET,RESOURC,ENERG
