,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,715.62,-20.58,-14.38,181.72,15.24,3.20,5.13,85.04,9.68,25.39,0.57,297.15,"1,000.00","12,000.00",13.12,3.74,267.56,1.20,10.38,RAM,SET,SERVICE,HELTH
2Q2555,780.51,17.98,-1.21,214.06,17.98,3.63,5.60,79.07,8.29,27.43,0.51,298.65,"1,050.00","12,600.00",14.25,3.42,306.86,1.14,11.04,RAM,SET,SERVICE,HELTH
3Q2555,850.38,226.92,179.37,704.22,58.78,11.34,16.55,85.61,7.78,82.81,0.42,290.61,"1,916.00","22,992.00",26.09,6.08,314.90,0.63,14.21,RAM,SET,SERVICE,HELTH
4Q2555,810.08,-95.07,-84.89,27.34,2.90,0.41,0.59,82.64,8.60,3.37,0.46,287.44,"1,576.00","18,912.00",14.17,4.16,379.11,0.76,12.99,RAM,SET,SERVICE,HELTH
1Q2556,760.93,880.34,86.55,339.07,28.43,4.42,6.65,83.31,10.58,44.56,0.54,297.29,0.00,"21,600.00",18.97,4.76,378.39,0.67,13.69,RAM,SET,SERVICE,HELTH
2Q2556,822.77,-31.02,9.07,237.15,19.61,2.80,4.34,75.36,9.13,28.82,0.57,316.16,0.00,"22,200.00",17.12,4.04,458.20,0.65,13.83,RAM,SET,SERVICE,HELTH
3Q2556,891.09,-21.98,-73.97,182.01,15.30,2.27,3.41,75.14,9.60,20.43,0.44,337.27,"1,890.00","22,680.00",17.23,4.39,430.81,0.63,19.82,RAM,SET,SERVICE,HELTH
4Q2556,803.67,-32.42,256.55,120.74,10.34,1.56,2.29,78.16,10.05,15.02,0.49,347.92,"1,880.00","22,560.00",28.38,4.34,432.77,0.64,19.64,RAM,SET,SERVICE,HELTH
1Q2557,844.94,93.13,-29.76,237.18,19.97,2.89,4.41,86.23,10.66,28.07,0.55,359.21,0.00,"22,800.00",25.79,4.49,423.49,0.63,22.53,RAM,SET,SERVICE,HELTH
2Q2557,843.80,-14.62,-13.05,202.18,17.05,2.32,3.51,81.70,9.30,23.96,0.48,365.91,0.00,"24,360.00",31.13,4.50,451.12,0.59,24.66,RAM,SET,SERVICE,HELTH
3Q2557,"1,105.73",111.20,135.36,428.51,36.01,4.52,6.82,67.90,7.58,38.75,0.54,349.92,0.00,"24,576.00",32.69,4.21,486.63,0.59,20.31,RAM,SET,SERVICE,HELTH
4Q2557,882.85,-69.04,7.83,131.17,11.15,1.25,1.94,88.88,9.54,14.86,0.56,322.76,0.00,"24,000.00",23.99,3.79,528.21,0.60,19.94,RAM,SET,SERVICE,HELTH
1Q2558,851.64,60.00,-10.67,211.89,17.84,1.94,2.99,84.76,11.00,24.88,0.53,308.28,0.00,"26,400.00",26.13,3.94,557.82,0.55,21.91,RAM,SET,SERVICE,HELTH
2Q2558,906.64,24.66,30.44,264.51,22.24,2.41,3.64,80.42,8.54,29.17,0.48,308.43,"2,160.00","25,920.00",26.32,3.73,579.39,0.56,20.21,RAM,SET,SERVICE,HELTH
3Q2558,942.34,8.23,-33.16,286.87,24.07,2.65,3.90,80.53,10.04,30.44,0.46,329.94,0.00,"25,200.00",24.07,3.57,588.55,0.57,21.72,RAM,SET,SERVICE,HELTH
4Q2558,934.60,-13.96,85.74,246.07,20.71,2.23,3.27,86.93,11.39,26.33,0.47,341.03,0.00,"24,000.00",26.56,3.37,592.99,0.60,19.11,RAM,SET,SERVICE,HELTH
1Q2559,996.95,1.45,17.77,249.96,21.01,2.17,3.10,86.92,9.97,25.07,0.39,344.48,0.00,"27,000.00",26.52,3.64,618.55,0.53,20.52,RAM,SET,SERVICE,HELTH
2Q2559,"1,018.95",4.66,-1.12,257.25,21.99,2.05,3.00,75.95,10.25,25.25,0.53,135.77,0.00,"39,000.00",36.92,4.78,679.50,0.37,29.64,RAM,SET,SERVICE,HELTH
3Q2559,"1,103.48",45.61,33.03,383.16,32.02,2.80,4.18,79.63,9.46,34.72,0.47,-36.73,0.00,"39,000.00",37.02,4.63,701.84,0.37,27.59,RAM,SET,SERVICE,HELTH
