,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,0.65,85.65,,,,,,,,RBF,SET,AGRO,FOOD
2Q2562,"1,415.55",,,147.23,0.10,4.25,7.22,76.12,23.69,10.40,0.75,112.82,,,,,,,,RBF,SET,AGRO,FOOD
3Q2562,688.05,-28.23,,105.97,0.07,3.05,5.20,78.60,21.11,15.40,0.66,146.94,,,,,,,,RBF,SET,AGRO,FOOD
4Q2562,778.40,-27.87,,100.34,0.05,2.54,3.36,78.01,20.37,12.89,0.14,167.20,4.40,"8,800.00",25.48,,0.00,0.00,6.41,RBF,SET,AGRO,FOOD
1Q2563,817.02,42.72,,146.98,0.07,3.18,3.73,79.32,19.54,17.99,0.20,257.25,3.66,"7,320.00",,,,4.10,7.72,RBF,SET,AGRO,FOOD
2Q2563,699.55,-26.04,-45.36,108.68,0.05,2.31,2.77,79.64,20.57,15.54,0.20,340.16,8.35,"16,700.00",40.49,4.16,2.01,1.80,22.14,RBF,SET,AGRO,FOOD
3Q2563,829.30,29.33,-1.54,140.42,0.07,3.01,3.60,81.62,18.66,16.93,0.20,336.32,9.70,"19,400.00",42.04,5.07,1.91,1.55,23.81,RBF,SET,AGRO,FOOD
4Q2563,841.39,-13.61,17.94,121.23,0.06,2.52,3.01,78.19,20.67,14.41,0.19,334.70,9.30,"18,600.00",37.46,4.68,1.99,1.61,22.29,RBF,SET,AGRO,FOOD
1Q2564,849.85,-38.39,-49.08,76.14,0.04,1.53,1.84,79.59,20.24,8.96,0.22,335.13,18.10,"36,200.00",69.75,8.85,2.05,0.83,48.14,RBF,SET,AGRO,FOOD
2Q2564,785.25,45.27,0.00,108.44,0.05,2.23,2.66,80.55,19.41,13.81,0.16,342.39,22.10,"44,200.00",98.95,10.62,2.08,0.68,53.53,RBF,SET,AGRO,FOOD
3Q2564,825.53,21.12,-6.34,134.53,0.07,2.85,3.31,80.29,19.34,16.30,0.16,363.60,19.40,"38,800.00",87.05,9.74,1.99,0.77,47.34,RBF,SET,AGRO,FOOD
1Q2565,988.46,21.21,113.28,165.72,0.08,3.30,3.88,80.92,18.65,16.77,0.19,383.99,16.20,"32,400.00",,,,0.93,36.45,RBF,SET,AGRO,FOOD
2Q2565,979.13,-26.25,8.28,116.28,0.06,2.26,2.70,80.54,19.38,11.88,0.20,406.34,14.80,"31,000.00",61.03,7.09,2.19,0.97,33.45,RBF,SET,AGRO,FOOD
3Q2565,994.48,-6.78,-16.67,113.51,0.06,2.23,2.65,80.27,19.65,11.41,0.18,417.32,12.20,"24,800.00",48.13,5.91,2.10,1.21,28.27,RBF,SET,AGRO,FOOD
