,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,2.91,-117.68,,,,,,,,RJH,SET,SERVICE,HELTH
2Q2559,581.36,,,65.68,0.31,5.94,22.57,88.17,10.81,11.30,2.70,-124.24,,,,,,,,RJH,SET,SERVICE,HELTH
3Q2559,320.57,-36.90,,51.65,0.20,3.39,5.63,87.75,11.36,16.11,0.25,-145.89,23.30,"6,990.00",61.00,,0.00,0.00,15.91,RJH,SET,SERVICE,HELTH
4Q2559,322.07,-44.25,,37.61,0.11,2.01,2.45,86.39,11.83,11.68,0.18,-170.50,25.50,"7,650.00",53.33,5.02,5.08,0.00,16.07,RJH,SET,SERVICE,HELTH
1Q2560,319.33,80.36,,74.19,0.20,4.01,4.70,87.17,11.11,23.23,0.16,-220.10,22.90,"6,870.00",44.42,4.61,4.97,1.75,19.55,RJH,SET,SERVICE,HELTH
2Q2560,336.76,-25.48,-52.72,49.00,0.15,2.62,3.04,87.25,11.32,14.55,0.16,-258.34,22.50,"6,750.00",39.19,4.36,5.16,1.78,22.78,RJH,SET,SERVICE,HELTH
3Q2560,395.17,62.95,22.10,74.44,0.24,4.02,4.62,88.85,9.89,18.84,0.13,-265.85,27.25,"8,175.00",43.48,5.33,5.11,1.47,23.81,RJH,SET,SERVICE,HELTH
4Q2560,372.98,-22.23,70.33,58.29,0.19,3.12,3.55,87.56,10.86,15.63,0.14,-258.73,25.00,"7,500.00",35.52,4.85,5.15,1.60,20.61,RJH,SET,SERVICE,HELTH
1Q2561,392.40,17.14,10.62,69.08,0.22,3.50,4.06,85.39,12.19,17.60,0.18,-235.07,25.50,"7,650.00",33.08,4.81,5.30,2.16,19.35,RJH,SET,SERVICE,HELTH
2Q2561,388.19,-32.49,0.21,43.96,0.15,2.25,2.94,85.52,13.27,11.32,0.48,-220.53,21.00,"6,300.00",26.52,3.80,5.52,2.62,17.05,RJH,SET,SERVICE,HELTH
3Q2561,431.37,69.30,4.12,75.08,0.25,4.07,6.02,89.36,9.63,17.40,0.47,-221.19,24.50,"7,350.00",30.93,5.87,4.17,2.24,19.54,RJH,SET,SERVICE,HELTH
4Q2561,399.08,-6.67,24.94,70.04,0.23,3.78,5.49,88.32,10.41,17.55,0.44,-214.47,18.60,"5,580.00",23.19,4.51,4.12,2.96,14.45,RJH,SET,SERVICE,HELTH
1Q2562,451.92,152.41,169.24,176.67,0.59,9.44,12.64,89.45,9.21,39.09,0.25,-226.57,22.30,"6,690.00",26.28,5.12,4.35,3.14,12.66,RJH,SET,SERVICE,HELTH
2Q2562,428.32,-72.63,9.16,48.40,0.16,2.66,3.34,83.77,14.93,11.30,0.26,-215.08,25.75,"7,725.00",21.14,5.21,4.94,2.72,14.59,RJH,SET,SERVICE,HELTH
3Q2562,466.15,85.23,19.44,89.61,0.30,5.31,6.55,90.40,8.39,19.22,0.21,-229.54,26.00,"7,800.00",21.11,5.53,4.70,2.69,14.01,RJH,SET,SERVICE,HELTH
4Q2562,456.69,-8.62,16.95,81.86,0.27,4.98,6.01,87.19,9.52,17.92,0.20,-239.24,25.25,"7,575.00",19.72,5.74,4.40,2.77,13.12,RJH,SET,SERVICE,HELTH
1Q2563,453.51,1.27,-53.08,82.92,0.28,4.78,5.75,88.77,9.84,18.28,0.20,-250.61,18.80,"5,640.00",,,,5.85,12.03,RJH,SET,SERVICE,HELTH
2Q2563,397.51,-21.68,34.26,64.90,0.22,3.76,4.51,88.80,10.04,16.33,0.20,-295.70,21.30,"6,390.00",21.14,4.32,4.93,5.16,13.28,RJH,SET,SERVICE,HELTH
3Q2563,520.21,85.72,34.61,120.93,0.40,6.97,8.65,91.44,7.29,23.25,0.29,-298.22,22.40,"6,720.00",21.08,4.82,4.64,4.91,13.03,RJH,SET,SERVICE,HELTH
4Q2563,507.17,20.01,76.77,144.87,0.48,7.84,9.99,90.89,8.04,28.57,0.27,-327.01,23.70,"7,110.00",20.33,5.10,4.65,4.64,13.25,RJH,SET,SERVICE,HELTH
1Q2564,510.43,-26.20,28.82,106.92,0.36,5.53,6.88,91.36,7.66,20.95,0.23,-340.76,26.25,"7,875.00",19.09,5.26,4.99,3.81,13.44,RJH,SET,SERVICE,HELTH
2Q2564,564.32,29.13,112.38,138.39,0.46,6.86,8.76,91.43,7.61,24.52,0.33,-359.09,31.00,"9,300.00",21.31,5.80,5.34,3.23,13.81,RJH,SET,SERVICE,HELTH
3Q2564,"1,150.11",251.73,302.22,486.32,1.61,19.79,28.03,94.68,4.74,42.28,0.49,-406.76,30.50,"9,150.00",17.97,5.92,5.15,3.28,8.53,RJH,SET,SERVICE,HELTH
1Q2565,"1,183.32",-2.22,344.12,474.92,1.58,14.22,21.63,95.14,4.13,40.14,0.55,-400.62,32.00,"9,600.00",,,,8.45,6.50,RJH,SET,SERVICE,HELTH
2Q2565,"1,070.78",-10.58,207.55,423.95,1.41,10.42,16.32,93.90,4.57,39.59,0.58,-388.32,35.00,"10,875.00",7.88,4.41,8.22,7.46,5.94,RJH,SET,SERVICE,HELTH
3Q2565,598.12,-76.62,-79.56,100.77,0.33,2.42,4.04,90.67,8.07,16.85,0.77,-381.11,33.50,"10,125.00",6.08,3.79,8.91,8.01,5.70,RJH,SET,SERVICE,HELTH
