,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,222.39,,"6,102.67",74.43,7.44,9.59,30.92,20.50,20.62,33.47,2.05,86.75,0.00,390.00,N/A,1.92,20.35,0.00,13.68,ROCK,SET,CONSUMP,HOME
2Q2555,211.94,-99.29,-95.01,0.53,0.05,0.06,0.19,73.52,23.87,0.25,1.98,62.56,0.00,410.00,24.75,1.47,27.80,0.00,16.93,ROCK,SET,CONSUMP,HOME
3Q2555,234.25,,71.74,-2.23,-0.23,-0.27,-0.81,75.84,23.93,-0.95,2.11,52.33,0.00,330.00,51.32,1.20,27.56,0.00,16.57,ROCK,SET,CONSUMP,HOME
4Q2555,224.54,,,16.27,1.63,1.97,5.75,69.83,27.96,7.25,1.73,78.36,0.00,322.50,26.38,1.17,27.49,0.00,5.64,ROCK,SET,CONSUMP,HOME
1Q2556,145.22,,,-6.88,-0.69,-0.89,-2.37,61.96,32.35,-4.74,1.62,86.54,0.00,375.00,4.21,1.29,29.07,1.33,13.58,ROCK,SET,CONSUMP,HOME
2Q2556,213.28,,"3,946.50",21.41,2.14,2.78,7.22,75.58,20.58,10.04,1.58,87.18,25.50,255.00,66.35,1.76,28.93,0.98,8.28,ROCK,SET,CONSUMP,HOME
3Q2556,232.48,-23.49,,25.54,1.64,3.12,6.99,78.15,20.99,10.99,1.00,104.85,22.00,440.00,15.40,1.45,15.18,1.14,6.79,ROCK,SET,CONSUMP,HOME
4Q2556,202.45,,,-48.45,-3.60,-5.89,-11.75,72.69,27.11,-23.93,0.99,121.65,33.75,675.00,11.98,1.58,21.36,0.74,16.17,ROCK,SET,CONSUMP,HOME
1Q2557,130.32,81.69,4.13,-13.22,-0.66,-1.71,-3.38,63.22,35.84,-10.14,0.96,134.01,26.75,535.00,N/A,1.35,19.86,0.00,15.13,ROCK,SET,CONSUMP,HOME
2Q2557,140.94,50.15,,-6.56,-0.33,-0.87,-1.72,68.43,30.00,-4.66,0.98,152.74,25.50,510.00,N/A,1.33,19.23,0.00,38.87,ROCK,SET,CONSUMP,HOME
