,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,217.48,97.53,-100.00,-1.48,-0.02,-0.11,-0.17,64.86,35.00,-0.68,0.59,-22.60,0.00,"1,921.88",N/A,2.24,9.14,0.00,23.30,ROH,SET,SERVICE,TOURISM
2Q2555,175.15,"-2,050.00",29.51,-40.37,-0.43,-3.02,-4.78,58.04,41.85,-23.05,0.58,-50.67,0.00,"1,828.13",N/A,2.14,9.12,0.00,19.83,ROH,SET,SERVICE,TOURISM
3Q2555,197.97,41.86,50.00,-23.53,-0.25,-1.85,-2.90,60.99,38.92,-11.88,0.56,-81.44,0.00,"1,809.38",N/A,2.22,8.69,0.00,16.93,ROH,SET,SERVICE,TOURISM
4Q2555,256.66,,,10.93,0.12,0.89,1.36,66.75,33.13,4.26,0.49,-74.37,0.00,"1,734.38",N/A,2.19,8.44,0.00,10.07,ROH,SET,SERVICE,TOURISM
1Q2556,252.20,66.67,,18.53,0.20,1.48,2.08,66.79,33.13,7.35,0.34,-95.68,0.00,"1,875.00",N/A,2.34,8.55,3.00,9.63,ROH,SET,SERVICE,TOURISM
2Q2556,187.44,,39.53,-24.52,-0.26,-1.93,-2.64,55.91,43.96,-13.08,0.40,-91.95,26.00,"2,437.50",N/A,2.54,10.25,2.31,12.17,ROH,SET,SERVICE,TOURISM
3Q2556,202.41,37.21,34.70,-14.81,-0.16,-1.21,-1.68,59.83,40.06,-7.32,0.37,-97.47,0.00,"2,193.75",N/A,2.49,9.39,2.56,11.13,ROH,SET,SERVICE,TOURISM
4Q2556,250.46,,-41.94,6.59,0.07,0.56,0.75,67.81,32.11,2.63,0.30,-102.57,0.00,"1,781.25",N/A,2.06,9.23,3.16,8.77,ROH,SET,SERVICE,TOURISM
1Q2557,203.27,-86.02,-95.13,0.96,0.01,0.09,0.11,61.48,38.42,0.47,0.25,-105.24,29.25,"2,742.19",N/A,3.14,9.30,2.05,14.54,ROH,SET,SERVICE,TOURISM
2Q2557,129.49,,-44.11,-35.11,-0.37,-3.27,-4.19,51.07,48.80,-27.11,0.31,-106.27,0.00,"2,437.50",N/A,2.79,9.31,2.31,14.69,ROH,SET,SERVICE,TOURISM
3Q2557,129.42,-90.84,-337.98,-66.98,-0.72,-6.50,-8.84,48.45,51.43,-51.76,0.41,-101.55,25.75,"2,414.06",N/A,3.09,8.34,2.33,18.98,ROH,SET,SERVICE,TOURISM
4Q2557,204.37,35.84,,-42.99,-0.46,-4.39,-6.12,61.31,38.62,-21.04,0.38,-96.11,0.00,"2,268.75",N/A,3.17,7.62,2.48,27.98,ROH,SET,SERVICE,TOURISM
1Q2558,248.21,,"4,700.72",43.88,0.47,4.71,6.24,64.36,35.58,17.68,0.28,-95.13,0.00,"2,268.75",N/A,3.38,7.16,0.00,21.00,ROH,SET,SERVICE,TOURISM
2Q2558,184.81,-80.13,,8.73,0.09,0.94,1.20,59.58,40.30,4.72,0.26,-98.92,0.00,"2,437.50",N/A,3.41,7.63,0.00,18.08,ROH,SET,SERVICE,TOURISM
3Q2558,193.48,7.14,,9.15,0.10,0.98,1.24,56.47,43.32,4.73,0.27,-99.15,0.00,"2,718.75",N/A,3.75,7.72,0.00,15.85,ROH,SET,SERVICE,TOURISM
4Q2558,225.36,131.11,,21.50,0.23,2.23,2.85,61.48,38.28,9.54,0.29,-106.76,0.00,"3,000.00",160.88,4.09,7.82,0.00,15.52,ROH,SET,SERVICE,TOURISM
1Q2559,260.23,129.86,13.06,49.59,0.53,4.92,6.28,64.35,35.39,19.06,0.27,-112.52,30.50,"2,859.38",34.38,3.79,8.05,0.00,14.52,ROH,SET,SERVICE,TOURISM
2Q2559,176.30,-86.51,-23.21,6.34,0.07,0.62,0.78,55.67,43.84,3.60,0.24,-113.41,29.25,"2,742.19",30.85,3.41,8.58,0.00,14.27,ROH,SET,SERVICE,TOURISM
3Q2559,191.27,96.27,40.68,13.65,0.14,1.32,1.65,,42.10,7.14,0.27,-117.08,0.00,"2,765.63",31.97,3.41,8.65,0.00,14.19,ROH,SET,SERVICE,TOURISM
4Q2559,239.50,181.31,71.23,36.78,0.39,3.44,4.34,143.28,35.72,15.36,0.25,-120.37,0.00,"2,929.69",32.18,3.55,8.79,0.00,13.93,ROH,SET,SERVICE,TOURISM
1Q2560,253.96,39.65,4.03,51.84,0.55,4.69,5.81,64.89,34.51,20.41,0.23,-117.83,0.00,"3,281.25",30.87,3.81,9.19,2.57,15.04,ROH,SET,SERVICE,TOURISM
2Q2560,185.30,-80.00,54.21,10.21,0.11,0.94,1.16,56.52,42.95,5.51,0.24,-118.26,0.00,"3,070.31",28.28,3.36,9.74,2.75,14.13,ROH,SET,SERVICE,TOURISM
3Q2560,202.03,81.82,42.86,18.54,0.20,1.73,2.17,58.67,40.66,9.18,0.27,-123.34,0.00,"3,375.00",30.01,4.02,8.95,2.50,15.08,ROH,SET,SERVICE,TOURISM
4Q2560,257.76,149.08,26.49,46.75,0.50,4.17,5.28,66.75,32.68,18.14,0.26,-129.61,0.00,"3,492.19",29.76,4.07,9.14,2.42,14.93,ROH,SET,SERVICE,TOURISM
1Q2561,269.47,11.26,0.77,51.95,0.55,4.45,5.91,64.51,34.67,19.28,0.40,-138.38,40.50,"3,796.88",29.82,4.21,9.63,2.90,16.32,ROH,SET,SERVICE,TOURISM
2Q2561,208.04,-66.85,67.02,17.21,0.18,1.50,2.00,58.04,41.22,8.27,0.27,-145.34,40.75,"3,820.31",29.97,4.52,9.01,2.88,15.70,ROH,SET,SERVICE,TOURISM
3Q2561,204.93,39.15,27.82,23.98,0.26,2.16,2.73,60.90,38.35,11.70,0.25,-145.08,0.00,"3,562.50",26.50,4.14,9.19,3.09,14.18,ROH,SET,SERVICE,TOURISM
4Q2561,261.08,103.27,4.31,48.62,0.52,4.26,5.31,65.66,33.75,18.62,0.24,-138.88,49.00,"4,593.75",32.84,5.19,9.45,2.40,17.93,ROH,SET,SERVICE,TOURISM
1Q2562,267.48,6.06,-0.56,51.61,0.55,4.25,5.36,63.25,36.07,19.30,0.28,-143.26,0.00,"4,500.00",31.72,4.82,9.96,2.87,17.44,ROH,SET,SERVICE,TOURISM
2Q2562,204.39,-83.87,-51.63,7.87,0.09,0.66,0.85,55.17,43.92,3.85,0.28,-137.36,49.00,"4,593.75",32.45,4.66,10.52,2.81,19.18,ROH,SET,SERVICE,TOURISM
3Q2562,229.38,294.76,37.23,33.36,0.35,2.96,3.78,56.81,42.32,14.54,0.28,-131.74,37.25,"3,492.19",26.41,4.04,9.22,3.70,14.18,ROH,SET,SERVICE,TOURISM
4Q2562,285.28,65.80,11.94,54.53,0.58,4.60,5.89,63.75,35.23,19.12,0.28,-130.22,0.00,"3,328.13",23.50,3.71,9.58,3.88,13.15,ROH,SET,SERVICE,TOURISM
1Q2563,174.28,-87.29,-86.59,6.93,0.07,0.55,0.72,52.59,47.11,3.98,0.34,-117.44,34.75,"3,257.81",,,,4.13,16.76,ROH,SET,SERVICE,TOURISM
2Q2563,12.10,,,-65.40,-0.70,-5.58,-7.59,-274.46,346.77,-540.32,0.38,-123.21,0.00,"3,375.00",32.87,3.51,10.26,3.99,29.37,ROH,SET,SERVICE,TOURISM
3Q2563,21.92,17.86,,-53.72,-0.57,-5.32,-7.31,-60.53,158.33,-245.07,0.36,-127.84,38.50,"3,609.38",122.70,4.74,8.12,3.73,265.73,ROH,SET,SERVICE,TOURISM
4Q2563,37.22,20.94,,-42.47,-0.45,-4.52,-6.19,-1.68,100.85,-114.11,0.38,-135.30,0.00,"3,585.94",N/A,5.07,7.55,3.75,-34.16,ROH,SET,SERVICE,TOURISM
1Q2564,20.50,-13.92,,-48.38,-0.52,-5.43,-7.57,-75.08,173.87,-235.99,0.41,-157.65,31.25,"2,929.69",N/A,4.42,7.07,0.00,-17.31,ROH,SET,SERVICE,TOURISM
2Q2564,9.96,-31.67,2.60,-63.70,-0.68,-7.68,-10.93,-388.70,487.64,-639.51,0.44,-138.49,32.50,"3,046.88",N/A,4.96,6.56,0.00,-18.25,ROH,SET,SERVICE,TOURISM
3Q2564,74.39,14.64,-1.22,-54.37,-0.58,-1.86,-10.38,-40.50,40.75,-73.09,9.20,-158.44,0.00,"2,882.81",N/A,5.23,5.88,0.00,-73.91,ROH,SET,SERVICE,TOURISM
4Q2564,122.42,,,-46.98,1.55,-0.72,-2.86,-7.74,33.85,-38.38,1.87,-178.98,4.98,"4,668.75",N/A,9.40,0.53,0.00,-962.81,ROH,SET,SERVICE,TOURISM
1Q2565,148.90,,94.56,-26.31,-0.03,-0.33,-0.94,-3.49,30.34,-17.67,1.88,-203.93,3.06,"2,873.09",,,,0.00,76.77,ROH,SET,SERVICE,TOURISM
2Q2565,154.54,-40.53,94.20,-37.01,-0.04,-0.46,-1.34,10.80,32.05,-23.95,1.91,-227.53,3.98,"3,774.45",N/A,1.35,2.97,0.00,38.68,ROH,SET,SERVICE,TOURISM
3Q2565,195.01,48.02,96.47,-19.24,-0.02,-0.24,-0.70,22.34,31.73,-9.87,1.94,-216.99,3.48,"3,267.43",N/A,1.19,2.93,0.00,28.82,ROH,SET,SERVICE,TOURISM
