,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"3,735.17",,,-11.55,-0.02,-0.30,-0.76,95.80,3.78,-0.31,1.34,-322.06,1.81,959.07,5.62,0.62,2.91,2.76,6.48,RPC,SET,RESOURC,ENERG
2Q2555,"1,195.49",-215.98,,-34.39,-0.07,-1.00,-2.76,85.36,11.23,-2.88,2.43,-608.00,1.17,619.95,40.87,0.41,2.84,4.27,14.39,RPC,SET,RESOURC,ENERG
3Q2555,"1,014.44",-72.07,-29.91,-59.75,-0.11,-1.95,-6.26,83.31,12.70,-5.89,1.99,-861.94,1.19,630.55,N/A,0.65,1.84,4.20,14.30,RPC,SET,RESOURC,ENERG
4Q2555,990.80,54.00,,-29.81,-0.05,-1.09,-3.27,84.17,11.94,-3.01,2.01,"-1,178.58",1.42,752.42,N/A,0.82,1.73,3.52,48.77,RPC,SET,RESOURC,ENERG
1Q2556,893.28,26.00,-85.08,-20.44,-0.04,-0.77,-2.35,,10.83,-2.29,2.10,"-1,263.54",1.37,725.92,N/A,0.82,1.67,68.61,219.78,RPC,SET,RESOURC,ENERG
2Q2556,848.19,-35.31,20.74,-26.68,-0.05,-1.02,-3.20,,11.19,-3.15,2.15,"-1,366.89",1.40,741.82,N/A,0.88,1.59,67.14,"-3,369.80",RPC,SET,RESOURC,ENERG
3Q2556,830.88,36.06,70.55,-17.62,-0.03,-0.69,-2.17,,11.88,-2.12,2.19,"-1,446.46",2.00,"1,059.74",N/A,1.31,1.53,47.00,71.51,RPC,SET,RESOURC,ENERG
4Q2556,884.00,-260.35,-130.72,-73.56,-0.12,-2.68,-7.61,,12.31,-8.32,1.60,,1.54,"1,236.42",N/A,1.56,1.50,40.28,-191.02,RPC,SET,RESOURC,ENERG
1Q2557,877.05,79.20,35.16,-24.82,-0.03,-0.78,-1.81,,11.43,-2.83,1.11,,1.49,"1,943.95",N/A,1.74,1.39,0.00,-196.06,RPC,SET,RESOURC,ENERG
2Q2557,893.31,-13.47,45.62,-36.55,-0.03,-1.09,-2.30,,11.57,-4.09,1.13,,1.87,"2,439.72",N/A,1.53,1.22,0.00,-151.98,RPC,SET,RESOURC,ENERG
3Q2557,816.12,-26.15,-7.28,-45.82,-0.04,-1.38,-2.96,,14.87,-5.61,1.16,,1.19,"1,552.55",N/A,1.00,1.19,0.00,-58.61,RPC,SET,RESOURC,ENERG
4Q2557,761.85,-223.10,3.81,-143.93,-0.12,-4.57,-10.29,,15.25,-18.89,1.36,,1.11,"1,448.18",N/A,0.96,1.16,0.00,-23.22,RPC,SET,RESOURC,ENERG
1Q2558,643.09,,,212.15,0.16,6.63,15.38,,12.89,32.99,1.28,,1.12,"1,461.22",N/A,1.16,0.96,0.00,35.67,RPC,SET,RESOURC,ENERG
2Q2558,669.72,,37.95,-23.18,-0.02,-0.68,-1.57,,11.24,-3.46,1.35,,1.12,"1,461.22",N/A,0.99,1.13,0.00,33.69,RPC,SET,RESOURC,ENERG
3Q2558,583.99,,,8.61,0.01,0.25,0.59,,12.68,1.47,1.33,,0.90,"1,174.20",N/A,0.81,1.11,0.00,21.58,RPC,SET,RESOURC,ENERG
4Q2558,554.25,,35.03,-98.16,-0.08,-2.90,-6.89,,17.55,-17.71,1.42,,0.69,900.22,16.58,0.62,1.12,0.00,14.98,RPC,SET,RESOURC,ENERG
1Q2559,560.27,,-79.03,44.53,0.03,1.31,3.18,,13.34,7.95,1.42,,0.73,952.40,9.50,0.70,1.04,0.00,159.19,RPC,SET,RESOURC,ENERG
2Q2559,644.22,-15.79,,37.02,0.03,1.08,2.57,,10.93,5.75,1.35,,1.04,"1,356.85",N/A,0.96,1.08,0.00,45.25,RPC,SET,RESOURC,ENERG
3Q2559,539.77,,,-26.40,-0.02,-0.79,-1.83,,13.43,-4.89,1.29,,0.91,"1,187.24",N/A,0.82,1.11,0.00,81.56,RPC,SET,RESOURC,ENERG
4Q2559,590.35,-376.82,-27.53,-125.19,-0.10,-3.88,-9.14,,12.00,-21.21,1.43,,0.89,"1,161.15",N/A,0.82,1.09,0.00,588.91,RPC,SET,RESOURC,ENERG
1Q2560,682.83,92.90,,-8.87,-0.01,-0.29,-0.68,,9.34,-1.30,1.33,,0.83,"1,082.87",N/A,0.84,0.99,0.00,-56.64,RPC,SET,RESOURC,ENERG
2Q2560,604.54,28.24,,-6.37,-0.00,-0.21,-0.49,,10.69,-1.05,1.31,,0.71,926.31,N/A,0.72,0.98,0.00,-25.87,RPC,SET,RESOURC,ENERG
3Q2560,549.56,-209.63,24.83,-19.71,-0.02,-0.66,-1.54,,12.20,-3.59,1.34,,0.73,952.40,N/A,0.75,0.98,0.00,-28.33,RPC,SET,RESOURC,ENERG
4Q2560,620.72,78.76,96.65,-2.17,-0.00,-0.07,-0.17,,11.37,-0.35,1.39,,0.71,926.31,N/A,0.74,0.96,0.00,102.20,RPC,SET,RESOURC,ENERG
