,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.40,-147.01,,,,,,,,RPH,SET,SERVICE,HELTH
1Q2560,95.40,,,9.36,0.02,0.85,1.04,82.20,17.38,9.82,0.14,-190.62,5.65,"3,084.90",45.43,,0.00,0.85,24.47,RPH,SET,SERVICE,HELTH
2Q2560,102.96,50.00,,14.66,0.03,0.98,1.14,80.89,15.44,14.24,0.18,-269.83,4.92,"2,686.32",45.18,2.08,2.36,0.98,18.85,RPH,SET,SERVICE,HELTH
3Q2560,118.22,33.33,,22.14,0.04,1.44,1.72,83.36,12.24,18.73,0.21,-345.26,4.92,"2,686.32",44.76,2.10,2.34,0.98,15.57,RPH,SET,SERVICE,HELTH
4Q2560,107.84,-25.00,,16.88,0.03,1.04,1.30,85.01,13.11,15.65,0.31,-888.68,4.76,"2,598.96",40.54,2.00,2.38,1.01,30.47,RPH,SET,SERVICE,HELTH
1Q2561,110.40,0.00,50.00,19.04,0.03,1.13,1.47,85.53,13.34,17.25,0.29,"-1,273.49",4.74,"2,588.04",41.05,2.01,2.36,2.22,26.59,RPH,SET,SERVICE,HELTH
2Q2561,113.70,33.33,33.33,17.27,0.04,1.04,1.33,80.19,14.95,15.19,0.27,"-1,442.68",4.84,"2,642.64",36.34,2.02,2.40,2.17,27.63,RPH,SET,SERVICE,HELTH
3Q2561,154.39,-75.00,-75.00,8.86,0.01,0.52,0.69,77.53,21.57,5.74,0.40,"-1,251.58",5.50,"3,003.00",39.86,2.32,2.37,1.91,34.37,RPH,SET,SERVICE,HELTH
4Q2561,164.08,0.00,-66.67,3.26,0.01,0.18,0.26,82.74,16.34,1.99,0.42,"-1,006.17",4.84,"2,642.64",42.59,2.07,2.33,2.17,29.74,RPH,SET,SERVICE,HELTH
1Q2562,207.95,500.00,100.00,30.67,0.06,1.70,2.37,84.12,14.25,14.75,0.37,-770.24,4.80,"2,620.80",54.11,2.05,2.34,1.75,21.92,RPH,SET,SERVICE,HELTH
2Q2562,194.15,-50.00,-25.00,16.56,0.03,0.93,1.27,81.65,15.93,8.53,0.36,-590.30,5.55,"3,030.30",50.45,2.32,2.40,1.52,21.80,RPH,SET,SERVICE,HELTH
3Q2562,222.06,66.67,400.00,27.22,0.05,1.55,2.09,82.01,16.48,12.26,0.35,-469.96,7.10,"3,876.60",65.31,2.96,2.40,1.19,22.27,RPH,SET,SERVICE,HELTH
4Q2562,206.10,-20.00,300.00,21.96,0.04,1.26,1.68,83.77,15.13,10.65,0.33,-365.21,6.55,"3,576.30",46.02,2.75,2.38,1.29,18.24,RPH,SET,SERVICE,HELTH
1Q2563,219.25,25.00,-16.67,29.82,0.05,1.70,2.24,83.91,14.40,13.60,0.30,-277.58,4.68,"2,555.28",,,,2.99,13.44,RPH,SET,SERVICE,HELTH
2Q2563,166.33,-80.00,-66.67,3.61,0.01,0.20,0.27,79.20,18.34,2.17,0.35,-232.25,5.20,"2,839.20",29.71,2.11,2.47,2.69,15.99,RPH,SET,SERVICE,HELTH
3Q2563,198.85,300.00,-20.00,20.51,0.04,1.16,1.56,83.14,15.38,10.32,0.34,-200.88,5.20,"2,839.20",34.37,2.16,2.40,2.69,16.57,RPH,SET,SERVICE,HELTH
4Q2563,228.10,75.00,75.00,39.90,0.07,2.23,2.99,86.24,12.68,17.49,0.33,-172.25,5.55,"3,030.30",39.92,2.30,2.41,2.52,15.55,RPH,SET,SERVICE,HELTH
1Q2564,199.77,-57.14,-40.00,18.96,0.03,1.06,1.39,82.73,16.82,9.49,0.30,-153.77,5.55,"3,030.30",32.29,2.24,2.48,2.34,16.35,RPH,SET,SERVICE,HELTH
2Q2564,194.98,0.00,200.00,14.04,0.03,0.80,1.04,80.61,17.02,7.20,0.28,-147.34,5.10,"2,784.60",33.56,2.03,2.52,2.55,14.26,RPH,SET,SERVICE,HELTH
3Q2564,427.25,800.00,575.00,145.24,0.27,7.89,10.43,90.23,9.17,33.99,0.36,-194.08,6.10,"3,330.60",35.65,2.50,2.44,2.13,10.19,RPH,SET,SERVICE,HELTH
1Q2565,522.29,22.22,"1,000.00",181.38,0.33,8.24,10.95,92.12,7.47,34.73,0.31,-217.78,6.30,"3,439.80",,,,4.76,6.54,RPH,SET,SERVICE,HELTH
2Q2565,286.77,-66.67,266.67,57.17,0.11,2.45,3.14,85.54,13.65,19.94,0.25,-230.09,6.50,"3,603.60",6.37,1.94,3.41,4.55,6.33,RPH,SET,SERVICE,HELTH
3Q2565,286.50,-9.09,-62.96,55.87,0.10,2.59,3.18,89.71,9.22,19.50,0.21,-249.97,6.00,"3,330.60",5.47,1.87,3.26,4.92,5.42,RPH,SET,SERVICE,HELTH
