,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.32,32.26,,,,,,,,RSP,SET,SERVICE,COMM
2Q2560,601.12,,,122.16,0.27,13.68,17.30,71.44,27.93,20.32,0.21,53.28,,,,,,,,RSP,SET,SERVICE,COMM
3Q2560,280.51,-73.01,,45.65,0.07,5.23,6.32,70.61,28.88,16.27,0.20,69.90,,,,,,,,RSP,SET,SERVICE,COMM
4Q2560,301.92,4.69,,58.25,0.08,4.07,4.54,65.76,33.03,19.29,0.08,77.46,4.98,"3,834.60",16.03,,0.00,0.00,4.06,RSP,SET,SERVICE,COMM
1Q2561,301.12,4.86,,61.20,0.08,2.98,3.22,67.67,30.20,20.32,0.08,128.36,6.85,"5,274.50",23.33,2.82,2.43,2.19,13.08,RSP,SET,SERVICE,COMM
2Q2561,258.90,-58.93,-87.83,26.80,0.03,1.32,1.42,61.51,35.97,10.35,0.07,152.68,4.96,"3,819.20",18.44,1.98,2.51,3.02,11.84,RSP,SET,SERVICE,COMM
3Q2561,267.36,13.02,-49.03,25.56,0.04,1.31,1.40,57.05,39.74,9.56,0.07,184.22,4.22,"3,249.40",16.94,1.76,2.39,3.55,12.28,RSP,SET,SERVICE,COMM
4Q2561,321.38,34.63,-34.46,44.03,0.05,2.26,2.42,70.70,26.73,13.70,0.08,257.81,3.72,"2,864.40",16.66,1.60,2.33,4.03,10.44,RSP,SET,SERVICE,COMM
1Q2562,344.75,40.00,-12.50,51.57,0.07,2.58,2.76,56.84,40.32,14.96,0.07,290.38,3.52,"2,710.40",17.17,1.48,2.38,5.68,10.34,RSP,SET,SERVICE,COMM
2Q2562,326.79,-14.29,82.59,48.24,0.06,2.41,2.57,57.12,39.68,14.76,0.06,315.83,3.66,"2,818.20",19.00,1.49,2.45,5.46,10.51,RSP,SET,SERVICE,COMM
3Q2562,309.61,-33.33,7.70,32.86,0.04,1.65,1.75,51.79,43.00,10.61,0.05,300.88,3.92,"3,018.40",17.75,1.62,2.41,5.10,10.36,RSP,SET,SERVICE,COMM
4Q2562,320.77,-25.00,-40.00,18.08,0.03,0.92,0.98,55.04,45.83,5.64,0.06,247.64,3.28,"2,525.60",13.74,1.29,2.46,6.32,10.31,RSP,SET,SERVICE,COMM
1Q2563,234.17,,,-29.13,-0.04,-1.47,-1.65,27.36,68.99,-12.44,0.19,224.09,0.95,731.50,,,,5.26,0.81,RSP,SET,SERVICE,COMM
2Q2563,148.51,,-93.33,1.10,0.00,0.05,0.06,44.62,54.53,0.74,0.17,236.45,1.57,"1,208.90",16.24,0.68,2.31,3.18,7.71,RSP,SET,SERVICE,COMM
3Q2563,263.37,18.50,-88.15,2.94,0.00,0.14,0.17,47.73,51.19,1.12,0.18,229.14,1.60,"1,232.00",47.15,0.69,2.31,3.13,11.11,RSP,SET,SERVICE,COMM
4Q2563,321.43,681.86,23.53,26.53,0.04,1.29,1.52,55.37,42.81,8.25,0.17,222.48,1.64,"1,262.80",N/A,0.71,2.31,3.05,8.12,RSP,SET,SERVICE,COMM
1Q2564,243.43,-46.03,,15.43,0.02,0.75,0.87,48.10,45.55,6.34,0.15,224.34,2.28,"1,755.60",395.02,0.97,2.35,0.00,13.17,RSP,SET,SERVICE,COMM
2Q2564,218.07,,,-2.73,-0.00,-0.13,-0.15,52.48,47.72,-1.25,0.16,185.70,2.34,"1,738.62",35.83,0.99,2.37,0.00,12.32,RSP,SET,SERVICE,COMM
3Q2564,129.15,"-2,248.00",,-19.34,-0.02,-0.92,-1.10,37.74,61.39,-14.97,0.23,172.42,2.20,"1,634.60",36.01,0.93,2.37,0.00,16.90,RSP,SET,SERVICE,COMM
1Q2565,289.82,,150.00,37.14,0.05,1.69,2.07,51.82,40.27,12.82,0.22,145.97,2.64,"1,961.52",,,,5.68,14.45,RSP,SET,SERVICE,COMM
2Q2565,289.17,-68.00,,14.30,0.02,0.65,0.80,57.85,46.18,4.94,0.23,118.36,2.80,"2,080.40",41.55,1.14,2.45,5.36,16.21,RSP,SET,SERVICE,COMM
3Q2565,311.17,-20.50,,9.70,0.01,0.45,0.56,46.95,50.54,3.12,0.23,106.31,2.38,"1,798.06",27.93,1.04,2.32,6.20,12.77,RSP,SET,SERVICE,COMM
