,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,0.42,460.85,,,,,,,,RWI,mai,INDUS,-
1Q2557,210.58,,,22.10,0.05,2.32,3.22,88.74,8.56,10.50,0.35,744.43,,,,,,,,RWI,mai,INDUS,-
2Q2557,223.53,3.44,,23.67,0.05,2.51,3.44,93.49,5.55,10.59,0.40,960.42,,,,,,,,RWI,mai,INDUS,-
3Q2557,227.89,32.02,,33.95,0.07,3.25,4.20,94.45,5.80,14.90,0.22,"1,082.76",4.30,"2,580.00",23.83,0.00,0.00,0.00,8.45,RWI,mai,INDUS,-
4Q2557,192.09,,,1.74,-0.01,0.15,0.19,87.82,10.93,0.91,0.29,"1,897.46",6.55,"3,930.00",38.18,4.18,1.57,0.00,32.57,RWI,mai,INDUS,-
1Q2558,165.72,,-80.00,6.79,0.01,0.57,0.72,90.35,7.87,4.10,0.24,"1,980.67",5.70,"3,420.00",41.98,3.62,1.57,0.00,33.08,RWI,mai,INDUS,-
2Q2558,146.43,,,-0.83,0.00,-0.07,-0.09,89.13,8.82,-0.57,0.20,"1,902.72",4.04,"2,424.00",36.64,2.55,1.58,0.00,34.09,RWI,mai,INDUS,-
3Q2558,181.41,,,-9.78,-0.02,-0.92,-1.03,89.53,8.50,-5.39,0.05,"1,817.74",2.94,"1,764.00",42.34,1.86,1.58,0.00,71.38,RWI,mai,INDUS,-
4Q2558,145.69,0.00,-100.00,-14.91,-0.02,-1.54,-1.60,85.25,13.77,-10.24,0.03,"1,676.35",1.96,"1,176.00",N/A,1.25,1.57,0.00,502.20,RWI,mai,INDUS,-
1Q2559,159.92,51.60,,-5.81,-0.01,-0.60,-0.63,89.07,9.75,-3.63,0.06,"1,300.04",1.94,"1,164.00",N/A,1.26,1.54,0.00,-72.63,RWI,mai,INDUS,-
2Q2559,152.25,,,15.76,0.03,1.62,1.70,88.24,10.52,10.35,0.03,985.81,1.99,"1,194.40",N/A,1.30,1.53,0.00,"3,373.03",RWI,mai,INDUS,-
3Q2559,142.63,-51.27,,5.72,0.01,0.59,0.61,86.53,10.33,4.01,0.03,942.39,2.82,"1,692.57",N/A,1.81,1.56,0.00,124.65,RWI,mai,INDUS,-
4Q2559,154.00,,70.00,-1.07,-0.01,-0.11,-0.11,89.71,9.09,-0.69,0.05,"1,025.63",2.42,"1,452.49","1,908.01",1.54,1.57,0.00,51.37,RWI,mai,INDUS,-
1Q2560,251.11,,,35.98,0.06,3.50,3.76,93.87,4.87,14.33,0.09,"1,119.99",2.24,"1,344.45",92.03,1.43,1.57,0.00,16.53,RWI,mai,INDUS,-
2Q2560,207.63,-46.67,19.94,19.50,0.03,1.85,1.97,90.43,5.39,9.39,0.04,"1,218.13",2.40,"1,454.48",25.79,1.49,1.62,0.00,15.28,RWI,mai,INDUS,-
3Q2560,217.22,-43.75,38.46,10.22,0.02,0.93,1.01,91.07,7.18,4.70,0.13,"1,076.34",2.24,"1,357.52",22.57,1.35,1.66,0.00,14.34,RWI,mai,INDUS,-
4Q2560,268.92,33.33,,15.16,0.02,1.21,1.48,89.24,9.36,5.64,0.32,888.43,2.02,"1,224.19",18.94,1.21,1.67,0.00,13.01,RWI,mai,INDUS,-
1Q2561,274.71,,,-8.26,-0.01,-0.57,-0.80,91.22,8.06,-3.01,0.47,863.57,2.02,"1,244.96",15.40,1.21,1.70,5.16,26.32,RWI,mai,INDUS,-
2Q2561,261.58,,-57.38,8.04,0.01,0.56,0.79,88.35,7.91,3.07,0.33,887.28,1.60,986.10,26.93,0.95,1.68,6.51,24.34,RWI,mai,INDUS,-
3Q2561,298.32,195.89,124.22,25.28,0.04,1.81,2.47,81.41,6.41,8.47,0.40,981.38,1.68,"1,069.09",42.49,1.06,1.64,6.01,19.75,RWI,mai,INDUS,-
4Q2561,269.93,11.00,86.67,27.81,0.04,1.89,2.64,75.90,7.13,10.30,0.39,"1,118.82",1.72,"1,094.55",27.21,1.05,1.63,5.87,15.72,RWI,mai,INDUS,-
1Q2562,251.51,-52.68,,13.47,0.02,0.92,1.26,75.28,8.07,5.36,0.33,"1,126.87",1.61,"1,024.55",19.38,0.96,1.67,0.00,10.86,RWI,mai,INDUS,-
2Q2562,160.79,,,-59.45,-0.09,-4.39,-5.67,105.43,16.33,-36.97,0.26,970.27,1.59,"1,011.82",13.56,0.94,1.69,0.00,25.83,RWI,mai,INDUS,-
3Q2562,137.74,-70.60,,-101.30,-0.16,-8.16,-10.47,85.17,13.75,-73.54,0.32,912.77,1.56,992.73,139.58,0.97,1.60,0.00,-11.47,RWI,mai,INDUS,-
4Q2562,133.93,-33.52,,-134.80,-0.21,-12.16,-15.87,87.23,13.13,-100.65,0.29,835.46,1.50,954.55,N/A,1.04,1.44,0.00,-4.39,RWI,mai,INDUS,-
1Q2563,131.50,57.61,,-59.23,-0.09,-6.38,-7.88,86.38,11.28,-45.04,0.17,810.18,0.90,572.73,N/A,0.73,1.23,0.00,-1.94,RWI,mai,INDUS,-
2Q2563,180.68,,,91.44,0.14,9.51,12.04,65.89,7.93,50.61,0.35,837.28,1.43,910.00,N/A,1.24,1.13,0.00,-6.21,RWI,mai,INDUS,-
3Q2563,158.32,,97.53,-2.77,-0.00,-0.25,-0.35,89.49,9.15,-1.75,0.46,632.97,1.36,865.46,N/A,1.05,1.28,0.00,-20.28,RWI,mai,INDUS,-
4Q2563,157.42,,,1.44,0.00,0.13,0.19,80.21,9.76,0.91,0.46,581.07,1.26,801.82,N/A,0.99,1.27,0.00,13.29,RWI,mai,INDUS,-
1Q2564,219.68,"7,819.77",,127.21,0.21,10.73,15.20,93.66,5.80,57.91,0.38,536.17,1.53,973.64,30.26,1.21,1.27,0.00,4.16,RWI,mai,INDUS,-
2Q2564,216.69,-55.79,-34.56,56.24,0.09,4.29,6.06,93.24,6.40,25.95,0.45,730.51,1.63,"1,037.28",4.58,1.11,1.47,0.00,5.39,RWI,mai,INDUS,-
3Q2564,189.50,,-712.24,-17.28,-0.03,-1.22,-1.77,90.16,6.50,-9.12,0.45,"1,125.29",2.04,"1,300.41",7.14,1.36,1.57,0.00,7.02,RWI,mai,INDUS,-
4Q2564,265.45,,601.14,13.75,0.02,0.86,1.16,92.32,6.33,5.18,0.29,"1,225.31",1.86,"1,185.67",7.07,1.19,1.56,0.00,5.22,RWI,mai,INDUS,-
1Q2565,296.13,,,-2.15,-0.00,-0.12,-0.15,92.35,5.19,-0.73,0.31,"1,243.03",1.56,"1,427.83",7.94,1.04,2.15,6.41,22.58,RWI,mai,INDUS,-
2Q2565,227.44,,-99.13,0.73,0.00,0.04,0.05,91.03,7.75,0.32,0.37,"1,224.45",1.17,"1,070.87",21.18,0.75,1.56,8.55,-300.89,RWI,mai,INDUS,-
3Q2565,198.13,,-236.68,-98.08,-0.11,-5.80,-7.64,88.69,8.18,-49.50,0.26,"1,118.81",1.06,979.35,N/A,0.73,1.46,9.35,-12.05,RWI,mai,INDUS,-
