,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,0.86,,,,,,,,,SAAM,mai,RESOURC,-
3Q2561,54.03,,,13.60,0.06,4.37,8.11,66.37,33.35,25.18,0.84,,,,,,,,,SAAM,mai,RESOURC,-
4Q2561,17.71,-87.68,,1.58,0.01,0.41,0.67,55.76,43.87,8.93,0.50,,,,,,,,,SAAM,mai,RESOURC,-
1Q2562,18.26,100.26,,4.57,0.02,1.05,1.53,61.94,37.67,25.02,0.41,,1.47,441.00,28.56,,0.00,1.70,5.84,SAAM,mai,RESOURC,-
2Q2562,18.56,24.25,,5.70,0.02,1.36,1.90,65.26,32.21,30.71,0.39,,1.30,390.00,27.78,1.29,1.01,1.92,9.80,SAAM,mai,RESOURC,-
3Q2562,18.30,-70.07,-90.82,1.60,0.01,0.39,0.54,46.41,50.65,8.72,0.39,,1.26,378.00,27.59,1.26,1.00,1.98,16.29,SAAM,mai,RESOURC,-
4Q2562,18.20,163.62,96.34,4.64,0.01,1.15,1.59,63.36,34.25,25.48,0.38,,1.02,306.00,22.34,1.04,0.98,2.45,11.48,SAAM,mai,RESOURC,-
1Q2563,20.60,66.67,63.40,7.33,0.03,1.76,2.49,63.05,26.80,35.58,0.45,,0.62,186.00,11.24,0.64,0.97,12.10,7.39,SAAM,mai,RESOURC,-
2Q2563,17.49,-16.48,9.84,6.41,0.02,1.50,2.15,80.43,24.70,36.62,0.43,,1.12,336.00,17.40,1.12,1.00,6.70,11.18,SAAM,mai,RESOURC,-
3Q2563,17.96,16.57,327.77,7.30,0.02,1.74,2.47,77.38,23.20,40.66,0.42,,1.02,306.00,15.28,1.03,0.99,7.35,8.43,SAAM,mai,RESOURC,-
4Q2563,17.31,-56.08,-28.73,3.20,0.01,0.78,1.09,67.68,30.52,18.50,0.40,,1.08,324.00,12.60,1.10,0.98,6.94,7.81,SAAM,mai,RESOURC,-
1Q2564,19.94,184.47,21.64,9.12,0.03,2.22,3.07,72.79,20.78,45.75,0.37,,1.78,534.00,22.00,1.82,0.98,3.54,12.25,SAAM,mai,RESOURC,-
2Q2564,19.13,-23.87,10.87,6.94,0.02,1.63,2.29,68.49,26.52,36.27,0.43,,5.70,"1,710.00",65.67,5.66,1.01,1.11,37.72,SAAM,mai,RESOURC,-
3Q2564,19.29,4.88,-0.25,7.28,0.02,1.68,2.39,65.98,25.90,37.76,0.41,91.34,5.70,"1,710.00",64.34,5.60,1.02,1.11,37.24,SAAM,mai,RESOURC,-
1Q2565,72.77,663.47,509.57,55.61,0.19,12.24,16.66,15.61,13.56,76.42,0.32,83.09,8.10,"2,430.00",87.72,7.95,1.02,0.46,24.66,SAAM,mai,RESOURC,-
2Q2565,-33.22,-87.09,3.41,7.18,0.02,1.50,1.96,-40.56,-13.34,-21.62,0.29,86.49,8.00,"2,415.01",32.55,6.67,1.21,0.46,25.19,SAAM,mai,RESOURC,-
3Q2565,68.72,-43.40,-44.19,4.07,0.01,0.85,1.09,14.81,10.30,5.92,0.28,65.69,6.65,"1,995.00",26.81,5.39,1.23,0.56,21.46,SAAM,mai,RESOURC,-
