,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,482.75,,55.56,38.93,0.56,1.80,3.09,64.99,34.36,8.06,0.71,552.75,110.50,"7,679.75",122.32,6.20,17.82,0.14,38.89,SABINA,SET,CONSUMP,FASHION
2Q2555,515.75,-33.93,-5.13,25.45,0.37,1.17,1.98,54.70,44.07,4.93,0.67,540.77,112.50,"7,818.75",102.07,6.10,18.44,0.13,40.75,SABINA,SET,CONSUMP,FASHION
3Q2555,489.40,,,24.48,-0.67,1.12,1.89,56.17,42.85,5.00,0.72,520.97,24.20,"8,409.50",112.17,6.52,3.71,0.12,41.20,SABINA,SET,CONSUMP,FASHION
4Q2555,544.58,,,3.54,0.01,0.16,0.27,58.83,40.52,0.65,0.66,496.40,24.20,"8,409.50",117.88,6.48,3.73,0.12,36.37,SABINA,SET,CONSUMP,FASHION
1Q2556,535.33,600.00,-87.50,24.34,0.07,1.10,1.78,59.42,40.07,4.55,0.59,466.58,22.90,"7,957.75",86.12,6.10,3.75,0.50,36.26,SABINA,SET,CONSUMP,FASHION
2Q2556,610.57,15.51,-78.15,28.09,0.08,1.26,1.96,57.01,42.27,4.60,0.54,440.38,22.90,"7,957.75",102.28,5.57,4.11,0.50,37.28,SABINA,SET,CONSUMP,FASHION
3Q2556,508.04,11.92,,31.45,0.09,1.41,2.19,50.99,48.72,6.19,0.58,418.48,24.10,"8,374.75",104.11,5.85,4.12,0.48,42.31,SABINA,SET,CONSUMP,FASHION
4Q2556,535.49,8.99,886.40,33.28,0.10,1.46,2.29,56.89,42.51,6.21,0.56,417.80,22.40,"7,784.00",89.05,5.41,4.14,0.51,35.86,SABINA,SET,CONSUMP,FASHION
1Q2557,488.16,-3.29,36.27,33.15,0.10,1.46,2.22,56.28,43.40,6.79,0.50,428.50,23.50,"8,166.25",69.71,5.55,4.24,0.55,38.27,SABINA,SET,CONSUMP,FASHION
2Q2557,544.81,-11.30,4.64,29.56,0.08,1.31,1.96,56.34,42.92,5.43,0.50,450.34,22.90,"7,957.75",63.18,5.27,4.34,0.57,37.19,SABINA,SET,CONSUMP,FASHION
3Q2557,535.85,-5.45,-11.60,26.23,0.08,1.15,1.74,49.91,49.58,4.89,0.53,447.77,23.60,"8,201.00",64.36,5.45,4.33,0.55,39.55,SABINA,SET,CONSUMP,FASHION
4Q2557,595.77,103.48,65.02,57.99,0.16,2.51,3.76,58.94,40.58,9.73,0.47,442.49,23.70,"8,235.75",67.39,5.43,4.36,0.55,34.71,SABINA,SET,CONSUMP,FASHION
1Q2558,488.10,-43.22,-3.10,32.12,0.09,1.41,2.03,53.10,46.02,6.58,0.40,438.58,23.30,"8,096.75",55.11,5.17,4.51,0.73,34.03,SABINA,SET,CONSUMP,FASHION
2Q2558,572.76,-5.57,3.16,30.33,0.09,1.36,1.89,57.67,41.71,5.30,0.39,437.50,23.10,"8,027.25",55.02,5.00,4.62,0.74,33.75,SABINA,SET,CONSUMP,FASHION
3Q2558,602.55,30.83,42.74,39.68,0.11,1.78,2.47,54.45,44.85,6.59,0.39,432.47,23.40,"8,131.50",55.44,5.08,4.60,0.73,32.30,SABINA,SET,CONSUMP,FASHION
4Q2558,644.51,59.80,12.10,63.41,0.18,2.84,3.87,59.30,40.81,9.84,0.33,416.42,23.20,"8,062.00",50.35,5.00,4.64,0.73,31.54,SABINA,SET,CONSUMP,FASHION
1Q2559,572.17,-43.36,11.83,35.92,0.10,1.64,2.14,54.33,45.15,6.28,0.28,392.03,23.60,"8,201.00",49.54,4.93,4.79,0.81,31.62,SABINA,SET,CONSUMP,FASHION
2Q2559,652.39,33.36,57.93,47.90,0.14,2.21,2.81,57.78,41.61,7.34,0.27,367.38,23.90,"8,305.25",49.04,4.89,4.89,0.79,29.66,SABINA,SET,CONSUMP,FASHION
3Q2559,544.80,-36.24,-23.04,30.54,0.09,1.40,1.80,51.90,47.50,5.61,0.30,364.63,23.50,"8,166.25",43.69,4.79,4.91,0.81,30.47,SABINA,SET,CONSUMP,FASHION
4Q2559,627.67,100.76,-3.32,61.31,0.18,2.77,3.56,57.59,41.80,9.77,0.28,362.88,23.50,"8,166.25",45.94,4.83,4.87,0.81,30.61,SABINA,SET,CONSUMP,FASHION
1Q2560,579.92,-16.81,42.01,51.01,0.15,2.27,2.86,57.04,42.65,8.80,0.25,367.19,23.10,"8,027.25",45.70,4.58,5.05,1.04,28.01,SABINA,SET,CONSUMP,FASHION
2Q2560,689.47,23.87,31.90,63.18,0.18,2.84,3.48,60.92,37.91,9.16,0.21,367.65,23.40,"8,131.50",42.63,4.50,5.20,1.03,26.51,SABINA,SET,CONSUMP,FASHION
3Q2560,734.72,21.78,151.95,77.92,0.22,3.47,4.24,62.24,37.23,10.60,0.23,347.93,23.70,"8,235.75",39.97,4.52,5.24,1.01,22.89,SABINA,SET,CONSUMP,FASHION
4Q2560,675.01,-32.25,-14.98,51.04,0.15,2.19,2.73,57.45,42.15,7.56,0.26,320.74,23.60,"8,201.00",32.36,4.43,5.32,1.02,23.97,SABINA,SET,CONSUMP,FASHION
1Q2561,689.60,52.31,55.65,79.39,0.23,3.28,4.10,60.72,38.76,11.51,0.25,298.81,24.70,"8,583.25",35.30,4.53,5.45,3.32,22.99,SABINA,SET,CONSUMP,FASHION
2Q2561,785.48,21.50,52.68,96.46,0.28,3.99,5.07,64.41,35.28,12.28,0.30,286.86,27.25,"9,469.38",34.87,4.80,5.68,3.01,23.05,SABINA,SET,CONSUMP,FASHION
3Q2561,852.60,13.11,41.80,110.28,0.31,4.59,6.13,66.22,33.36,12.93,0.38,278.15,30.50,"10,598.75",34.77,5.79,5.26,2.69,23.76,SABINA,SET,CONSUMP,FASHION
4Q2561,775.23,-29.76,47.03,75.46,0.22,2.99,4.19,57.38,42.17,9.73,0.42,276.34,30.00,"10,425.00",30.92,5.89,5.10,2.73,22.16,SABINA,SET,CONSUMP,FASHION
1Q2562,774.48,22.43,18.18,95.25,0.27,3.58,5.05,60.14,39.30,12.30,0.40,286.42,25.75,"8,948.13",24.75,4.88,5.28,4.04,18.50,SABINA,SET,CONSUMP,FASHION
2Q2562,868.67,14.81,11.68,104.76,0.31,3.79,5.52,61.54,37.68,12.06,0.52,300.56,27.25,"9,469.38",25.09,4.89,5.57,3.82,19.44,SABINA,SET,CONSUMP,FASHION
3Q2562,847.49,6.79,5.44,116.57,0.33,4.01,6.43,63.02,36.62,13.76,0.69,332.41,28.75,"9,990.63",25.90,5.38,5.34,3.62,20.52,SABINA,SET,CONSUMP,FASHION
4Q2562,804.32,-15.73,26.49,96.66,0.28,3.22,5.32,58.30,41.57,12.02,0.62,365.96,23.80,"8,270.50",21.10,4.67,5.10,4.37,16.35,SABINA,SET,CONSUMP,FASHION
1Q2563,681.59,-27.33,-24.92,70.44,0.20,2.33,3.74,58.49,40.17,10.34,0.59,411.11,17.00,"5,907.50",,,,7.00,12.67,SABINA,SET,CONSUMP,FASHION
2Q2563,658.03,-28.42,-53.19,50.42,0.15,1.69,2.76,71.34,28.76,7.66,0.67,485.39,18.40,"6,394.00",16.46,3.35,5.49,6.47,15.49,SABINA,SET,CONSUMP,FASHION
3Q2563,815.10,66.89,-26.85,85.79,0.24,3.00,4.94,65.19,34.04,10.52,0.62,503.32,21.10,"7,332.25",21.95,4.19,5.04,5.64,18.85,SABINA,SET,CONSUMP,FASHION
4Q2563,759.11,-13.28,-24.72,70.15,0.21,2.51,3.99,61.18,38.68,9.24,0.56,519.54,20.40,"7,089.00",23.37,4.11,4.96,5.83,19.66,SABINA,SET,CONSUMP,FASHION
1Q2564,672.33,7.42,11.28,78.39,0.23,2.84,4.26,65.64,33.29,11.66,0.44,515.69,21.30,"7,401.75",26.74,4.12,5.17,3.76,20.06,SABINA,SET,CONSUMP,FASHION
2Q2564,633.10,-20.05,24.28,62.67,0.18,2.33,3.38,61.42,37.42,9.90,0.47,474.51,20.40,"7,089.00",24.90,3.76,5.43,3.92,18.80,SABINA,SET,CONSUMP,FASHION
3Q2564,547.16,-11.97,-34.45,55.17,0.16,2.09,3.12,60.88,38.00,10.08,0.51,506.43,19.30,"6,706.75",22.58,3.69,5.23,4.15,18.37,SABINA,SET,CONSUMP,FASHION
4Q2564,803.08,77.59,34.25,97.97,0.28,3.69,5.53,66.15,33.41,12.20,0.48,500.22,19.80,"6,880.50",25.83,4.01,4.94,4.04,16.94,SABINA,SET,CONSUMP,FASHION
1Q2565,723.95,3.70,29.60,101.59,0.29,3.73,5.41,67.51,32.02,14.03,0.42,483.66,21.00,"7,297.50",,,,4.05,16.53,SABINA,SET,CONSUMP,FASHION
2Q2565,846.41,7.58,74.40,109.29,0.31,4.06,5.78,68.79,30.11,12.91,0.43,446.60,23.10,"8,062.00",25.40,4.19,5.53,3.66,15.97,SABINA,SET,CONSUMP,FASHION
3Q2565,781.28,-8.29,81.70,100.24,0.29,3.82,5.55,66.71,32.34,12.83,0.48,394.15,23.80,"8,583.25",23.58,4.63,5.34,3.44,16.06,SABINA,SET,CONSUMP,FASHION
