,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,248.66,,142.86,57.67,0.17,5.77,8.74,83.73,12.34,23.19,0.52,41.79,4.20,"1,089.17",16.32,1.97,2.14,4.51,5.45,SALEE,mai,INDUS,-
2Q2555,295.29,17.65,81.82,66.05,0.20,6.18,9.23,85.92,11.67,22.37,0.47,9.91,7.15,"1,854.19",19.79,3.09,2.31,2.65,7.04,SALEE,mai,INDUS,-
3Q2555,291.16,-10.00,100.00,52.84,0.18,4.83,6.98,83.72,13.75,18.15,0.42,-1.75,8.75,"2,291.17",19.30,3.52,2.51,2.15,7.82,SALEE,mai,INDUS,-
4Q2555,244.95,-50.00,,28.42,0.09,2.57,3.62,75.66,21.48,11.60,0.40,2.95,8.20,"2,147.15",14.98,3.19,2.57,2.29,6.44,SALEE,mai,INDUS,-
1Q2556,266.90,66.67,-11.76,59.12,0.15,5.12,7.10,83.95,13.29,22.15,0.37,26.18,13.30,"3,482.58",20.92,5.01,2.66,0.99,10.01,SALEE,mai,INDUS,-
2Q2556,276.40,-13.33,-35.00,54.52,0.13,4.49,6.13,85.55,13.37,19.73,0.36,37.58,8.90,"2,796.54",16.63,3.75,2.37,1.24,8.43,SALEE,mai,INDUS,-
3Q2556,296.55,13.22,-18.23,57.29,0.15,4.45,7.31,85.52,13.23,19.32,1.04,51.60,9.00,"2,850.91",17.98,3.65,2.49,1.21,9.36,SALEE,mai,INDUS,-
4Q2556,291.52,-2.96,58.69,43.91,0.14,3.33,6.45,81.17,17.03,15.06,0.84,73.44,9.45,"2,993.45",18.91,4.62,2.05,1.16,8.88,SALEE,mai,INDUS,-
1Q2557,299.85,-8.98,-13.33,50.43,0.13,3.80,6.90,84.98,14.64,16.82,0.79,65.41,10.20,"3,231.03",17.97,4.61,2.21,0.22,9.51,SALEE,mai,INDUS,-
2Q2557,255.95,-53.85,-53.85,20.07,0.06,1.43,2.63,83.05,16.26,7.84,0.88,33.01,8.10,"3,078.98",16.78,4.11,1.41,0.23,10.33,SALEE,mai,INDUS,-
3Q2557,289.99,0.00,-59.23,23.73,0.06,1.67,3.02,80.79,16.30,8.18,0.74,-29.60,8.15,"3,097.99",19.15,4.03,2.02,0.23,11.30,SALEE,mai,INDUS,-
4Q2557,258.36,0.00,-57.99,21.18,0.06,1.54,2.63,78.50,17.22,8.20,0.68,-79.77,7.00,"2,660.85",19.14,3.35,2.09,0.26,10.78,SALEE,mai,INDUS,-
1Q2558,259.98,-66.67,-84.62,24.91,0.02,1.82,3.00,83.68,14.52,9.58,0.63,-120.80,7.10,"2,698.86",23.26,3.35,2.12,4.93,11.92,SALEE,mai,INDUS,-
2Q2558,231.15,,,6.81,-0.00,0.41,0.56,77.19,19.78,2.95,0.20,-90.95,1.17,"1,778.97",19.59,2.11,0.55,7.48,7.86,SALEE,mai,INDUS,-
3Q2558,261.41,,-94.65,5.43,0.00,0.29,0.34,80.84,16.79,2.08,0.20,-36.87,1.09,"1,657.33",23.51,1.34,0.81,8.03,8.00,SALEE,mai,INDUS,-
4Q2558,255.33,-43.93,-97.00,4.53,0.00,0.24,0.29,81.41,15.69,1.78,0.15,-11.25,0.91,"1,383.64",26.89,1.12,0.81,9.62,7.16,SALEE,mai,INDUS,-
1Q2559,256.70,450.00,-50.50,23.18,0.01,1.25,1.46,83.19,15.07,9.03,0.18,21.63,0.92,"1,398.85",42.74,1.14,0.81,2.17,7.58,SALEE,mai,INDUS,-
2Q2559,232.98,-63.13,,9.64,0.00,0.49,0.61,79.29,18.10,4.14,0.28,13.37,1.14,"1,733.35",76.89,1.39,0.82,1.75,9.07,SALEE,mai,INDUS,-
3Q2559,328.92,298.36,352.96,31.41,0.01,1.50,1.93,79.65,18.87,9.55,0.29,15.79,1.49,"2,265.52",80.16,1.84,0.81,1.34,10.77,SALEE,mai,INDUS,-
4Q2559,346.25,-44.84,345.56,15.46,0.01,0.72,0.92,75.99,23.01,4.46,0.26,36.75,2.14,"3,253.84",71.61,2.61,0.82,0.93,13.88,SALEE,mai,INDUS,-
1Q2560,384.87,35.91,10.10,23.71,0.01,1.10,1.40,77.70,21.59,6.16,0.27,57.38,2.16,"3,284.25",59.81,2.61,0.83,1.62,13.75,SALEE,mai,INDUS,-
2Q2560,345.11,-2.02,192.60,22.73,0.01,1.06,1.35,76.97,21.64,6.58,0.28,80.46,1.43,"2,174.29",38.61,1.69,0.84,2.45,9.19,SALEE,mai,INDUS,-
3Q2560,367.16,2.53,-24.69,21.99,0.01,1.05,1.32,80.22,18.59,5.99,0.25,103.23,1.47,"2,235.11",33.30,1.81,0.81,2.38,9.83,SALEE,mai,INDUS,-
