,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"4,254.67",86.67,64.71,318.87,0.28,1.79,5.13,88.52,10.21,7.49,1.67,,9.20,"9,068.01",10.85,1.93,4.84,5.56,6.09,SAMART,SET,TECH,ICT
2Q2555,"3,691.26",-17.86,-14.81,303.59,0.23,1.73,4.74,86.99,11.47,8.22,1.81,,9.25,"9,152.19",9.72,1.80,5.16,5.51,6.64,SAMART,SET,TECH,ICT
3Q2555,"4,060.47",26.09,7.41,366.43,0.29,1.92,5.68,86.63,11.04,9.02,2.10,,10.70,"10,591.07",11.64,2.10,5.10,4.76,7.77,SAMART,SET,TECH,ICT
4Q2555,"4,955.35",0.00,93.33,371.45,0.29,1.80,5.55,87.20,12.33,7.50,2.07,,12.80,"12,680.29",13.56,2.48,5.17,3.98,7.94,SAMART,SET,TECH,ICT
1Q2556,"5,259.16",24.14,28.57,480.56,0.36,2.22,6.62,88.39,11.18,9.14,1.89,,26.50,"26,376.65",24.62,4.88,5.46,2.25,11.42,SAMART,SET,TECH,ICT
2Q2556,"5,583.17",-2.78,52.17,511.28,0.35,2.26,6.63,88.10,11.41,9.16,1.98,,22.90,"22,940.10",19.83,3.92,5.89,2.59,9.61,SAMART,SET,TECH,ICT
3Q2556,"5,935.98",14.29,37.93,552.04,0.40,2.41,7.07,89.22,10.16,9.30,1.87,,19.00,"19,038.97",14.86,3.21,5.92,3.12,7.93,SAMART,SET,TECH,ICT
4Q2556,"5,655.25",-9.75,24.48,495.69,0.36,2.14,6.15,86.08,13.35,8.77,1.87,-305.01,14.80,"14,831.02",10.67,2.49,5.95,4.01,6.79,SAMART,SET,TECH,ICT
1Q2557,"6,364.45",10.80,11.11,548.06,0.40,2.34,6.28,89.59,9.74,8.61,1.53,-209.39,18.30,"18,415.84",12.54,2.92,6.29,4.35,7.25,SAMART,SET,TECH,ICT
2Q2557,"6,562.41",2.50,17.14,608.86,0.41,2.54,6.20,86.90,11.08,9.28,1.36,-91.18,20.50,"20,633.33",13.59,2.95,6.94,3.89,7.53,SAMART,SET,TECH,ICT
3Q2557,"5,553.48",-14.63,-12.50,448.49,0.35,1.83,4.90,85.45,12.48,8.08,2.10,56.81,31.00,"31,201.62",19.84,4.15,7.48,2.58,10.77,SAMART,SET,TECH,ICT
4Q2557,"5,715.47",-8.57,-11.36,388.28,0.32,1.54,4.83,86.91,12.63,6.79,2.16,145.35,39.25,"39,505.28",25.81,7.18,5.47,2.03,13.13,SAMART,SET,TECH,ICT
1Q2558,"4,801.18",-15.63,-32.50,353.67,0.27,1.37,4.19,85.22,13.61,7.37,1.97,215.28,30.00,"30,195.12",20.35,5.15,5.82,2.83,11.27,SAMART,SET,TECH,ICT
2Q2558,"4,914.76",0.00,-34.15,349.61,0.27,1.34,4.10,86.34,12.57,7.11,2.13,300.53,28.25,"28,433.74",21.00,4.65,6.08,3.01,11.77,SAMART,SET,TECH,ICT
3Q2558,"4,971.15",-7.41,-28.57,297.49,0.25,1.09,3.52,87.76,11.83,5.98,2.31,324.85,21.20,"21,337.88",17.53,3.55,5.97,4.01,10.68,SAMART,SET,TECH,ICT
4Q2558,"3,815.32",-96.00,-96.88,-13.98,0.01,-0.05,-0.17,81.64,18.19,-0.37,2.28,304.31,15.50,"15,600.81",14.07,2.59,5.98,5.48,10.19,SAMART,SET,TECH,ICT
1Q2559,"4,126.61","1,000.00",-59.26,124.44,0.11,0.46,1.49,86.17,13.07,3.02,2.13,246.23,16.80,"16,909.27",20.94,2.81,5.97,2.98,10.85,SAMART,SET,TECH,ICT
2Q2559,"3,251.18",-18.18,-66.67,103.93,0.09,0.39,1.25,82.85,16.26,3.20,2.20,180.19,16.90,"17,009.92",26.22,2.79,6.05,2.96,11.97,SAMART,SET,TECH,ICT
3Q2559,"3,237.77",-88.89,-96.00,-11.92,0.01,-0.05,-0.15,81.49,17.45,-0.37,2.25,143.95,13.80,"13,889.75",30.09,2.33,5.93,3.62,12.08,SAMART,SET,TECH,ICT
4Q2559,"3,268.17",,,-258.54,-0.14,-1.00,-3.23,77.99,18.53,-7.91,2.19,74.52,12.50,"12,581.30",54.80,2.15,5.82,4.00,12.40,SAMART,SET,TECH,ICT
1Q2560,"2,970.92",,-72.73,5.03,0.03,0.02,0.06,,17.43,0.17,2.11,131.52,15.20,"15,298.86",214.92,2.65,5.74,1.25,14.73,SAMART,SET,TECH,ICT
2Q2560,"3,889.13",,,-290.19,-0.18,-1.19,-3.81,,12.09,-7.46,2.32,252.34,14.50,"14,594.31",N/A,2.54,5.70,1.31,18.24,SAMART,SET,TECH,ICT
3Q2560,"3,165.80",61.11,,-104.27,-0.07,-0.43,-1.43,,16.61,-3.29,2.30,,13.10,"13,185.20",N/A,2.42,5.40,1.45,17.67,SAMART,SET,TECH,ICT
4Q2560,"3,072.86",-928.57,-414.29,"-1,043.62",-0.72,-4.53,-15.60,,12.20,-33.96,2.61,,11.70,"11,776.10",N/A,2.20,5.31,1.62,55.03,SAMART,SET,TECH,ICT
1Q2561,"2,429.40",,,-9.88,,-0.04,-0.16,,16.09,-0.41,2.80,,8.75,"8,806.91",N/A,1.92,4.55,1.14,52.52,SAMART,SET,TECH,ICT
2Q2561,"3,012.49",76.39,5.56,-204.80,-0.17,-0.91,-3.38,,14.58,-6.80,2.64,,7.35,"7,397.80",N/A,1.64,4.49,1.36,40.93,SAMART,SET,TECH,ICT
