,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,2.12,-67.26,,,,,,,,SANKO,mai,INDUS,-
1Q2556,106.44,,,0.43,0.00,0.13,0.39,83.86,14.14,0.40,2.00,-73.48,,,,,,,,SANKO,mai,INDUS,-
2Q2556,102.09,,,-1.60,-0.01,-0.47,-1.21,85.90,12.40,-1.57,1.31,-79.23,1.47,323.40,21.72,0.00,0.00,0.00,7.87,SANKO,mai,INDUS,-
3Q2556,95.40,-357.14,,-7.94,-0.04,-2.30,-5.30,83.73,14.58,-8.33,1.30,-92.87,1.37,301.40,35.59,1.96,0.70,0.00,7.51,SANKO,mai,INDUS,-
4Q2556,113.45,35.29,,-5.46,-0.03,-1.61,-3.80,80.07,12.47,-4.81,1.42,-146.79,1.05,231.76,N/A,1.59,0.66,0.00,20.62,SANKO,mai,INDUS,-
1Q2557,80.30,41.15,,-3.31,-0.01,-0.99,-2.38,80.35,17.22,-4.12,1.35,-127.22,1.00,220.72,N/A,1.57,0.64,3.99,28.86,SANKO,mai,INDUS,-
2Q2557,95.37,-12.81,-96.40,-3.73,-0.02,-1.14,-2.74,80.54,14.47,-3.92,1.45,-126.54,1.27,280.54,N/A,2.04,0.62,3.14,28.53,SANKO,mai,INDUS,-
3Q2557,95.72,-28.33,44.87,-4.79,-0.02,-1.44,-3.61,79.81,15.51,-5.00,1.57,-120.18,1.67,368.90,N/A,2.74,0.61,2.39,27.21,SANKO,mai,INDUS,-
4Q2557,93.10,4.93,19.00,-4.58,-0.02,-1.36,-3.54,88.39,15.46,-4.92,1.63,-105.03,1.24,275.62,N/A,2.11,0.59,3.19,38.78,SANKO,mai,INDUS,-
1Q2558,110.22,,,1.32,0.01,0.39,1.03,83.82,14.84,1.19,1.58,-119.25,1.48,328.97,N/A,2.58,0.57,0.00,26.55,SANKO,mai,INDUS,-
2Q2558,107.75,,-27.26,-4.79,-0.02,-1.45,-3.78,84.42,14.08,-4.44,1.62,-112.20,1.77,393.43,N/A,3.05,0.58,0.00,27.24,SANKO,mai,INDUS,-
3Q2558,107.38,,,0.37,0.00,0.11,0.24,82.16,16.03,0.34,0.91,-96.35,1.50,444.55,N/A,3.57,0.56,0.00,20.61,SANKO,mai,INDUS,-
