,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,2.30,-15.84,,,,,,,,SAPPE,SET,AGRO,FOOD
1Q2557,782.10,,,146.09,0.64,10.77,30.57,82.39,16.58,18.68,1.50,-37.55,,,,,,,,SAPPE,SET,AGRO,FOOD
2Q2557,680.18,-35.23,,101.17,0.41,5.66,10.58,76.92,21.84,14.87,0.62,-46.22,24.70,"7,410.00",28.45,0.00,0.00,0.00,11.82,SAPPE,SET,AGRO,FOOD
3Q2557,758.50,-37.10,,91.82,0.26,4.38,6.36,73.08,25.29,12.11,0.30,-45.65,38.75,"11,625.00",35.89,8.56,4.53,0.00,15.06,SAPPE,SET,AGRO,FOOD
4Q2557,636.80,-79.98,,31.47,0.05,1.55,2.04,65.02,33.12,4.94,0.34,-73.48,33.00,"9,900.00",28.30,6.82,4.84,0.00,17.83,SAPPE,SET,AGRO,FOOD
1Q2558,567.25,414.37,-58.03,72.08,0.27,3.34,4.53,74.41,23.82,12.71,0.37,-66.38,32.75,"9,825.00",27.23,6.62,4.95,0.94,21.47,SAPPE,SET,AGRO,FOOD
2Q2558,811.73,56.25,1.24,123.82,0.42,5.49,7.55,76.10,22.48,15.25,0.38,-71.26,30.75,"9,225.00",30.99,5.91,5.21,1.00,19.14,SAPPE,SET,AGRO,FOOD
3Q2558,534.77,-53.15,-24.61,54.33,0.20,2.39,3.22,68.91,29.06,10.16,0.32,-82.14,26.00,"7,821.37",23.94,4.90,5.32,1.18,17.93,SAPPE,SET,AGRO,FOOD
4Q2558,642.38,-38.63,131.08,27.70,0.12,1.22,1.59,64.29,34.14,4.31,0.29,-80.02,17.60,"5,294.47",17.98,3.18,5.53,1.74,12.47,SAPPE,SET,AGRO,FOOD
1Q2559,601.44,91.67,-13.89,61.81,0.23,2.68,3.45,67.43,31.06,10.28,0.28,-56.30,15.70,"4,730.95",15.74,2.77,5.67,2.68,11.27,SAPPE,SET,AGRO,FOOD
