,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,237.45",,-3.17,206.89,0.61,2.25,4.83,91.91,6.38,9.25,1.18,-334.43,27.75,"9,432.87",23.11,2.26,12.30,1.62,11.52,SAT,SET,INDUS,AUTO
2Q2555,"2,284.50",-22.95,88.00,161.34,0.47,1.68,3.63,90.97,6.81,7.06,1.13,-349.28,28.00,"9,517.85",23.65,2.17,12.90,1.61,10.29,SAT,SET,INDUS,AUTO
3Q2555,"2,512.95",61.70,26.67,257.56,0.76,2.63,5.61,91.29,6.19,10.25,1.14,-376.83,28.75,"9,772.79",20.52,2.16,13.28,1.57,9.67,SAT,SET,INDUS,AUTO
4Q2555,"2,533.63",-26.32,,189.97,0.56,1.89,4.00,92.35,7.38,7.50,1.09,-445.00,30.50,"10,367.66",19.59,2.22,13.73,1.48,8.40,SAT,SET,INDUS,AUTO
1Q2556,"2,582.28",0.00,-8.20,238.41,0.56,2.32,4.85,90.85,7.33,9.23,1.09,-440.62,37.50,"12,748.39",15.63,2.64,14.21,1.92,9.63,SAT,SET,INDUS,AUTO
2Q2556,"2,312.27",-37.49,-25.52,148.29,0.35,1.42,2.96,90.18,8.05,6.41,1.08,-407.08,20.20,"8,583.91",10.13,1.72,11.78,2.85,7.27,SAT,SET,INDUS,AUTO
3Q2556,"2,194.11",14.24,-47.38,169.95,0.40,1.63,3.37,89.78,8.61,7.75,1.06,-345.14,17.90,"7,606.53",9.12,1.52,11.78,3.22,6.84,SAT,SET,INDUS,AUTO
4Q2556,"2,108.23",140.94,72.06,409.45,0.96,4.02,8.24,87.81,7.44,19.42,1.04,-313.41,14.40,"6,119.22",8.20,1.21,11.93,4.00,5.10,SAT,SET,INDUS,AUTO
1Q2557,"2,126.58",-58.87,-29.24,168.50,0.40,1.68,3.40,90.28,8.77,7.92,1.00,-263.31,16.00,"6,803.10",7.04,1.40,11.47,4.68,5.62,SAT,SET,INDUS,AUTO
2Q2557,"1,925.22",-24.01,-13.97,127.99,0.30,1.29,2.56,86.98,10.74,6.65,0.99,-236.93,18.00,"7,653.49",8.54,1.52,11.85,4.16,6.11,SAT,SET,INDUS,AUTO
3Q2557,"2,040.82",11.47,-16.06,142.53,0.34,1.45,2.86,89.77,8.39,6.98,0.96,-235.45,19.00,"8,078.68",9.22,1.63,11.65,3.95,6.38,SAT,SET,INDUS,AUTO
4Q2557,"2,086.03",47.79,-48.51,210.82,0.50,2.15,4.12,93.61,6.74,10.11,0.88,-237.62,16.20,"6,888.14",8.12,1.38,11.77,4.63,6.16,SAT,SET,INDUS,AUTO
1Q2558,"2,455.78",-8.17,14.97,193.71,0.46,1.93,3.64,91.72,7.19,7.89,0.89,-265.99,19.40,"8,248.76",12.69,1.58,12.27,3.09,6.89,SAT,SET,INDUS,AUTO
2Q2558,"1,868.67",-66.29,-49.01,65.25,0.15,0.66,1.22,88.35,9.04,3.49,0.81,-278.01,18.70,"7,951.13",11.78,1.47,12.73,3.21,6.78,SAT,SET,INDUS,AUTO
3Q2558,"2,288.07",176.23,26.36,180.15,0.42,1.86,3.36,91.43,7.47,7.87,0.81,-292.18,15.90,"6,760.58",11.04,1.27,12.50,3.77,6.00,SAT,SET,INDUS,AUTO
4Q2558,"2,203.60",12.30,-3.98,202.43,0.48,2.08,3.70,89.34,7.45,9.19,0.74,-315.69,16.20,"6,888.14",10.60,1.27,12.72,3.70,6.02,SAT,SET,INDUS,AUTO
1Q2559,"2,223.74",-25.56,-22.16,150.78,0.35,1.56,2.69,90.66,7.98,6.78,0.71,-336.31,14.40,"6,122.79",9.54,1.11,13.01,4.17,5.73,SAT,SET,INDUS,AUTO
2Q2559,"1,993.39",-21.67,80.89,118.06,0.28,1.24,2.09,90.56,8.29,5.92,0.66,-390.20,13.30,"5,655.08",9.45,1.00,13.36,4.51,5.26,SAT,SET,INDUS,AUTO
3Q2559,"2,050.25",42.15,-6.91,167.94,0.39,1.80,2.96,90.99,8.04,8.19,0.62,-419.63,12.70,"5,399.96",8.29,0.96,13.23,4.72,5.06,SAT,SET,INDUS,AUTO
4Q2559,"2,126.55",1.72,-15.68,170.78,0.40,1.83,2.94,91.34,7.62,8.03,0.60,-422.33,14.70,"6,250.35",9.78,1.09,13.43,4.08,5.63,SAT,SET,INDUS,AUTO
1Q2560,"2,107.33",-0.41,12.80,170.63,0.40,1.81,2.86,91.42,7.91,8.10,0.56,-414.08,16.60,"7,058.22",11.62,1.20,13.85,3.61,6.00,SAT,SET,INDUS,AUTO
2Q2560,"1,956.91",-20.43,14.58,134.72,0.32,1.44,2.23,90.56,8.39,6.88,0.53,-416.82,16.70,"7,100.74",11.32,1.17,14.25,3.59,5.88,SAT,SET,INDUS,AUTO
3Q2560,"2,273.30",67.06,34.66,225.33,0.53,2.43,3.71,91.86,7.34,9.91,0.52,-446.99,17.40,"7,398.37",11.49,1.23,14.15,3.45,5.93,SAT,SET,INDUS,AUTO
4Q2560,"2,323.14",23.74,63.81,280.56,0.66,2.97,4.47,91.53,7.84,12.08,0.49,-487.29,21.80,"9,269.23",13.21,1.51,14.43,2.75,6.05,SAT,SET,INDUS,AUTO
1Q2561,"2,017.48",-16.07,38.05,234.78,0.55,2.51,3.59,91.18,7.51,11.64,0.37,-520.93,20.70,"8,801.51",10.85,1.37,15.10,4.35,5.56,SAT,SET,INDUS,AUTO
2Q2561,"1,951.33",-22.04,35.25,182.96,0.43,2.04,2.77,89.71,8.69,9.38,0.34,-545.11,21.50,"9,141.67",10.44,1.37,15.65,4.19,5.75,SAT,SET,INDUS,AUTO
3Q2561,"2,116.23",32.78,7.50,243.12,0.57,2.74,3.68,90.81,7.92,11.49,0.35,-559.02,22.00,"9,354.27",10.13,1.43,15.43,4.09,5.88,SAT,SET,INDUS,AUTO
4Q2561,"2,219.40",4.22,-9.45,254.74,0.60,2.83,3.76,90.09,8.74,11.48,0.32,-525.50,15.30,"6,505.47",6.91,0.98,15.65,5.88,4.32,SAT,SET,INDUS,AUTO
1Q2562,"2,235.06",13.32,22.26,287.03,0.68,3.11,4.08,90.31,8.21,12.84,0.31,-511.08,17.80,"7,568.45",8.27,1.10,16.20,7.58,4.61,SAT,SET,INDUS,AUTO
2Q2562,"1,955.10",-40.59,-6.83,170.46,0.40,1.85,2.42,89.03,9.27,8.72,0.30,-483.92,18.10,"7,696.01",7.95,1.07,16.87,7.46,4.74,SAT,SET,INDUS,AUTO
3Q2562,"2,026.86",32.77,-6.84,226.51,0.53,2.46,3.25,89.40,9.04,11.18,0.34,-450.54,16.80,"7,143.26",7.48,1.03,16.27,8.04,4.60,SAT,SET,INDUS,AUTO
4Q2562,"1,981.35",-5.19,-15.25,214.67,0.50,2.29,3.01,85.72,9.49,10.83,0.29,-418.99,15.60,"6,633.02",7.07,0.95,16.46,8.65,4.26,SAT,SET,INDUS,AUTO
1Q2563,"1,863.99",-10.87,-33.34,190.63,0.45,2.03,2.61,89.64,8.61,10.23,0.28,-397.65,7.90,"3,359.03",,,,17.09,2.48,SAT,SET,INDUS,AUTO
2Q2563,777.88,,,-147.53,-0.33,-1.67,-2.08,81.55,15.43,-18.97,0.20,-337.28,10.70,"4,549.57",5.68,0.62,17.29,12.62,3.45,SAT,SET,INDUS,AUTO
3Q2563,"1,576.23",,-64.28,86.27,0.19,1.03,1.26,86.63,10.35,5.47,0.25,-299.17,12.20,"5,187.37",10.65,0.76,15.95,11.07,4.63,SAT,SET,INDUS,AUTO
4Q2563,"1,808.27",197.04,11.92,245.39,0.57,2.80,3.52,88.29,9.50,13.57,0.26,-311.10,16.40,"6,973.18",20.41,1.02,16.02,8.23,6.58,SAT,SET,INDUS,AUTO
