,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,40.70,-96.01,0.00,0.17,0.01,0.03,0.03,78.90,20.70,0.43,0.13,"4,952.96",10.00,240.00,11.61,0.44,22.68,5.00,10.68,SAWANG,SET,CONSUMP,FASHION
2Q2555,52.40,700.00,-73.33,2.05,0.08,0.34,0.38,90.93,7.95,3.92,0.14,"5,295.47",0.00,244.80,11.89,0.45,22.68,4.90,15.38,SAWANG,SET,CONSUMP,FASHION
3Q2555,50.26,208.20,-17.70,5.85,0.25,0.96,1.09,88.78,11.85,11.64,0.13,"5,248.09",0.00,225.60,14.66,0.42,22.27,5.32,14.21,SAWANG,SET,CONSUMP,FASHION
4Q2555,69.62,-53.99,-54.70,2.79,0.11,0.45,0.51,88.23,10.09,4.00,0.14,"4,998.79",9.80,235.20,16.66,0.44,22.51,5.10,16.54,SAWANG,SET,CONSUMP,FASHION
1Q2556,33.16,,,-3.27,-0.14,-0.53,-0.60,80.69,19.01,-9.86,0.13,"5,393.75",10.00,240.00,22.09,0.44,22.63,2.50,21.73,SAWANG,SET,CONSUMP,FASHION
2Q2556,42.97,35.71,,-2.31,-0.09,-0.38,-0.43,82.78,15.23,-5.37,0.13,"4,863.61",11.90,285.60,38.48,0.53,22.64,2.10,46.61,SAWANG,SET,CONSUMP,FASHION
3Q2556,53.41,,-75.67,1.59,0.06,0.26,0.30,61.16,13.48,2.98,0.13,"4,644.65",13.30,319.20,104.24,0.60,22.29,1.88,139.67,SAWANG,SET,CONSUMP,FASHION
4Q2556,57.49,150.00,32.23,3.62,0.15,0.60,0.67,82.37,13.96,6.30,0.12,"4,526.44",17.40,417.60,N/A,0.78,22.36,1.44,119.68,SAWANG,SET,CONSUMP,FASHION
1Q2557,40.22,,-35.71,-4.66,-0.19,-0.77,-0.87,81.89,18.11,-11.57,0.14,"4,359.33",15.90,381.60,N/A,0.71,22.51,0.00,189.18,SAWANG,SET,CONSUMP,FASHION
2Q2557,55.35,-15.79,-144.44,-5.22,-0.22,-0.87,-0.99,88.52,10.65,-9.43,0.14,"4,422.56",15.60,374.40,N/A,0.71,22.03,0.00,-532.80,SAWANG,SET,CONSUMP,FASHION
