,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"105,177.73",87.22,-35.07,"4,353.58",4.98,1.14,2.80,89.30,8.52,4.14,1.61,,355.00,"426,000.00",15.62,3.04,116.83,3.52,14.14,SCC,SET,PROPCON,CONMAT
2Q2555,"103,107.80",-28.51,-43.04,"2,502.33",3.56,0.65,1.66,88.36,9.15,2.43,1.51,,316.00,"379,200.00",15.77,2.86,110.42,3.96,14.38,SCC,SET,PROPCON,CONMAT
3Q2555,"105,989.56",50.28,-13.01,"5,621.33",5.35,1.46,3.65,89.53,8.86,5.30,1.49,,349.00,"418,800.00",20.11,3.07,113.55,3.58,15.97,SCC,SET,PROPCON,CONMAT
4Q2555,"104,062.15",7.66,116.54,"6,144.87",5.76,1.57,3.89,87.60,8.39,5.90,1.46,,440.00,"528,000.00",26.58,3.85,114.21,2.84,16.86,SCC,SET,PROPCON,CONMAT
1Q2556,"111,162.82",27.26,47.19,"8,464.42",7.33,2.11,5.28,89.84,8.61,7.61,1.56,,490.00,"588,000.00",24.94,4.11,119.32,2.24,16.92,SCC,SET,PROPCON,CONMAT
2Q2556,"110,495.43",12.82,132.30,"10,131.40",8.27,2.44,6.06,87.49,8.93,9.17,1.41,,446.00,"535,200.00",20.27,3.75,118.81,2.47,13.47,SCC,SET,PROPCON,CONMAT
3Q2556,"117,011.58",-1.33,52.52,"10,415.69",8.16,2.46,5.86,88.41,8.90,8.90,1.36,,426.00,"511,200.00",15.95,3.32,128.47,2.58,11.87,SCC,SET,PROPCON,CONMAT
4Q2556,"108,722.33",-18.14,15.97,"8,601.93",6.68,1.98,4.68,86.67,9.37,7.91,1.35,,400.00,"480,000.00",13.55,3.07,130.30,2.75,10.76,SCC,SET,PROPCON,CONMAT
1Q2557,"123,398.19",4.49,-4.77,"9,034.77",6.98,2.01,4.84,89.87,8.81,7.32,1.46,,418.00,"501,600.00",13.73,3.10,134.83,3.71,10.91,SCC,SET,PROPCON,CONMAT
2Q2557,"128,287.29",1.86,-14.03,"9,125.07",7.11,1.98,4.75,88.62,8.66,7.11,1.34,,452.00,"542,400.00",15.02,3.37,134.30,3.43,11.45,SCC,SET,PROPCON,CONMAT
3Q2557,"125,660.20",-8.02,-19.85,"8,824.00",6.54,1.89,4.46,89.80,9.10,7.02,1.38,,450.00,"540,000.00",15.56,3.21,140.00,3.44,11.97,SCC,SET,PROPCON,CONMAT
4Q2557,"120,123.12",12.84,10.48,"9,976.05",7.38,2.12,4.89,87.56,9.60,8.30,1.23,,448.00,"537,600.00",16.41,3.20,140.20,3.46,11.52,SCC,SET,PROPCON,CONMAT
1Q2558,"112,622.21",25.07,32.23,"12,047.12",9.23,2.56,5.72,86.42,10.61,10.70,1.24,,512.00,"614,400.00",18.28,3.47,147.74,2.44,12.08,SCC,SET,PROPCON,CONMAT
2Q2558,"116,509.57",25.24,62.59,"17,815.82",11.56,3.65,8.04,86.77,10.92,15.29,1.16,,520.00,"624,000.00",17.19,3.50,148.65,2.40,10.80,SCC,SET,PROPCON,CONMAT
3Q2558,"112,423.15",-35.12,14.68,"10,916.10",7.50,2.17,4.72,87.34,11.30,9.71,1.19,,464.00,"556,800.00",13.37,2.86,161.98,2.69,9.47,SCC,SET,PROPCON,CONMAT
4Q2558,"108,193.19",27.24,29.31,"12,937.15",9.54,2.54,5.45,,11.34,11.96,1.10,,460.00,"552,000.00",12.90,2.84,162.17,2.72,8.96,SCC,SET,PROPCON,CONMAT
1Q2559,"111,636.00",17.78,21.78,"16,614.70",11.24,3.22,6.77,87.09,11.45,14.88,1.10,,466.00,"559,200.00",12.32,2.71,171.80,3.43,8.61,SCC,SET,PROPCON,CONMAT
2Q2559,"111,684.12",18.86,15.57,"20,250.42",13.36,3.88,7.89,86.42,11.06,18.13,0.97,,476.00,"571,200.00",11.95,2.74,173.94,3.36,8.23,SCC,SET,PROPCON,CONMAT
3Q2559,"106,438.38",-12.13,56.53,"18,863.64",11.74,3.59,7.05,86.50,12.11,17.72,0.96,,516.00,"619,200.00",12.39,2.75,187.40,3.10,8.49,SCC,SET,PROPCON,CONMAT
4Q2559,"102,882.07",-11.41,8.98,"14,990.42",10.40,2.81,5.44,84.95,11.87,14.57,0.92,,496.00,"595,200.00",10.81,2.62,189.04,3.23,7.94,SCC,SET,PROPCON,CONMAT
1Q2560,"120,874.24",39.33,28.91,"21,682.78",14.49,3.94,7.69,85.44,10.75,17.94,0.99,,540.00,"648,000.00",11.55,2.70,200.02,3.52,8.12,SCC,SET,PROPCON,CONMAT
2Q2560,"112,250.60",-23.81,-17.37,"16,140.35",11.04,2.90,5.62,85.09,11.86,14.38,0.89,,504.00,"604,800.00",10.08,2.53,199.07,3.77,8.00,SCC,SET,PROPCON,CONMAT
3Q2560,"114,668.70",-10.60,-15.93,"14,740.83",9.87,2.64,5.03,86.05,12.00,12.86,0.92,,500.00,"600,000.00",10.49,2.38,209.77,3.80,8.12,SCC,SET,PROPCON,CONMAT
4Q2560,"116,443.63",6.08,0.67,"15,195.71",10.47,2.67,5.10,86.64,10.75,13.05,0.90,,484.00,"580,800.00",10.57,2.30,210.22,3.93,7.78,SCC,SET,PROPCON,CONMAT
1Q2561,"120,642.21",-1.24,-28.64,"15,237.01",10.34,2.63,5.05,87.35,10.67,12.63,0.94,,500.00,"600,000.00",10.90,2.30,217.58,3.80,8.77,SCC,SET,PROPCON,CONMAT
2Q2561,"122,971.21",-0.10,-6.43,"15,241.70",10.33,2.59,4.95,87.02,10.93,12.39,0.88,,414.00,"496,800.00",9.92,1.93,214.47,4.59,7.57,SCC,SET,PROPCON,CONMAT
3Q2561,"125,423.44",-23.52,-19.96,"11,722.78",7.90,1.98,3.77,85.31,12.37,9.35,0.92,,446.00,"535,200.00",10.88,1.97,226.46,4.26,8.30,SCC,SET,PROPCON,CONMAT
4Q2561,"121,224.06",10.38,-16.71,"10,445.88",8.72,1.77,3.34,85.76,10.94,8.62,0.86,,436.00,"523,200.00",11.17,1.96,222.77,4.36,8.47,SCC,SET,PROPCON,CONMAT
1Q2562,"114,668.04",11.47,-6.00,"12,719.91",9.72,2.14,4.01,86.87,11.13,11.09,0.89,,482.00,"578,400.00",12.93,2.09,230.91,3.73,9.43,SCC,SET,PROPCON,CONMAT
2Q2562,"111,520.80",-39.61,-43.18,"6,946.04",5.87,1.14,2.16,86.06,11.77,6.23,0.90,,472.00,"566,400.00",12.87,2.06,229.67,3.81,10.71,SCC,SET,PROPCON,CONMAT
3Q2562,"111,830.87",-11.93,-34.56,"6,040.23",5.17,0.98,1.87,83.97,14.69,5.40,0.90,,408.00,"489,600.00",12.67,1.76,232.06,4.41,10.38,SCC,SET,PROPCON,CONMAT
4Q2562,"108,807.05",14.48,-32.13,"7,490.34",5.92,1.20,2.31,,11.08,6.88,0.94,,392.00,"470,400.00",13.30,1.71,229.31,4.59,10.75,SCC,SET,PROPCON,CONMAT
1Q2563,"107,800.64",-1.83,-40.23,"6,001.11",5.81,0.89,1.81,85.89,12.20,5.57,1.10,,324.00,"388,800.00",,,,4.32,10.99,SCC,SET,PROPCON,CONMAT
2Q2563,"98,055.84",34.60,33.22,"10,666.31",7.82,1.51,3.13,85.22,12.70,10.88,1.05,,368.00,"441,600.00",16.16,1.51,243.09,3.80,10.80,SCC,SET,PROPCON,CONMAT
3Q2563,"102,527.50",3.84,57.06,"11,071.69",8.12,1.55,3.19,85.32,13.13,10.80,1.06,,322.00,"386,400.00",13.03,1.30,247.07,4.35,9.67,SCC,SET,PROPCON,CONMAT
