,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"7,016.02",405.45,14.64,"1,280.02",5.56,4.64,7.25,76.57,23.09,18.24,0.57,50.36,306.00,"70,380.00",21.37,4.14,73.92,4.25,12.35,SCCC,SET,PROPCON,CONMAT
2Q2555,"6,545.08",-36.69,-23.48,809.98,3.52,2.87,4.50,73.51,25.61,12.38,0.57,48.21,328.00,"75,440.00",21.83,4.13,79.49,3.96,14.34,SCCC,SET,PROPCON,CONMAT
3Q2555,"6,600.38",-2.27,-8.75,792.97,3.44,2.87,4.58,72.96,26.27,12.01,0.63,47.20,382.00,"87,860.00",27.39,4.96,76.98,3.40,17.26,SCCC,SET,PROPCON,CONMAT
4Q2555,"6,430.36",-4.36,199.09,754.37,3.29,2.71,4.36,73.00,26.49,11.73,0.59,39.26,420.00,"96,600.00",30.84,5.71,73.51,3.10,17.83,SCCC,SET,PROPCON,CONMAT
1Q2556,"7,602.63",61.09,-4.68,"1,217.64",5.30,4.22,6.67,75.49,24.20,16.02,0.58,35.27,484.00,"111,320.00",30.62,6.31,76.72,2.69,20.68,SCCC,SET,PROPCON,CONMAT
2Q2556,"7,510.23",32.45,99.43,"1,600.43",7.02,5.11,8.44,76.38,23.27,21.31,0.73,34.59,383.00,"88,090.00",24.64,4.67,81.97,3.39,14.23,SCCC,SET,PROPCON,CONMAT
3Q2556,"7,530.43",-25.07,52.91,"1,226.14",5.26,3.78,6.53,74.93,24.69,16.28,0.73,33.21,404.00,"92,920.00",21.21,4.87,82.90,3.22,13.97,SCCC,SET,PROPCON,CONMAT
4Q2556,"7,401.89",-37.83,-0.61,751.72,3.27,2.30,3.99,72.95,26.81,10.16,0.74,28.66,398.00,"91,540.00",19.07,4.96,80.26,3.27,13.83,SCCC,SET,PROPCON,CONMAT
1Q2557,"8,673.26",152.91,56.04,"1,902.59",8.27,5.49,9.41,78.16,21.61,21.94,0.69,26.94,346.00,"79,580.00",16.59,4.14,83.64,4.34,10.93,SCCC,SET,PROPCON,CONMAT
2Q2557,"7,866.12",-22.61,-8.83,"1,472.58",6.40,4.13,6.98,76.17,23.36,18.72,0.69,28.41,450.00,"103,500.00",18.88,4.89,92.07,3.33,14.11,SCCC,SET,PROPCON,CONMAT
3Q2557,"7,820.02",-28.44,-12.93,"1,051.86",4.58,3.00,5.10,74.11,25.66,13.45,0.71,26.94,434.00,"99,820.00",18.70,4.75,91.43,3.46,14.04,SCCC,SET,PROPCON,CONMAT
4Q2557,"7,609.14",-37.77,-12.84,655.41,2.85,1.87,3.19,70.18,29.42,8.61,0.70,26.52,434.00,"99,820.00",19.27,4.93,88.02,3.46,14.07,SCCC,SET,PROPCON,CONMAT
1Q2558,"8,429.97",112.28,-26.84,"1,392.30",6.05,3.84,6.44,75.90,23.98,16.52,0.66,27.61,382.00,"87,860.00",17.29,4.20,90.85,3.93,13.27,SCCC,SET,PROPCON,CONMAT
2Q2558,"7,912.01",1.16,-4.38,"1,406.31",6.12,3.79,6.33,74.87,24.65,17.77,0.69,26.26,372.00,"85,560.00",18.71,3.83,97.02,4.03,13.19,SCCC,SET,PROPCON,CONMAT
3Q2558,"7,431.27",-41.67,-22.05,822.55,3.57,2.28,3.81,73.35,26.49,11.07,0.66,43.67,340.00,"78,200.00",17.36,3.54,96.02,4.41,12.66,SCCC,SET,PROPCON,CONMAT
4Q2558,"7,568.07",16.81,46.32,958.05,4.17,2.64,4.43,70.73,27.16,12.66,0.70,45.95,319.00,"73,370.00",17.16,3.47,91.84,4.70,11.40,SCCC,SET,PROPCON,CONMAT
1Q2559,"8,267.39",41.97,-2.15,"1,361.81",5.92,3.58,5.98,75.02,24.85,16.47,0.64,49.10,308.00,"70,840.00",15.47,3.21,96.05,4.87,11.10,SCCC,SET,PROPCON,CONMAT
2Q2559,"7,858.43",-10.47,-13.40,"1,219.48",5.30,3.04,5.24,74.36,24.72,15.52,0.81,49.90,296.00,"68,080.00",14.97,2.90,101.97,5.07,11.20,SCCC,SET,PROPCON,CONMAT
3Q2559,"8,785.26",-62.64,-44.54,456.31,1.98,0.92,2.04,69.60,29.99,5.19,1.64,37.07,296.00,"68,080.00",15.61,2.95,100.25,5.07,13.70,SCCC,SET,PROPCON,CONMAT
