,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,388.16,278.05,38.39,46.63,1.55,4.28,9.34,92.20,7.04,12.01,1.17,-156.14,16.00,480.00,5.62,1.00,15.96,2.50,5.16,SCP,SET,PROPCON,CONMAT
2Q2555,389.22,6.45,153.85,49.46,1.65,4.46,9.16,91.10,8.36,12.71,0.94,-138.41,20.10,603.00,6.12,1.16,17.31,1.99,4.74,SCP,SET,PROPCON,CONMAT
3Q2555,416.55,35.15,232.84,66.69,2.23,5.86,11.09,91.76,7.14,16.01,0.85,-177.64,42.50,"1,275.00",9.94,2.27,18.69,0.94,6.25,SCP,SET,PROPCON,CONMAT
4Q2555,436.65,-14.80,363.41,56.98,1.90,4.66,8.40,87.24,11.59,13.05,0.76,-152.29,51.75,"1,552.50",8.87,2.42,21.40,0.77,6.24,SCP,SET,PROPCON,CONMAT
1Q2556,509.39,72.63,111.61,98.43,3.28,7.24,12.26,91.71,6.18,19.32,0.64,-201.85,68.25,"2,047.50",9.32,2.87,23.81,1.61,6.66,SCP,SET,PROPCON,CONMAT
2Q2556,424.25,-36.89,25.45,62.17,2.07,4.27,6.86,90.07,8.63,14.65,0.58,-282.21,88.00,"2,640.00",9.72,2.96,29.70,1.25,7.75,SCP,SET,PROPCON,CONMAT
3Q2556,614.26,,,143.86,-4.34,9.44,14.57,91.58,5.85,23.42,0.52,-345.69,7.80,"2,340.00",8.23,2.54,3.07,1.41,5.67,SCP,SET,PROPCON,CONMAT
4Q2556,578.52,,-80.91,107.36,0.36,6.50,9.71,90.25,9.10,18.56,0.47,-408.69,7.90,"2,370.00",6.56,2.25,3.51,1.39,5.10,SCP,SET,PROPCON,CONMAT
1Q2557,574.49,2.01,-88.72,111.58,0.37,6.31,9.15,92.62,6.61,19.42,0.43,-388.20,7.85,"2,355.00",5.72,2.03,3.86,3.82,4.84,SCP,SET,PROPCON,CONMAT
2Q2557,434.82,-24.32,-86.47,82.95,0.28,4.65,6.44,84.66,8.94,19.08,0.34,-337.79,10.80,"3,240.00",7.62,2.53,4.27,2.78,5.99,SCP,SET,PROPCON,CONMAT
3Q2557,424.54,-3.15,,81.82,0.27,4.59,6.06,81.69,8.74,19.27,0.30,-276.93,12.00,"3,600.00",8.08,2.78,4.32,2.50,7.61,SCP,SET,PROPCON,CONMAT
4Q2557,363.55,-30.37,-47.94,55.76,0.19,3.11,3.96,95.52,9.34,15.34,0.25,-253.76,9.90,"2,970.00",7.74,2.12,4.68,3.03,7.04,SCP,SET,PROPCON,CONMAT
1Q2558,506.42,71.99,-12.23,97.43,0.32,5.21,6.72,89.37,9.90,19.24,0.33,-216.49,8.90,"2,670.00",8.04,1.89,4.70,4.49,6.84,SCP,SET,PROPCON,CONMAT
2Q2558,398.76,-30.64,-19.56,67.95,0.23,3.51,4.58,85.46,10.69,17.04,0.29,-210.50,9.50,"2,850.00",8.96,1.91,4.96,4.21,7.53,SCP,SET,PROPCON,CONMAT
3Q2558,433.64,3.80,-13.78,69.77,0.23,3.66,4.64,88.73,10.47,16.09,0.25,-181.29,8.80,"2,640.00",8.71,1.79,4.92,4.55,6.91,SCP,SET,PROPCON,CONMAT
4Q2558,410.97,-16.09,3.90,57.83,0.20,3.01,3.72,85.35,13.65,14.07,0.23,-139.84,8.10,"2,430.00",8.35,1.59,5.10,4.94,6.13,SCP,SET,PROPCON,CONMAT
1Q2559,413.35,32.52,-19.94,77.50,0.26,3.90,4.85,87.32,10.93,18.75,0.26,-109.43,8.70,"2,610.00",8.91,1.66,5.25,4.60,7.20,SCP,SET,PROPCON,CONMAT
