,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,594.17",,-25.00,23.37,0.01,0.42,0.97,83.88,14.39,1.47,1.25,212.36,2.00,"8,602.60",102.82,3.63,0.55,0.50,25.69,SDC,SET,TECH,ICT
2Q2555,"1,542.01",-16.67,-58.33,23.88,0.01,0.44,0.99,84.45,14.56,1.55,1.27,202.69,2.12,"9,118.76",125.29,3.80,0.56,0.47,28.51,SDC,SET,TECH,ICT
3Q2555,"1,613.20",60.00,60.00,35.10,0.01,0.65,1.44,82.95,15.13,2.18,1.18,212.87,2.10,"9,034.38",204.56,3.80,0.55,0.48,28.02,SDC,SET,TECH,ICT
4Q2555,"2,284.39",150.00,,84.18,0.02,1.56,3.37,83.02,16.10,3.68,1.14,170.92,2.20,"9,468.66",160.73,3.91,0.56,0.45,23.27,SDC,SET,TECH,ICT
1Q2556,"2,465.01",105.00,583.33,177.00,0.04,3.38,6.54,84.48,14.91,7.18,0.76,113.20,3.58,"15,533.17",93.68,6.19,0.58,0.69,24.96,SDC,SET,TECH,ICT
2Q2556,"2,626.08",43.90,"1,080.00",257.69,0.06,4.92,8.71,84.22,15.65,9.81,0.78,76.49,3.58,"15,639.19",49.11,5.53,0.65,0.69,19.10,SDC,SET,TECH,ICT
3Q2556,"2,666.42",-13.56,537.50,223.11,0.05,3.82,7.29,85.03,14.25,8.37,1.04,73.49,3.56,"15,554.10",28.18,5.16,0.69,0.70,16.51,SDC,SET,TECH,ICT
4Q2556,"2,534.10",-33.33,70.00,152.96,0.03,2.26,4.89,79.55,19.86,6.04,1.28,99.23,3.28,"14,344.98",19.45,4.74,0.69,0.76,15.94,SDC,SET,TECH,ICT
1Q2557,"3,244.33",32.35,9.76,197.37,0.04,2.70,5.98,87.61,11.80,6.08,1.15,130.89,3.42,"15,028.81",18.63,4.77,0.72,3.20,16.42,SDC,SET,TECH,ICT
2Q2557,"3,492.23",46.67,11.86,292.97,0.07,3.74,8.54,85.18,13.72,8.39,1.42,167.20,3.04,"13,376.76",16.19,3.96,0.77,3.59,15.06,SDC,SET,TECH,ICT
3Q2557,"2,736.97",-48.48,-33.33,156.11,0.03,1.81,4.61,80.88,16.91,5.70,1.70,248.45,3.84,"16,896.96",19.65,4.97,0.77,2.85,19.50,SDC,SET,TECH,ICT
4Q2557,"3,020.16",-50.00,-50.00,73.22,0.02,0.75,2.17,84.04,15.76,2.42,2.11,312.21,3.36,"14,784.84",18.70,4.51,0.75,3.25,19.01,SDC,SET,TECH,ICT
1Q2558,"2,340.94",35.29,-48.89,106.73,0.02,1.03,3.07,84.30,14.57,4.56,1.84,393.64,2.62,"11,528.66",16.23,3.46,0.76,3.44,16.59,SDC,SET,TECH,ICT
2Q2558,"2,155.61",-13.04,-69.70,95.41,0.02,0.96,2.72,83.19,15.50,4.43,1.85,472.93,2.38,"10,472.59",17.04,3.06,0.78,3.78,18.92,SDC,SET,TECH,ICT
3Q2558,"1,975.49",-55.00,-73.53,27.38,0.01,0.27,0.79,83.62,16.20,1.39,1.97,451.81,1.77,"7,788.44",18.85,2.30,0.77,5.08,18.33,SDC,SET,TECH,ICT
4Q2558,"1,318.66",,,-171.55,-0.04,-1.71,-5.17,73.28,26.54,-13.01,2.09,462.21,1.30,"5,720.32",20.31,1.74,0.75,6.92,25.75,SDC,SET,TECH,ICT
1Q2559,"1,445.70",88.64,,-31.80,-0.01,-0.33,-0.99,82.79,16.89,-2.20,1.98,440.06,1.09,"4,796.27",129.06,1.54,0.71,1.38,34.85,SDC,SET,TECH,ICT
2Q2559,813.67,-260.00,,-56.08,-0.02,-0.60,-1.77,72.85,26.52,-6.89,1.97,497.45,1.24,"5,456.31",N/A,1.78,0.70,1.21,90.75,SDC,SET,TECH,ICT
3Q2559,741.59,-144.44,,-177.52,-0.04,-1.94,-5.81,62.42,35.47,-23.94,2.03,609.51,1.01,"4,444.25",N/A,1.48,0.68,1.49,-67.54,SDC,SET,TECH,ICT
4Q2559,460.34,-120.45,-120.45,-446.44,-0.10,-5.26,-16.27,24.29,60.61,-96.98,2.17,741.00,0.96,"4,224.24",N/A,1.50,0.64,1.56,-20.46,SDC,SET,TECH,ICT
1Q2560,421.76,53.61,-800.00,-206.66,-0.04,-2.66,-8.58,47.81,51.57,-49.00,2.29,983.14,1.06,"4,664.27",N/A,1.95,0.54,0.00,-14.61,SDC,SET,TECH,ICT
2Q2560,337.10,-142.22,-505.56,-476.83,-0.11,-6.51,-23.17,50.34,47.20,-141.45,2.90,"1,118.73",0.99,"4,356.25",N/A,1.99,0.50,0.00,-7.99,SDC,SET,TECH,ICT
3Q2560,333.13,66.06,15.91,-169.41,-0.04,-2.40,-9.78,55.83,43.17,-50.85,3.26,"1,286.87",0.92,"4,048.23",N/A,2.38,0.39,0.00,-7.87,SDC,SET,TECH,ICT
4Q2560,272.19,-572.97,-156.70,"-1,100.78",-0.25,-16.43,-100.12,52.33,41.67,-404.42,10.60,"1,184.45",0.62,"2,728.16",N/A,3.54,0.35,0.00,-4.14,SDC,SET,TECH,ICT
1Q2561,172.32,86.75,26.67,-145.51,-0.03,-2.32,-30.63,37.08,59.92,-84.44,14.37,"1,202.66",0.34,"1,496.09",N/A,3.26,0.10,0.00,-3.66,SDC,SET,TECH,ICT
2Q2561,225.53,23.45,76.83,-194.68,-0.03,-2.97,-14.52,52.71,46.26,-86.32,2.05,999.98,0.24,"2,717.86",N/A,8.80,0.07,0.00,-4.16,SDC,SET,TECH,ICT
3Q2561,213.24,-7.28,26.76,-313.56,-0.03,-4.54,-14.79,49.25,45.13,-147.05,2.51,723.89,0.45,"5,095.99",N/A,2.33,0.19,0.00,-5.55,SDC,SET,TECH,ICT
4Q2561,159.03,-269.00,59.84,-942.43,-0.10,-14.74,-63.36,48.39,46.95,-592.61,4.83,492.07,0.32,"3,623.82",N/A,1.95,0.16,0.00,-8.97,SDC,SET,TECH,ICT
1Q2562,225.27,92.98,78.73,-72.42,-0.01,-1.23,-7.39,66.53,29.94,-32.15,5.18,54.51,0.34,"3,850.30",N/A,4.16,0.08,0.00,-10.51,SDC,SET,TECH,ICT
2Q2562,267.62,57.55,88.20,-68.27,-0.00,-1.18,-7.52,71.09,27.33,-25.51,5.60,-234.44,0.34,"3,850.30",N/A,4.53,0.08,0.00,-13.20,SDC,SET,TECH,ICT
3Q2562,282.59,-192.62,67.82,-62.74,-0.01,-1.11,-7.43,80.63,18.43,-22.20,5.80,-442.15,0.25,"2,831.11",N/A,3.64,0.07,0.00,-18.98,SDC,SET,TECH,ICT
4Q2562,346.52,73.28,97.67,-30.04,-0.00,-0.55,-3.61,48.82,19.94,-8.67,5.27,-418.78,0.19,"2,151.64",N/A,3.01,0.06,0.00,37.25,SDC,SET,TECH,ICT
1Q2563,279.04,-329.18,-42.45,-59.77,-0.01,-1.15,-7.31,77.50,16.03,-21.42,5.44,-440.92,0.08,905.95,,,,0.00,25.26,SDC,SET,TECH,ICT
2Q2563,65.90,87.30,57.38,-75.84,-0.00,-1.52,-10.14,27.10,78.47,-115.07,5.89,-357.91,0.17,"1,925.15",N/A,2.80,0.06,0.00,34.69,SDC,SET,TECH,ICT
3Q2563,242.77,66.14,95.07,-4.12,-0.00,-0.09,-0.58,83.53,17.25,-1.70,5.66,-389.80,0.15,"1,698.66",N/A,2.75,0.05,0.00,26.28,SDC,SET,TECH,ICT
4Q2563,68.39,"-4,155.81",-685.41,-214.74,-0.02,-4.73,-35.79,18.76,71.04,-313.99,7.87,-419.64,0.31,"3,510.57",N/A,5.74,0.05,0.00,58.31,SDC,SET,TECH,ICT
1Q2564,104.93,69.62,44.40,-68.97,-0.01,-1.58,-14.76,58.79,35.45,-65.72,8.89,-415.63,0.28,"3,170.84",N/A,7.79,0.04,0.00,87.87,SDC,SET,TECH,ICT
2Q2564,38.41,-13.49,-396.85,-77.29,-0.01,-1.81,-19.04,-19.98,99.88,-201.22,10.28,-496.10,0.40,"4,529.77",N/A,12.70,0.03,0.00,162.79,SDC,SET,TECH,ICT
3Q2564,159.13,-14.58,"-1,581.40",-88.69,-0.01,-2.07,-21.48,71.30,21.16,-55.74,8.65,-510.07,0.70,"8,106.37",N/A,27.40,0.03,0.00,-407.72,SDC,SET,TECH,ICT
4Q2564,116.12,-34.44,46.89,-120.71,-0.01,-2.71,-18.72,73.68,27.11,-103.96,4.44,-580.54,0.51,"6,374.92",N/A,16.68,0.03,0.00,"-1,028.24",SDC,SET,TECH,ICT
1Q2565,287.46,-2.88,-79.86,-91.14,-0.01,-1.91,-9.54,88.72,9.62,-31.70,3.62,-656.64,0.44,"5,811.04",,,,0.00,-741.33,SDC,SET,TECH,ICT
2Q2565,230.43,60.40,37.24,-92.21,-0.00,-1.87,-8.90,88.44,10.95,-40.02,3.89,-937.29,0.31,"4,235.71",N/A,4.13,0.08,0.00,-242.00,SDC,SET,TECH,ICT
3Q2565,57.25,-272.73,-104.15,-242.97,-0.01,-5.01,-26.60,57.27,42.88,-424.39,4.81,"-1,158.93",0.23,"3,244.42",N/A,3.22,0.07,0.00,-64.19,SDC,SET,TECH,ICT
