,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,370.42",23.08,23.08,51.85,0.16,2.10,6.84,74.73,24.15,3.78,2.17,-248.55,12.00,"3,887.05",17.26,5.82,2.06,3.43,11.10,SE-ED,SET,SERVICE,MEDIA
2Q2555,"1,555.31",18.75,-26.92,76.61,0.19,3.04,9.72,74.47,24.48,4.93,2.23,-258.66,11.80,"4,204.50",17.71,5.80,1.59,3.17,12.55,SE-ED,SET,SERVICE,MEDIA
3Q2555,"1,410.56",-36.84,-33.33,39.04,0.12,1.55,4.92,74.09,25.33,2.77,2.12,-267.92,11.40,"4,061.97",17.96,5.59,2.04,3.28,13.13,SE-ED,SET,SERVICE,MEDIA
4Q2555,"1,353.40",-16.67,-23.08,36.01,0.10,1.41,4.16,63.57,35.83,2.66,1.81,-246.62,9.70,"3,456.24",16.59,4.71,2.06,3.85,12.33,SE-ED,SET,SERVICE,MEDIA
1Q2556,"1,323.57",-20.00,-50.00,28.11,0.08,1.08,2.96,69.24,29.76,2.12,1.70,-238.57,9.65,"3,438.42",16.90,3.94,2.45,4.17,13.76,SE-ED,SET,SERVICE,MEDIA
2Q2556,"1,467.70",-37.50,-73.68,26.48,0.05,1.02,2.76,67.38,31.67,1.80,1.74,-220.07,5.95,"2,332.07",12.92,2.58,2.30,6.14,12.65,SE-ED,SET,SERVICE,MEDIA
3Q2556,"1,297.69",-20.00,-66.67,10.35,0.04,0.40,1.08,67.83,31.88,0.80,1.62,-200.70,4.92,"1,928.37",14.77,2.16,2.27,7.43,13.10,SE-ED,SET,SERVICE,MEDIA
4Q2556,"1,268.41",-63.90,-85.56,6.58,0.01,0.26,0.68,66.04,32.54,0.52,1.68,-200.52,4.62,"1,810.78",17.75,2.01,2.30,7.91,15.18,SE-ED,SET,SERVICE,MEDIA
1Q2557,"1,226.85",102.01,-63.54,11.02,0.03,0.42,1.13,66.97,32.06,0.90,1.64,-190.01,4.60,"1,802.94",24.94,1.98,2.32,3.91,16.03,SE-ED,SET,SERVICE,MEDIA
2Q2557,"1,345.74",245.66,101.66,47.92,0.10,1.84,4.94,67.78,31.10,3.56,1.73,-182.43,4.48,"1,755.91",32.61,1.91,2.35,4.02,14.43,SE-ED,SET,SERVICE,MEDIA
3Q2557,"1,228.11",-70.25,-25.00,6.68,0.03,0.26,0.69,66.25,32.82,0.54,1.60,-176.69,5.05,"1,979.32",27.42,2.22,2.28,3.56,14.94,SE-ED,SET,SERVICE,MEDIA
4Q2557,"1,164.23",57.87,227.98,20.40,0.05,0.77,2.09,52.98,33.45,1.75,1.84,-169.06,5.05,"1,979.32",28.80,2.20,2.30,3.56,14.42,SE-ED,SET,SERVICE,MEDIA
1Q2558,"1,175.97",87.86,205.01,35.05,0.09,1.27,3.49,67.67,30.49,2.98,1.66,-164.88,6.05,"2,371.26",29.18,2.58,2.35,2.98,13.66,SE-ED,SET,SERVICE,MEDIA
2Q2558,"1,229.16",3.00,-9.11,41.96,0.09,1.56,4.17,67.72,31.91,3.41,1.67,-158.49,5.95,"2,332.07",22.27,2.44,2.44,3.03,13.70,SE-ED,SET,SERVICE,MEDIA
3Q2558,"1,111.29",-52.28,45.77,17.49,0.04,0.67,1.75,67.00,31.98,1.57,1.56,-151.86,5.45,"2,136.10",21.55,2.32,2.35,3.30,12.19,SE-ED,SET,SERVICE,MEDIA
4Q2558,"1,026.15",,,-17.99,-0.04,-0.70,-1.80,63.91,35.25,-1.75,1.61,-148.30,5.25,"2,057.71",19.06,2.19,2.40,3.43,14.33,SE-ED,SET,SERVICE,MEDIA
1Q2559,"1,052.85",31.95,,-11.48,-0.03,-0.45,-1.16,64.60,33.64,-1.09,1.57,-145.83,4.70,"1,842.14",25.99,2.00,2.35,2.55,17.77,SE-ED,SET,SERVICE,MEDIA
2Q2559,"1,149.80",,19.61,50.13,0.11,1.98,5.10,77.19,23.16,4.36,1.59,-158.82,4.46,"1,748.07",71.63,1.92,2.32,2.69,16.02,SE-ED,SET,SERVICE,MEDIA
