,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,0.97,-90.97,,,,,,,,SE,mai,SERVICE,-
3Q2559,320.10,,,18.99,0.11,8.50,15.16,78.48,19.65,5.93,0.63,-77.38,,,,,,,,SE,mai,SERVICE,-
4Q2559,114.20,-58.81,,7.82,0.04,3.50,5.64,81.83,16.69,6.85,0.60,-95.11,,,,,,,,SE,mai,SERVICE,-
1Q2560,103.81,26.42,,11.75,0.05,3.98,5.37,77.39,20.58,11.32,0.23,-101.89,3.00,720.00,26.86,,0.00,2.67,7.14,SE,mai,SERVICE,-
2Q2560,75.54,-87.55,,2.27,0.01,0.64,0.79,72.46,25.23,3.01,0.26,-112.79,3.68,883.20,27.79,2.99,1.23,2.17,15.64,SE,mai,SERVICE,-
3Q2560,108.12,669.44,-50.10,12.45,0.05,3.44,4.38,79.99,17.40,11.52,0.28,-173.52,3.06,734.40,22.50,2.64,1.16,2.61,16.83,SE,mai,SERVICE,-
4Q2560,125.33,-34.77,-20.99,9.45,0.03,2.44,3.20,77.42,20.23,7.54,0.35,-169.84,2.52,604.80,17.63,2.08,1.21,3.17,12.86,SE,mai,SERVICE,-
1Q2561,98.74,-71.13,-81.96,2.38,0.01,0.60,0.79,74.49,23.78,2.41,0.31,-172.75,2.54,609.60,16.97,2.04,1.25,2.36,13.12,SE,mai,SERVICE,-
2Q2561,88.30,18.67,71.93,2.82,0.01,0.70,0.96,74.68,23.96,3.20,0.41,-217.43,1.99,477.60,17.99,1.58,1.26,3.02,13.12,SE,mai,SERVICE,-
3Q2561,95.36,195.07,-34.07,8.33,0.03,2.09,2.83,75.74,23.16,8.73,0.30,-211.81,2.22,532.80,19.66,1.84,1.21,2.70,16.72,SE,mai,SERVICE,-
4Q2561,129.24,56.46,58.14,13.03,0.05,3.23,4.28,79.71,18.53,10.08,0.35,-219.52,1.90,456.00,19.85,1.53,1.24,3.16,13.09,SE,mai,SERVICE,-
1Q2562,120.04,-25.75,306.76,9.67,0.04,2.32,3.06,81.65,17.59,8.06,0.29,-225.89,1.93,463.20,17.44,1.49,1.30,2.07,10.16,SE,mai,SERVICE,-
2Q2562,125.38,-3.94,229.25,9.29,0.04,2.24,2.90,79.76,19.51,7.41,0.30,-181.84,1.88,451.20,13.33,1.41,1.34,2.13,8.84,SE,mai,SERVICE,-
3Q2562,101.63,-6.95,3.83,8.65,0.04,2.07,2.66,75.53,22.57,8.51,0.27,-167.20,0.00,427.20,10.59,1.33,1.34,2.25,7.85,SE,mai,SERVICE,-
4Q2562,133.10,-9.38,-39.86,7.84,0.03,1.81,2.35,75.22,23.70,5.89,0.33,-118.86,1.86,446.40,10.98,1.36,1.37,2.15,9.80,SE,mai,SERVICE,-
1Q2563,102.98,37.27,11.19,10.76,0.04,2.37,3.14,75.51,22.68,10.45,0.32,-102.54,1.11,266.40,7.51,0.79,1.40,4.50,5.21,SE,mai,SERVICE,-
2Q2563,77.02,-82.80,-80.09,1.85,0.01,0.41,0.54,70.77,28.48,2.40,0.32,-92.67,1.28,307.20,8.41,0.88,1.45,3.91,7.03,SE,mai,SERVICE,-
3Q2563,74.25,243.45,-26.51,6.35,0.03,1.42,1.86,69.32,28.92,8.56,0.30,-91.45,1.22,292.80,10.07,0.87,1.41,4.10,7.15,SE,mai,SERVICE,-
4Q2563,199.41,240.11,175.83,21.61,0.09,4.67,6.09,85.03,14.66,10.84,0.31,-109.07,1.29,309.60,11.55,0.90,1.43,3.88,6.56,SE,mai,SERVICE,-
1Q2564,78.44,,,-2.97,-0.01,-0.66,-0.85,71.28,28.34,-3.79,0.28,-111.14,1.81,434.40,11.78,1.31,1.38,0.28,10.25,SE,mai,SERVICE,-
2Q2564,112.61,,193.39,6.49,0.02,1.23,1.52,74.53,21.63,5.76,0.21,-120.17,1.30,811.20,24.85,2.20,0.79,0.16,15.48,SE,mai,SERVICE,-
3Q2564,157.36,57.74,34.74,16.67,0.04,3.06,4.00,74.78,24.94,10.60,0.47,-71.02,1.50,936.00,25.77,1.69,0.89,0.14,17.63,SE,mai,SERVICE,-
4Q2564,149.68,2.52,-59.38,19.82,0.04,4.17,6.13,78.48,18.42,13.24,0.47,-44.49,1.49,929.76,24.87,2.98,0.50,0.14,18.11,SE,mai,SERVICE,-
1Q2565,138.16,-40.95,,13.62,0.02,2.79,4.01,78.65,20.24,9.86,0.41,-5.51,1.44,898.56,27.06,2.85,0.51,0.18,12.86,SE,mai,SERVICE,-
2Q2565,135.23,4.17,-0.53,14.57,0.02,2.97,4.13,78.41,21.22,10.77,0.37,30.45,1.04,687.95,15.11,2.00,0.53,0.25,8.87,SE,mai,SERVICE,-
3Q2565,169.81,30.09,-17.97,19.92,0.03,3.87,5.39,81.91,17.25,11.73,0.41,19.80,1.27,838.64,15.51,2.35,0.55,0.21,10.39,SE,mai,SERVICE,-
