,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,470.27,,532.40,40.79,0.19,2.62,7.69,94.46,4.96,8.67,1.86,-662.73,3.22,692.30,N/A,1.37,2.34,0.00,15.83,SEAFCO,SET,PROPCON,CONS
2Q2555,343.15,-57.69,301.40,23.36,0.08,1.46,4.15,93.84,5.44,6.81,1.84,-791.45,3.34,718.10,N/A,1.33,2.52,0.00,13.82,SEAFCO,SET,PROPCON,CONS
3Q2555,339.10,98.84,"1,496.30",34.94,0.16,2.18,5.91,90.06,6.81,10.30,1.58,-815.32,5.35,"1,150.25",N/A,2.05,2.62,0.00,13.13,SEAFCO,SET,PROPCON,CONS
4Q2555,389.32,33.70,,46.55,0.21,2.99,7.36,93.07,6.16,11.96,1.35,-841.39,5.85,"1,257.75",57.84,2.11,2.77,0.00,7.47,SEAFCO,SET,PROPCON,CONS
1Q2556,324.41,-1.41,10.91,45.26,0.21,2.96,6.63,91.33,7.23,13.95,1.13,-718.88,9.95,"2,139.25",15.48,3.33,2.99,0.28,9.94,SEAFCO,SET,PROPCON,CONS
2Q2556,300.25,-61.27,1.52,33.81,0.08,2.29,4.67,92.20,7.06,11.26,0.96,-516.25,5.25,"1,410.83",9.68,2.02,2.60,0.42,6.71,SEAFCO,SET,PROPCON,CONS
3Q2556,371.05,69.61,-13.41,37.32,0.14,2.55,5.02,95.23,4.29,10.06,0.97,-564.28,5.05,"1,357.09",8.56,1.87,2.70,0.44,6.48,SEAFCO,SET,PROPCON,CONS
4Q2556,327.27,-39.08,-60.54,22.88,0.08,1.54,3.00,90.78,7.08,6.99,0.92,-513.29,4.52,"1,214.66",7.52,1.65,2.74,0.49,6.64,SEAFCO,SET,PROPCON,CONS
1Q2557,328.99,6.28,-57.47,23.89,0.09,1.59,3.04,89.03,8.58,7.26,0.89,-433.61,4.52,"1,214.66",8.79,1.60,2.83,4.42,7.22,SEAFCO,SET,PROPCON,CONS
2Q2557,530.77,120.65,142.31,59.61,0.20,3.68,7.31,91.78,6.01,11.23,1.08,-539.78,5.20,"1,513.78",12.93,1.93,2.69,3.55,8.02,SEAFCO,SET,PROPCON,CONS
3Q2557,595.12,63.73,133.91,92.72,0.32,5.32,10.81,92.87,5.07,15.58,0.99,-600.11,6.40,"1,863.11",12.98,2.28,2.81,2.88,7.34,SEAFCO,SET,PROPCON,CONS
4Q2557,444.51,-64.91,34.75,33.36,0.11,1.91,3.70,97.32,7.08,7.50,0.88,-661.18,8.50,"2,474.44",12.38,2.84,2.99,2.17,8.56,SEAFCO,SET,PROPCON,CONS
1Q2558,484.52,-17.77,4.26,27.78,0.09,1.60,2.98,92.71,6.51,5.73,0.85,-796.61,10.00,"2,911.11",13.83,3.22,3.10,2.90,9.44,SEAFCO,SET,PROPCON,CONS
2Q2558,436.50,67.92,-20.66,49.16,0.16,2.85,5.19,92.11,7.01,11.26,0.79,-815.59,11.50,"3,515.15",16.42,3.78,3.04,2.40,11.55,SEAFCO,SET,PROPCON,CONS
3Q2558,484.54,1.62,-50.75,49.68,0.16,2.80,5.18,92.33,6.55,10.25,0.91,-811.54,10.10,"3,087.22",15.16,3.30,3.06,2.73,12.57,SEAFCO,SET,PROPCON,CONS
4Q2558,467.43,-45.13,-23.00,25.26,0.09,1.38,2.58,92.28,6.91,5.40,0.82,-852.90,9.60,"2,934.38",18.39,3.07,3.12,2.88,12.21,SEAFCO,SET,PROPCON,CONS
1Q2559,511.71,101.12,88.32,53.43,0.18,2.87,5.24,93.14,6.46,10.44,0.83,-910.36,9.30,"2,842.68",18.55,2.90,3.21,2.69,10.76,SEAFCO,SET,PROPCON,CONS
