,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,2.42,18.15,,,,,,,,SELIC,mai,INDUS,-
2Q2559,286.34,,,21.81,0.11,6.21,19.07,78.67,20.57,7.62,1.78,17.84,,,,,,,,SELIC,mai,INDUS,-
3Q2559,133.94,-71.78,,6.16,0.03,1.78,4.76,76.97,22.52,4.60,1.58,19.28,,,,,,,,SELIC,mai,INDUS,-
4Q2559,140.52,30.44,,11.07,0.04,2.67,4.48,76.38,22.38,7.88,0.35,25.35,3.16,884.80,22.81,,0.00,0.00,6.72,SELIC,mai,INDUS,-
1Q2560,138.91,-38.21,,6.95,0.02,1.41,1.90,76.28,22.80,5.00,0.35,48.39,3.12,873.60,22.38,2.42,1.29,1.70,11.73,SELIC,mai,INDUS,-
2Q2560,144.45,-38.77,-86.07,5.46,0.02,1.12,1.50,76.60,22.68,3.78,0.34,64.03,3.10,868.00,24.57,2.35,1.32,1.71,15.03,SELIC,mai,INDUS,-
3Q2560,153.35,-34.17,-67.51,2.96,0.01,0.60,0.82,77.06,22.90,1.93,0.41,52.69,2.86,800.80,27.02,2.23,1.28,1.85,15.34,SELIC,mai,INDUS,-
4Q2560,158.29,100.00,-50.19,3.48,0.02,0.69,0.96,79.01,20.63,2.20,0.38,46.40,2.38,666.40,25.21,1.84,1.29,2.23,14.50,SELIC,mai,INDUS,-
1Q2561,143.02,-92.15,-93.67,0.44,0.00,0.09,0.12,74.73,24.79,0.31,0.35,44.49,2.16,604.80,32.09,1.66,1.30,1.25,15.41,SELIC,mai,INDUS,-
2Q2561,155.94,882.80,1.58,4.32,0.02,0.89,1.19,76.16,22.02,2.77,0.33,47.73,1.81,506.80,41.08,1.39,1.31,1.49,13.47,SELIC,mai,INDUS,-
3Q2561,151.17,-99.35,-99.00,0.04,0.00,0.01,0.01,76.77,22.97,0.02,0.34,56.92,2.72,761.60,68.01,2.10,1.29,0.99,22.32,SELIC,mai,INDUS,-
4Q2561,149.64,,,-15.72,-0.06,-3.05,-4.42,66.73,32.81,-10.51,0.56,45.41,2.50,700.00,84.59,1.93,1.29,1.08,58.92,SELIC,mai,INDUS,-
1Q2562,359.33,,"5,314.01",23.92,0.09,2.18,6.62,85.49,13.98,6.66,3.41,-31.59,3.18,890.40,N/A,2.55,1.25,0.06,36.11,SELIC,mai,INDUS,-
2Q2562,354.36,-16.47,360.14,21.29,0.07,1.27,5.56,84.14,14.40,6.01,3.34,-92.18,2.98,864.20,68.82,2.32,1.29,0.06,21.16,SELIC,mai,INDUS,-
3Q2562,366.77,30.99,"92,900.00",27.01,0.09,1.60,6.66,85.94,14.06,7.36,3.01,-123.75,2.72,788.80,26.72,2.01,1.35,0.07,13.45,SELIC,mai,INDUS,-
4Q2562,316.52,-49.57,,13.59,0.05,0.83,3.19,83.78,15.91,4.29,2.68,-97.15,2.66,771.40,13.65,1.84,1.44,0.07,9.31,SELIC,mai,INDUS,-
1Q2563,329.63,64.18,-9.41,22.47,0.08,1.40,5.06,84.85,14.56,6.82,2.56,1.38,1.66,481.40,5.61,1.11,1.49,0.46,7.76,SELIC,mai,INDUS,-
2Q2563,282.59,-25.97,-19.72,16.40,0.06,1.01,3.54,81.14,16.50,5.80,2.42,122.61,2.20,638.00,7.56,1.40,1.57,0.35,8.89,SELIC,mai,INDUS,-
3Q2563,323.82,17.54,-27.96,27.57,0.07,1.71,5.69,85.48,14.26,8.51,2.25,232.84,2.10,693.00,8.72,1.47,1.43,0.32,8.94,SELIC,mai,INDUS,-
4Q2563,321.84,4.48,49.25,22.87,0.07,1.41,4.49,84.82,15.00,7.11,2.10,270.62,2.00,660.00,8.25,1.32,1.51,0.34,8.12,SELIC,mai,INDUS,-
1Q2564,361.71,30.09,18.26,30.05,0.09,1.83,5.60,82.54,16.32,8.31,2.02,250.13,3.22,"1,062.60",11.90,2.04,1.58,1.93,9.83,SELIC,mai,INDUS,-
2Q2564,387.63,-50.65,-21.16,29.03,0.04,1.67,4.85,84.00,15.72,7.49,1.82,194.64,3.34,"1,436.19",14.82,2.60,1.28,1.43,10.90,SELIC,mai,INDUS,-
3Q2564,341.37,-48.98,-65.78,11.10,0.02,0.61,1.71,81.79,17.84,3.25,1.74,176.74,3.10,"1,419.79",12.96,2.20,1.41,1.45,12.41,SELIC,mai,INDUS,-
4Q2564,375.32,4.97,-65.61,11.35,0.02,0.64,1.71,84.29,14.40,3.02,1.63,168.35,3.20,"1,465.59",15.75,2.23,1.43,1.40,13.56,SELIC,mai,INDUS,-
1Q2565,389.71,6.27,-71.91,11.72,0.03,0.67,1.74,82.96,16.25,3.01,1.55,168.36,2.84,"1,300.71",15.95,1.95,1.46,0.19,14.21,SELIC,mai,INDUS,-
2Q2565,389.04,-31.90,-61.24,10.07,0.02,0.56,1.47,83.06,17.18,2.59,1.65,180.84,3.90,"2,148.55",34.00,3.15,1.36,0.11,23.97,SELIC,mai,INDUS,-
3Q2565,405.65,43.51,9.03,14.12,0.03,0.64,1.47,82.96,16.92,3.48,1.07,148.72,2.72,"1,620.12",36.63,1.73,1.59,0.15,18.85,SELIC,mai,INDUS,-
