,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,347.95,-18.71,21.93,49.56,0.07,1.50,2.44,72.45,24.16,14.24,0.74,"1,358.57",2.46,"1,660.50",4.20,0.89,2.75,7.26,5.11,SENA,SET,PROPCON,PROP
2Q2555,487.17,77.26,-50.12,95.83,0.13,2.58,4.52,75.38,21.50,19.67,0.77,"1,395.17",2.44,"1,743.88",4.08,0.84,3.09,7.32,6.48,SENA,SET,PROPCON,PROP
3Q2555,371.38,-40.43,-63.21,55.72,0.08,1.41,2.60,70.71,25.98,15.00,0.91,"1,545.41",3.30,"2,358.53",6.81,1.10,2.99,5.41,10.69,SENA,SET,PROPCON,PROP
4Q2555,532.27,68.17,44.34,94.09,0.13,2.25,4.29,77.77,19.48,17.68,0.92,"1,461.06",3.28,"2,344.23",9.04,1.10,2.99,5.44,9.19,SENA,SET,PROPCON,PROP
1Q2556,368.63,-47.16,-6.18,50.02,0.07,1.12,2.21,68.52,27.13,13.57,1.04,"1,487.82",3.90,"2,787.35",9.48,1.25,3.12,4.23,10.76,SENA,SET,PROPCON,PROP
2Q2556,422.90,-26.98,-61.35,36.42,0.05,0.75,1.60,68.82,27.20,8.61,1.25,"1,513.42",3.26,"2,329.94",7.93,1.02,3.19,5.06,12.06,SENA,SET,PROPCON,PROP
3Q2556,497.57,67.06,8.39,60.39,0.08,1.13,2.65,69.29,27.12,12.14,1.43,"1,480.16",2.40,"1,715.29",7.33,0.76,3.15,6.88,11.20,SENA,SET,PROPCON,PROP
4Q2556,785.85,108.92,34.65,125.19,0.17,2.23,5.32,78.25,18.79,15.93,1.34,"1,407.81",2.04,"1,458.00",6.11,0.64,3.19,8.09,9.64,SENA,SET,PROPCON,PROP
1Q2557,375.64,-73.52,-32.52,33.63,0.05,0.60,1.38,72.24,25.02,8.95,1.30,"1,508.63",2.60,"1,858.23",6.89,0.77,3.36,7.65,10.97,SENA,SET,PROPCON,PROP
2Q2557,642.88,203.48,180.47,100.58,0.14,1.74,4.09,79.35,19.96,15.65,1.41,"1,595.93",2.90,"2,072.64",8.17,0.85,3.41,5.21,10.75,SENA,SET,PROPCON,PROP
3Q2557,696.31,19.01,99.80,120.24,0.17,1.98,4.74,78.76,20.18,17.27,1.38,"1,658.97",3.28,"2,344.23",7.36,0.95,3.45,4.60,9.82,SENA,SET,PROPCON,PROP
4Q2557,"1,059.70",46.14,39.76,181.54,0.24,2.82,6.76,80.90,17.86,17.13,1.42,"1,586.17",2.94,"2,251.67",5.95,0.87,3.37,4.79,8.87,SENA,SET,PROPCON,PROP
1Q2558,517.59,-59.73,112.52,75.76,0.10,1.10,2.69,73.30,23.62,14.64,1.47,"1,537.23",3.86,"2,957.43",6.81,1.07,3.61,0.60,9.43,SENA,SET,PROPCON,PROP
2Q2558,486.73,-55.61,-68.91,35.57,0.04,0.51,1.24,70.08,27.48,7.31,1.42,"1,558.95",3.68,"3,223.14",6.76,1.13,3.25,0.55,11.15,SENA,SET,PROPCON,PROP
3Q2558,494.49,57.05,-58.98,60.05,0.07,0.85,2.08,70.00,27.16,12.14,1.44,"1,758.24",3.08,"2,697.70",6.55,0.94,3.28,0.66,12.41,SENA,SET,PROPCON,PROP
4Q2558,720.59,21.01,-66.03,83.79,0.08,1.10,2.60,76.49,23.48,11.63,1.30,"2,048.14",2.28,"2,595.80",7.36,0.90,3.30,0.69,16.44,SENA,SET,PROPCON,PROP
1Q2559,876.75,60.49,35.40,153.11,0.13,1.86,4.23,80.06,18.78,17.46,1.24,"2,085.37",2.54,"2,896.11",11.41,0.82,3.09,3.51,13.26,SENA,SET,PROPCON,PROP
2Q2559,"1,664.83",165.62,710.16,404.29,0.35,5.14,10.43,85.15,14.24,24.28,0.84,"1,842.58",3.10,"3,534.62",10.70,0.96,3.23,2.88,6.58,SENA,SET,PROPCON,PROP
3Q2559,692.61,-74.21,33.05,104.33,0.09,1.40,2.61,73.76,23.90,15.06,0.90,"1,725.87",3.42,"3,905.52",5.59,0.97,3.54,2.60,6.55,SENA,SET,PROPCON,PROP
4Q2559,824.37,-1.80,7.97,102.56,0.09,1.36,2.57,70.01,28.04,12.44,0.89,"1,517.50",3.84,"4,385.83",5.90,1.12,3.44,2.32,7.01,SENA,SET,PROPCON,PROP
1Q2560,487.78,-30.97,-53.56,72.50,0.06,0.88,1.77,79.89,15.70,14.86,1.15,"1,916.26",3.94,"4,501.07",5.90,1.12,3.53,5.19,9.06,SENA,SET,PROPCON,PROP
2Q2560,"1,182.68",20.84,-78.87,89.36,0.07,0.96,2.14,79.72,19.24,7.56,1.33,"2,234.37",3.86,"4,685.27",6.88,1.14,3.38,4.99,16.71,SENA,SET,PROPCON,PROP
3Q2560,"1,331.02",69.65,38.98,152.79,0.13,1.52,3.58,76.80,22.18,11.48,1.38,"2,067.67",3.84,"4,663.46",12.78,1.11,3.45,5.01,15.29,SENA,SET,PROPCON,PROP
4Q2560,"2,219.76",185.73,304.36,459.58,0.36,4.38,10.11,82.33,17.09,20.70,1.25,"1,958.21",3.96,"4,809.19",11.66,1.12,3.53,4.86,8.86,SENA,SET,PROPCON,PROP
1Q2561,"1,088.37",-62.62,118.95,159.92,0.14,1.41,3.29,75.68,22.36,14.69,1.41,"1,627.19",4.20,"5,100.76",6.87,1.08,3.89,1.85,8.38,SENA,SET,PROPCON,PROP
2Q2561,"1,733.98",28.81,133.38,237.90,0.17,2.00,4.71,79.33,19.49,13.72,1.31,"1,492.94",3.42,"4,846.44",5.79,0.99,3.46,1.95,7.40,SENA,SET,PROPCON,PROP
3Q2561,"1,078.36",-21.60,7.86,196.75,0.14,1.65,3.79,71.99,22.71,18.24,1.27,"1,585.66",3.80,"5,398.42",5.54,1.06,3.60,1.75,7.12,SENA,SET,PROPCON,PROP
4Q2561,"1,638.84",85.93,-29.82,336.30,0.25,2.63,6.03,76.51,18.29,20.52,1.31,"1,835.83",3.28,"4,660.50",4.57,0.90,3.63,2.03,8.02,SENA,SET,PROPCON,PROP
1Q2562,"1,212.89",-55.82,-17.04,156.79,0.11,1.10,2.60,72.30,25.37,12.93,1.42,"1,886.01",3.48,"4,944.68",5.26,0.90,3.88,7.77,8.65,SENA,SET,PROPCON,PROP
2Q2562,"1,129.46",-25.28,-51.87,117.61,0.08,0.81,1.94,70.90,25.39,10.41,1.40,"2,068.95",3.54,"5,029.93",5.38,0.88,4.01,7.64,9.45,SENA,SET,PROPCON,PROP
3Q2562,"1,160.63",-6.32,-42.49,107.33,0.08,0.74,1.79,73.57,23.43,9.25,1.45,"2,127.98",3.22,"4,584.40",5.53,0.82,3.93,8.38,9.73,SENA,SET,PROPCON,PROP
4Q2562,"1,794.62",345.48,37.79,509.85,0.35,3.41,8.15,73.59,23.50,28.41,1.32,"1,926.49",2.70,"3,844.06",5.16,0.69,3.94,9.99,7.65,SENA,SET,PROPCON,PROP
1Q2563,975.84,-53.87,43.85,226.76,0.16,1.42,3.43,76.18,18.99,23.24,1.49,"2,134.27",1.90,"2,705.08",,,,13.16,6.93,SENA,SET,PROPCON,PROP
2Q2563,"1,029.54",-0.56,91.43,226.69,0.16,1.37,3.38,82.01,16.10,22.02,1.46,"2,444.27",2.52,"3,587.79",3.74,0.57,4.43,9.92,7.01,SENA,SET,PROPCON,PROP
3Q2563,987.64,21.49,148.27,273.28,0.20,1.66,4.05,79.71,17.51,27.67,1.43,"2,730.03",2.68,"3,815.59",3.57,0.61,4.42,9.33,6.44,SENA,SET,PROPCON,PROP
4Q2563,"1,243.86",37.29,-23.49,384.67,0.27,2.23,5.51,78.65,16.95,30.93,1.50,"3,300.54",3.44,"4,897.62",3.96,0.77,4.48,7.27,7.61,SENA,SET,PROPCON,PROP
1Q2564,902.35,-40.09,-0.63,228.58,0.16,1.36,3.22,79.25,15.99,25.33,1.22,"3,262.89",4.20,"5,993.82",5.35,0.89,4.74,7.47,7.73,SENA,SET,PROPCON,PROP
2Q2564,837.95,-5.23,-5.30,215.73,0.15,1.35,3.08,76.96,18.30,25.75,1.35,"3,183.14",4.12,"5,887.32",5.26,0.84,4.89,7.61,8.74,SENA,SET,PROPCON,PROP
3Q2564,750.19,-24.00,-40.76,164.94,0.12,0.98,2.33,78.11,19.12,21.99,1.39,"3,236.51",3.88,"5,571.47",5.03,0.80,4.86,8.04,9.28,SENA,SET,PROPCON,PROP
4Q2564,700.71,284.07,65.74,639.52,0.44,3.58,8.55,65.04,27.98,91.27,1.39,"3,420.54",4.06,"5,829.94",5.86,0.82,4.97,7.68,8.79,SENA,SET,PROPCON,PROP
1Q2565,836.58,-47.38,45.57,368.08,0.23,1.76,3.96,35.70,25.25,44.00,1.15,"3,826.62",4.88,"7,015.98",,,,4.33,10.49,SENA,SET,PROPCON,PROP
2Q2565,"1,114.79",-9.89,38.41,247.84,0.21,1.06,2.30,65.13,21.94,22.23,1.19,"3,762.67",3.94,"5,723.84",4.22,0.71,5.64,5.31,8.86,SENA,SET,PROPCON,PROP
3Q2565,"1,045.24",-79.04,-61.84,76.85,0.04,0.32,0.71,74.96,21.00,7.35,1.28,"3,677.12",3.90,"5,708.88",3.96,0.70,5.64,5.33,9.46,SENA,SET,PROPCON,PROP
