,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,1.08,36.15,,,,,,,,SFLEX,SET,INDUS,PKG
3Q2562,942.42,,,46.42,0.15,4.93,11.16,88.23,10.98,4.93,1.48,-10.54,,,,,,,,SFLEX,SET,INDUS,PKG
4Q2562,329.51,-37.62,,32.19,0.10,2.73,5.29,90.13,7.20,9.77,0.69,-36.72,3.68,"1,508.80",23.26,,0.00,0.00,4.34,SFLEX,SET,INDUS,PKG
1Q2563,340.99,-12.01,,34.83,0.08,2.55,4.11,88.76,10.65,10.21,0.54,-48.49,4.98,"2,041.80",,,,3.01,5.15,SFLEX,SET,INDUS,PKG
2Q2563,324.06,-13.63,,30.08,0.07,2.27,3.54,86.83,11.64,9.28,0.58,-87.62,12.70,"5,207.00",58.02,6.02,2.11,1.18,20.93,SFLEX,SET,INDUS,PKG
3Q2563,377.04,,,37.52,-0.03,2.91,4.48,89.67,9.50,9.95,0.50,-87.02,5.40,"4,428.00",39.05,5.30,1.02,1.39,20.71,SFLEX,SET,INDUS,PKG
4Q2563,371.32,,-48.99,40.38,0.05,3.17,4.69,88.87,9.71,10.87,0.46,-49.24,5.35,"4,387.00",32.59,5.22,1.02,1.40,19.77,SFLEX,SET,INDUS,PKG
1Q2564,428.97,-4.91,-44.88,38.39,0.05,2.84,4.27,89.77,8.50,8.95,0.54,-70.10,5.70,"4,674.00",32.73,5.31,1.07,1.49,21.19,SFLEX,SET,INDUS,PKG
2Q2564,428.74,1.09,-35.48,38.81,0.05,2.60,4.22,88.84,9.48,9.05,0.71,-117.40,5.70,"4,674.00",31.93,5.09,1.12,1.49,22.06,SFLEX,SET,INDUS,PKG
3Q2564,460.69,11.77,,43.38,0.05,2.79,4.68,86.52,8.80,9.42,0.65,-61.41,5.55,"4,551.00",29.34,4.94,1.12,1.53,21.65,SFLEX,SET,INDUS,PKG
4Q2564,408.91,-33.53,-28.59,28.83,0.04,1.89,3.05,88.08,8.51,7.05,0.57,-1.91,5.05,"4,141.00",25.73,4.45,1.14,1.68,20.73,SFLEX,SET,INDUS,PKG
1Q2565,428.14,-53.67,-65.21,13.36,0.02,0.87,1.38,88.54,10.25,3.12,0.59,44.35,4.52,"3,706.40",,,,1.88,21.80,SFLEX,SET,INDUS,PKG
2Q2565,411.85,-73.85,-91.00,3.50,0.00,0.22,0.36,87.24,11.45,0.85,0.79,64.26,3.50,"2,919.20",23.47,3.00,1.19,2.39,22.67,SFLEX,SET,INDUS,PKG
3Q2565,424.71,42.02,-88.56,4.96,0.01,0.30,0.52,87.74,10.62,1.17,0.72,47.63,3.38,"2,788.00",31.30,2.94,1.16,2.50,29.23,SFLEX,SET,INDUS,PKG
