,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,708.27,52.02,,110.42,5.26,3.44,4.60,91.67,7.04,15.59,0.31,"1,049.33",77.00,"1,617.00",9.81,0.69,111.77,5.19,3.80,SFP,SET,AGRO,FOOD
2Q2555,744.82,-25.67,6.54,82.12,3.91,2.63,3.34,91.11,7.20,11.03,0.23,"1,299.89",0.00,"2,667.00",8.82,1.09,117.03,3.15,4.81,SFP,SET,AGRO,FOOD
3Q2555,466.32,,,-131.53,-6.26,-4.54,-5.50,87.19,10.25,-28.21,0.19,"1,039.14",138.00,"2,898.00",9.43,1.18,116.94,2.90,7.07,SFP,SET,AGRO,FOOD
4Q2555,509.49,92.81,,-9.17,-0.45,-0.33,-0.40,88.02,9.29,-1.80,0.22,"1,144.19",234.00,"4,914.00",36.74,2.11,110.68,1.71,19.77,SFP,SET,AGRO,FOOD
1Q2556,529.64,-160.00,,-24.54,-1.17,-0.85,-1.06,87.82,10.58,-4.63,0.27,"1,229.37",290.00,"6,090.00",117.49,2.63,110.24,2.76,105.22,SFP,SET,AGRO,FOOD
2Q2556,683.60,,-13.81,70.70,3.37,2.33,3.11,88.73,9.70,10.34,0.41,"1,327.41",217.00,"4,557.00",N/A,1.96,110.47,3.69,50.83,SFP,SET,AGRO,FOOD
3Q2556,625.67,,85.04,-19.63,-0.94,-0.64,-0.89,89.44,9.16,-3.14,0.34,"1,432.25",170.00,"3,570.00",N/A,1.61,105.84,4.71,28.31,SFP,SET,AGRO,FOOD
4Q2556,644.51,,,484.24,23.06,14.15,19.79,87.95,10.12,75.13,0.44,"1,429.48",0.00,"3,780.00",217.66,1.72,104.91,4.44,7.22,SFP,SET,AGRO,FOOD
1Q2557,771.64,-67.10,,159.31,7.59,4.36,5.77,91.02,7.65,20.65,0.21,"1,446.98",0.00,"4,221.00",8.26,1.57,128.11,7.46,5.27,SFP,SET,AGRO,FOOD
2Q2557,"1,049.35",-91.00,-79.73,14.35,0.68,0.41,0.53,92.39,5.67,1.37,0.37,"1,475.91",0.00,"5,061.00",7.29,1.79,134.75,6.22,7.06,SFP,SET,AGRO,FOOD
3Q2557,953.79,,-596.71,-137.00,-6.52,-4.32,-5.53,91.96,6.47,-14.36,0.19,"1,306.83",250.00,"5,250.00",8.23,2.06,121.51,6.00,7.73,SFP,SET,AGRO,FOOD
4Q2557,780.09,98.01,,-2.72,-0.13,-0.10,-0.11,84.80,11.72,-0.35,0.18,944.41,267.00,"5,607.00",10.76,2.33,114.45,5.62,28.82,SFP,SET,AGRO,FOOD
1Q2558,820.76,-884.14,,-26.80,-1.28,-0.95,-1.13,90.01,7.04,-3.27,0.21,711.11,0.00,"5,292.00",155.97,2.21,113.93,0.00,"2,697.01",SFP,SET,AGRO,FOOD
2Q2558,"1,044.98",-67.62,,-44.93,-2.14,-1.57,-1.93,92.95,5.41,-4.30,0.26,516.91,212.00,"4,452.00",N/A,1.89,112.03,0.00,-47.58,SFP,SET,AGRO,FOOD
3Q2558,833.93,-85.62,39.13,-83.39,-3.97,-3.02,-3.70,91.75,6.76,-10.00,0.20,419.45,0.00,"4,830.00",N/A,2.09,109.79,0.00,-50.05,SFP,SET,AGRO,FOOD
4Q2558,"1,015.01",,,66.66,3.17,2.47,2.98,93.56,5.86,6.57,0.22,435.88,0.00,"5,040.00",N/A,2.29,104.65,0.00,36.22,SFP,SET,AGRO,FOOD
1Q2559,"1,272.50",132.82,,155.20,7.39,5.44,6.58,93.39,4.12,12.20,0.20,441.81,0.00,"4,326.00",N/A,1.91,108.10,0.00,13.08,SFP,SET,AGRO,FOOD
2Q2559,"1,208.76",-36.66,,98.31,4.68,3.31,3.94,91.71,4.26,8.13,0.18,419.96,0.00,"3,969.00",42.43,1.62,116.43,0.00,7.92,SFP,SET,AGRO,FOOD
4Q2559,709.82,,,-62.47,-2.97,-2.15,-2.49,88.31,6.99,-8.80,0.13,418.57,0.00,"4,410.00",18.63,1.73,121.21,0.00,7.53,SFP,SET,AGRO,FOOD
1Q2560,721.85,,8.97,169.12,8.05,5.85,6.66,88.91,5.91,23.43,0.14,533.18,0.00,"4,137.00",16.24,1.68,117.40,4.57,7.93,SFP,SET,AGRO,FOOD
2Q2560,"1,093.63",-42.61,-1.27,97.06,4.62,3.25,3.80,95.41,4.79,8.88,0.20,523.99,205.00,"4,305.00",11.95,1.65,124.30,4.39,9.98,SFP,SET,AGRO,FOOD
3Q2560,"1,024.68",27.98,,124.22,5.92,4.19,5.03,93.79,5.53,12.12,0.20,492.92,0.00,"4,200.00",10.67,1.68,118.76,4.50,8.92,SFP,SET,AGRO,FOOD
4Q2560,733.40,,90.64,-5.85,-0.28,-0.20,-0.24,87.73,9.41,-0.80,0.16,441.39,0.00,"4,704.00",10.36,1.92,116.48,4.02,7.86,SFP,SET,AGRO,FOOD
1Q2561,703.64,,-69.83,51.03,2.43,1.79,2.08,90.48,6.59,7.25,0.17,378.28,234.00,"4,914.00",12.78,2.03,115.44,7.05,10.62,SFP,SET,AGRO,FOOD
2Q2561,591.30,171.63,42.81,138.61,6.60,4.89,5.69,86.96,11.09,23.44,0.16,367.61,0.00,"4,830.00",18.13,1.95,117.87,7.17,10.50,SFP,SET,AGRO,FOOD
3Q2561,626.42,-82.85,-80.87,23.77,1.13,0.84,0.99,91.09,6.96,3.79,0.18,428.22,0.00,"4,578.00",14.86,1.91,114.31,7.57,14.33,SFP,SET,AGRO,FOOD
4Q2561,506.95,,-659.75,-44.43,-2.12,-1.58,-1.85,88.32,10.12,-8.76,0.16,533.38,0.00,"4,032.00",19.43,1.67,115.21,8.59,16.86,SFP,SET,AGRO,FOOD
1Q2562,547.09,,-84.99,7.66,0.36,0.27,0.32,89.08,8.29,1.40,0.19,563.56,0.00,"3,738.00",22.12,1.57,113.33,4.49,21.47,SFP,SET,AGRO,FOOD
2Q2562,453.96,,,-87.26,-4.16,-3.22,-3.88,90.67,10.39,-19.22,0.22,633.90,0.00,"3,969.00",31.60,1.67,113.25,4.23,-68.27,SFP,SET,AGRO,FOOD
3Q2562,547.65,-76.16,,-153.71,-7.32,-6.24,-7.54,86.61,10.03,-28.07,0.20,623.46,0.00,"3,790.50",N/A,1.79,101.08,4.43,-17.07,SFP,SET,AGRO,FOOD
4Q2562,402.91,-52.07,-426.09,-233.75,-11.13,-10.77,-12.71,86.03,12.52,-58.01,0.16,610.96,0.00,"3,633.00",N/A,1.86,93.17,4.62,-9.46,SFP,SET,AGRO,FOOD
1Q2563,429.56,55.82,,-103.26,-4.92,-5.26,-6.18,85.65,9.80,-24.04,0.19,614.24,0.00,"3,549.00",N/A,2.06,82.01,0.00,-7.39,SFP,SET,AGRO,FOOD
2Q2563,511.51,-11.96,-32.50,-115.62,-5.51,-6.04,-7.51,87.19,8.65,-22.60,0.30,630.10,0.00,"2,520.00",,,,0.00,-5.62,SFP,SET,AGRO,FOOD
3Q2563,677.79,93.89,95.40,-7.07,-0.34,-0.37,-0.48,83.99,6.64,-1.04,0.31,608.01,0.00,"2,793.00",N/A,1.91,69.52,0.00,-8.31,SFP,SET,AGRO,FOOD
4Q2563,444.08,-191.81,91.18,-20.62,-0.98,-1.10,-1.39,86.51,9.57,-4.64,0.22,609.73,0.00,"2,835.00",N/A,1.90,70.91,0.00,-12.06,SFP,SET,AGRO,FOOD
1Q2564,563.70,,,6.87,0.33,0.36,0.46,89.98,6.57,1.22,0.35,682.83,0.00,"2,667.00",N/A,1.81,70.16,0.00,-21.38,SFP,SET,AGRO,FOOD
2Q2564,690.56,745.83,,58.10,2.77,2.77,3.85,93.17,7.02,8.41,0.43,736.53,0.00,"2,604.00",N/A,1.75,70.74,0.00,206.96,SFP,SET,AGRO,FOOD
3Q2564,687.56,-56.74,,25.14,1.20,1.10,1.62,93.38,6.07,3.66,0.51,905.64,0.00,"2,100.00",56.33,1.37,73.14,0.00,68.13,SFP,SET,AGRO,FOOD
4Q2564,690.91,,90.43,-1.97,-0.09,-0.09,-0.13,92.07,7.11,-0.29,0.29,941.88,0.00,"2,551.50",36.72,1.63,74.48,0.00,21.73,SFP,SET,AGRO,FOOD
1Q2565,810.25,,"1,286.38",95.23,4.53,4.45,5.92,93.64,5.40,11.75,0.37,919.84,0.00,"2,457.00",27.88,1.58,73.98,0.00,11.52,SFP,SET,AGRO,FOOD
3Q2565,"1,821.11",81.74,588.56,173.08,8.24,6.88,9.93,94.32,4.52,9.50,0.51,806.75,115.00,"2,436.00",11.60,1.39,83.71,0.00,7.84,SFP,SET,AGRO,FOOD
