,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2562,,,,,,,,,,,0.86,72.97,,,,,,,,SFT,mai,INDUS,-
2Q2563,330.48,,,34.97,0.16,7.28,15.93,85.73,13.51,10.58,1.54,61.57,,,,,,,,SFT,mai,INDUS,-
3Q2563,167.97,-60.34,,21.63,0.06,3.90,10.59,86.73,12.38,12.88,1.91,74.34,,,,,,,,SFT,mai,INDUS,-
4Q2563,179.73,-29.35,,21.58,0.05,3.05,5.05,88.88,12.83,12.01,0.28,92.61,4.50,"1,980.00",29.52,,0.00,0.00,7.70,SFT,mai,INDUS,-
1Q2564,189.35,32.98,,28.42,0.06,3.31,4.23,85.17,12.44,15.01,0.27,149.31,5.75,"2,530.00",32.36,3.85,1.49,1.24,12.94,SFT,mai,INDUS,-
2Q2564,224.13,50.00,-44.11,37.18,0.09,4.21,5.39,87.28,10.75,16.59,0.29,236.75,6.95,"3,058.00",34.38,4.46,1.56,1.02,16.39,SFT,mai,INDUS,-
3Q2564,198.08,-22.22,9.61,32.99,0.07,3.60,4.66,90.67,12.66,16.65,0.30,280.96,7.35,"3,234.00",29.72,4.67,1.57,0.97,16.02,SFT,mai,INDUS,-
4Q2564,185.16,-57.14,-33.51,13.16,0.03,1.40,1.80,85.94,13.62,7.11,0.28,350.32,7.05,"3,102.00",25.81,4.28,1.65,1.01,16.34,SFT,mai,INDUS,-
1Q2565,200.27,33.33,-33.33,16.69,0.04,1.77,2.24,86.83,13.00,8.34,0.25,378.16,5.50,"2,420.00",21.66,3.28,1.68,1.85,13.80,SFT,mai,INDUS,-
2Q2565,224.51,25.00,-44.44,23.17,0.05,2.40,3.11,85.98,12.35,10.32,0.34,396.16,4.90,"2,182.40",21.82,2.89,1.72,2.05,13.87,SFT,mai,INDUS,-
3Q2565,235.03,0.00,-28.57,23.12,0.05,2.36,3.10,86.99,11.00,9.84,0.30,397.81,4.92,"2,222.00",25.84,3.03,1.67,2.01,15.74,SFT,mai,INDUS,-
