,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"11,321.80",,145.45,743.18,0.81,3.33,10.43,96.23,2.09,6.56,1.86,569.69,15.30,"14,535.00",14.14,2.08,7.37,2.94,8.61,SGP,SET,RESOURC,ENERG
2Q2555,"11,375.50",,,-459.37,-0.49,-2.13,-6.46,98.09,1.86,-4.04,2.21,351.40,14.50,"13,775.00",9.27,1.80,8.03,3.10,15.01,SGP,SET,RESOURC,ENERG
3Q2555,"13,511.68",,950.00,186.27,0.21,0.82,2.75,97.26,1.78,1.38,2.51,129.74,14.30,"13,585.00",55.84,1.95,7.35,3.15,14.51,SGP,SET,RESOURC,ENERG
4Q2555,"11,542.89",71.43,,326.73,0.36,1.27,4.73,97.16,2.06,2.83,2.92,297.32,13.80,"13,110.00",30.65,1.89,7.30,3.26,13.51,SGP,SET,RESOURC,ENERG
1Q2556,"14,109.63",-99.72,-99.88,-4.49,0.00,-0.02,-0.06,93.76,2.07,-0.03,2.76,431.12,13.40,"12,313.68",15.07,1.75,7.67,2.99,21.72,SGP,SET,RESOURC,ENERG
2Q2556,"14,112.22",,69.18,-68.93,-0.15,-0.25,-0.96,98.97,2.07,-0.49,2.84,543.15,9.15,"8,408.22",119.84,1.19,7.68,4.37,14.84,SGP,SET,RESOURC,ENERG
3Q2556,"18,495.21",,271.43,704.62,0.78,2.50,9.34,94.44,1.99,3.81,2.65,500.95,9.20,"8,454.17",21.80,1.19,7.75,4.35,11.06,SGP,SET,RESOURC,ENERG
4Q2556,"19,029.33",42.77,209.34,"1,017.59",1.11,3.50,12.03,100.51,1.46,5.35,2.26,348.56,15.80,"14,519.12",15.88,1.88,8.41,2.53,9.89,SGP,SET,RESOURC,ENERG
1Q2557,"13,549.09",,,-178.27,-0.18,-0.61,-1.92,96.99,2.21,-1.32,2.04,266.46,19.70,"18,102.95",11.30,2.02,9.77,3.05,10.60,SGP,SET,RESOURC,ENERG
2Q2557,"14,730.98",39.32,27.66,-98.44,-0.11,-0.33,-1.07,97.37,2.11,-0.67,2.57,247.05,17.10,"15,713.73",10.97,1.68,10.17,3.51,11.10,SGP,SET,RESOURC,ENERG
3Q2557,"17,453.64",,-78.04,152.79,0.17,0.49,1.72,97.73,1.73,0.88,2.36,290.87,13.60,"12,497.47",8.49,1.42,9.56,4.41,11.83,SGP,SET,RESOURC,ENERG
4Q2557,"16,423.33",,,-413.41,-0.44,-1.42,-4.78,97.38,1.90,-2.52,2.37,109.03,9.50,"8,729.85",9.56,0.99,9.59,6.32,24.38,SGP,SET,RESOURC,ENERG
1Q2558,"12,432.39",,,1.78,0.00,0.01,0.02,96.52,2.90,0.01,2.30,8.81,11.60,"10,659.61",N/A,1.29,8.99,3.02,23.23,SGP,SET,RESOURC,ENERG
2Q2558,"15,258.42","112,348.72",,407.72,0.44,1.51,4.75,97.13,2.47,2.67,2.02,-5.47,11.00,"10,108.25",N/A,1.23,8.92,3.18,14.85,SGP,SET,RESOURC,ENERG
3Q2558,"14,097.49",-92.40,-80.55,45.59,0.03,0.17,0.51,97.16,2.43,0.32,2.13,-100.24,10.80,"9,924.46",64.10,1.13,9.52,3.24,16.40,SGP,SET,RESOURC,ENERG
4Q2558,"16,550.78","2,127.22",,687.24,0.74,2.39,7.29,97.04,2.56,4.15,1.98,-57.31,10.40,"9,556.89",340.85,1.07,9.76,3.37,9.32,SGP,SET,RESOURC,ENERG
1Q2559,"11,646.14",-94.61,"10,156.41",56.28,0.04,0.20,0.58,96.47,2.87,0.48,1.95,-29.96,11.20,"10,292.03",9.22,1.07,10.51,4.46,8.94,SGP,SET,RESOURC,ENERG
2Q2559,"12,482.21",601.63,-36.01,262.99,0.28,0.93,2.77,96.75,3.07,2.11,2.01,12.90,14.80,"13,600.19",11.77,1.44,10.29,3.38,10.97,SGP,SET,RESOURC,ENERG
3Q2559,"10,301.30",,,-63.65,-0.08,-0.23,-0.70,95.77,2.95,-0.62,2.17,79.08,10.70,"9,832.57",9.76,1.06,10.06,4.67,10.15,SGP,SET,RESOURC,ENERG
4Q2559,"13,948.34",,31.82,909.29,0.98,3.20,9.70,97.17,2.94,6.52,1.91,13.40,12.20,"11,210.96",12.43,1.27,9.61,4.10,9.80,SGP,SET,RESOURC,ENERG
1Q2560,"14,432.25",26.76,"3,000.00","1,149.78",1.24,3.88,11.29,97.09,2.27,7.97,1.90,53.08,13.10,"12,038.00",10.76,1.24,10.53,3.82,7.34,SGP,SET,RESOURC,ENERG
2Q2560,"13,526.75",,,-70.88,-0.07,-0.23,-0.68,96.35,2.51,-0.52,1.96,49.80,14.10,"12,956.93",5.83,1.24,11.35,3.55,7.94,SGP,SET,RESOURC,ENERG
3Q2560,"14,153.54",,,856.20,0.92,2.73,8.29,97.18,2.20,6.05,2.11,88.94,19.90,"18,286.74",9.62,1.82,10.92,2.51,7.80,SGP,SET,RESOURC,ENERG
4Q2560,"17,516.88",5.34,-0.93,904.35,0.97,2.82,8.30,96.63,2.54,5.16,1.78,136.59,24.30,"22,330.04",7.92,2.16,11.24,2.06,7.68,SGP,SET,RESOURC,ENERG
1Q2561,"15,744.04",-88.65,-91.13,104.86,0.11,0.34,0.93,96.90,2.15,0.67,1.75,72.63,29.00,"26,649.01",9.48,2.39,12.12,5.17,10.87,SGP,SET,RESOURC,ENERG
2Q2561,"16,186.07",227.27,,776.20,0.36,2.41,6.97,96.63,2.11,4.80,2.03,7.61,9.20,"16,908.34",9.56,1.54,5.97,8.15,7.69,SGP,SET,RESOURC,ENERG
3Q2561,"19,246.26",11.11,-56.52,744.29,0.40,2.07,6.72,97.95,1.77,3.87,2.45,-43.22,12.40,"22,789.50",8.76,2.08,5.95,6.05,9.88,SGP,SET,RESOURC,ENERG
4Q2561,"17,927.18",,,-755.62,-0.40,-2.05,-7.15,96.33,2.70,-4.21,2.53,34.30,8.50,"15,621.84",6.26,1.44,5.90,8.82,14.50,SGP,SET,RESOURC,ENERG
1Q2562,"17,756.49",,172.73,571.64,0.30,1.64,5.51,97.40,1.99,3.22,2.21,6.04,9.20,"16,908.34",19.41,1.69,5.43,4.89,12.02,SGP,SET,RESOURC,ENERG
2Q2562,"16,742.30",,,-121.83,-0.06,-0.35,-1.14,97.28,2.40,-0.73,2.28,33.44,10.00,"18,378.63",13.81,1.76,5.69,4.50,18.81,SGP,SET,RESOURC,ENERG
3Q2562,"15,274.06",-100.00,,-201.71,-0.12,-0.55,-1.91,97.31,2.23,-1.32,2.69,-113.53,9.05,"16,632.66",37.97,1.57,5.76,4.97,33.78,SGP,SET,RESOURC,ENERG
4Q2562,"17,668.95",,,"1,173.94",0.62,2.95,10.58,97.05,2.19,6.64,2.49,-340.54,9.70,"17,827.27",N/A,1.77,5.49,4.64,13.54,SGP,SET,RESOURC,ENERG
1Q2563,"16,727.20",-58.06,-13.33,486.74,0.26,1.19,4.14,96.55,2.13,2.91,2.45,-405.65,7.70,"14,151.55",,,,4.55,12.61,SGP,SET,RESOURC,ENERG
2Q2563,"11,225.23",-96.15,,15.17,0.01,0.04,0.13,96.59,2.63,0.14,2.50,-367.17,8.50,"15,621.84",12.25,1.38,6.15,4.12,12.10,SGP,SET,RESOURC,ENERG
3Q2563,"12,856.41","2,900.00",,568.49,0.30,1.42,4.91,95.66,2.88,4.42,2.42,-198.24,8.65,"15,897.51",11.24,1.47,5.87,4.05,10.19,SGP,SET,RESOURC,ENERG
4Q2563,"14,832.47",83.33,-11.29,"1,030.04",0.55,2.50,8.28,97.35,2.50,6.94,2.22,9.91,10.00,"18,378.63",8.42,1.58,6.33,3.50,10.15,SGP,SET,RESOURC,ENERG
1Q2564,"17,429.46",30.91,176.92,"1,352.15",0.72,3.13,9.89,96.72,2.16,7.76,2.12,206.13,11.50,"21,135.42",10.25,1.69,6.79,4.35,9.02,SGP,SET,RESOURC,ENERG
2Q2564,"18,039.34",-87.50,800.00,189.84,0.09,0.42,1.32,95.84,1.97,1.05,2.13,188.90,11.50,"21,135.42",7.27,1.49,7.72,4.35,8.65,SGP,SET,RESOURC,ENERG
3Q2564,"20,009.87",700.00,140.00,"1,346.14",0.72,2.92,8.91,97.08,1.94,6.73,1.98,287.77,14.80,"27,200.37",8.86,1.95,7.61,3.38,8.36,SGP,SET,RESOURC,ENERG
1Q2565,"26,906.87",-25.00,-25.00,"1,003.79",0.54,2.02,5.98,98.25,1.29,3.73,1.93,304.88,12.30,"22,605.71",,,,8.13,8.15,SGP,SET,RESOURC,ENERG
2Q2565,"24,832.68",-83.33,0.00,179.35,0.09,0.35,1.04,97.73,1.46,0.72,1.97,386.83,11.10,"20,584.07",5.92,1.19,9.41,8.93,9.82,SGP,SET,RESOURC,ENERG
3Q2565,"25,214.76",,,-48.28,-0.03,-0.10,-0.28,95.61,1.51,-0.19,1.94,525.55,10.50,"19,481.35",5.60,1.18,8.96,9.43,9.82,SGP,SET,RESOURC,ENERG
