,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,549.93,,246.15,58.42,0.45,0.97,1.21,69.23,28.95,10.62,0.24,-81.72,31.25,"4,062.50",N/A,0.86,36.37,2.40,9.09,SHANG,SET,SERVICE,TOURISM
2Q2555,470.93,,70.97,-12.10,-0.09,-0.20,-0.25,63.92,32.39,-2.57,0.25,-78.31,0.00,"3,965.00",N/A,0.81,37.88,2.46,8.22,SHANG,SET,SERVICE,TOURISM
3Q2555,448.14,-144.44,38.89,-27.57,-0.22,-0.47,-0.58,63.52,35.10,-6.15,0.25,-77.13,0.00,"4,257.50",N/A,0.89,36.60,2.29,8.82,SHANG,SET,SERVICE,TOURISM
4Q2555,652.77,,,81.11,0.63,1.36,1.69,69.74,26.77,12.43,0.24,-82.64,38.50,"5,005.00",N/A,1.05,36.53,1.95,7.39,SHANG,SET,SERVICE,TOURISM
1Q2556,675.80,"1,833.33","2,606.67","1,583.49",12.18,23.73,28.44,69.69,27.82,234.31,0.16,-77.29,46.00,"5,980.00",59.88,1.24,37.15,1.63,2.58,SHANG,SET,SERVICE,TOURISM
2Q2556,"1,904.06",-99.46,,8.53,0.07,0.12,0.14,14.10,8.06,0.45,0.14,-68.12,51.75,"6,727.50",4.14,1.07,48.53,1.45,2.96,SHANG,SET,SERVICE,TOURISM
3Q2556,533.58,"3,189.87",,283.60,2.18,4.03,4.47,62.49,31.36,53.15,0.08,-63.38,47.00,"6,110.00",3.71,0.97,48.46,1.60,1.83,SHANG,SET,SERVICE,TOURISM
4Q2556,720.32,-38.02,114.63,183.63,1.35,2.58,2.79,63.58,27.02,25.49,0.08,-52.60,0.00,"6,240.00",3.19,0.98,49.19,1.56,1.80,SHANG,SET,SERVICE,TOURISM
1Q2557,562.45,-47.17,-94.13,92.86,0.71,1.28,1.37,67.29,29.32,16.51,0.07,-61.65,52.00,"6,760.00",3.30,1.00,52.09,5.77,4.58,SHANG,SET,SERVICE,TOURISM
2Q2557,375.02,,,-22.14,-0.19,-0.31,-0.33,50.83,40.76,-5.90,0.06,-75.17,0.00,"6,597.50",11.78,0.98,51.80,5.91,4.96,SHANG,SET,SERVICE,TOURISM
3Q2557,442.89,,-88.08,36.11,0.26,0.52,0.56,62.54,28.80,8.15,0.06,-90.26,50.00,"6,500.00",12.35,1.00,50.13,6.00,6.69,SHANG,SET,SERVICE,TOURISM
4Q2557,664.96,"2,207.66",343.72,780.27,6.00,10.71,11.42,63.93,25.00,117.34,0.07,-111.53,0.00,"5,915.00",21.41,0.92,49.66,6.59,3.19,SHANG,SET,SERVICE,TOURISM
1Q2558,762.97,-65.17,192.57,271.87,2.09,3.51,3.75,66.51,22.27,35.63,0.06,-110.32,45.50,"5,915.00",6.71,0.82,55.23,1.65,2.88,SHANG,SET,SERVICE,TOURISM
2Q2558,470.80,-71.47,,81.42,0.60,1.03,1.10,71.91,30.48,17.29,0.06,-110.08,63.00,"8,190.00",7.72,1.12,56.23,1.19,4.00,SHANG,SET,SERVICE,TOURISM
3Q2558,556.61,101.92,363.01,156.20,1.20,1.95,2.07,67.00,31.68,28.06,0.06,-105.63,0.00,"8,190.00",7.04,1.10,57.53,1.19,3.84,SHANG,SET,SERVICE,TOURISM
4Q2558,687.61,2.17,-79.50,160.04,1.23,1.94,2.07,68.12,27.89,23.28,0.08,-105.81,75.00,"9,750.00",7.58,1.28,58.52,1.00,7.60,SHANG,SET,SERVICE,TOURISM
1Q2559,725.34,-0.81,-41.63,160.38,1.22,1.88,2.02,69.77,26.07,22.11,0.07,-104.10,70.50,"9,165.00",13.77,1.18,59.95,2.84,7.97,SHANG,SET,SERVICE,TOURISM
2Q2559,437.64,-60.66,-19.49,68.71,0.48,0.81,0.87,57.61,32.70,15.70,0.06,-101.91,62.50,"8,125.00",14.72,1.01,61.77,3.20,7.32,SHANG,SET,SERVICE,TOURISM
3Q2559,523.30,81.25,-27.73,111.31,0.87,1.34,1.42,61.85,32.42,21.27,0.06,-101.84,67.00,"8,710.00",16.20,1.12,59.83,2.99,8.80,SHANG,SET,SERVICE,TOURISM
4Q2559,652.25,114.94,52.03,245.57,1.87,2.89,3.08,66.75,28.23,37.65,0.07,-101.69,64.00,"8,320.00",16.86,1.06,60.25,3.13,7.94,SHANG,SET,SERVICE,TOURISM
1Q2560,686.82,-33.16,2.46,163.13,1.25,1.86,1.99,70.14,25.90,23.75,0.07,-103.71,69.00,"8,970.00",15.55,1.11,61.94,2.90,8.59,SHANG,SET,SERVICE,TOURISM
2Q2560,499.25,-55.47,15.98,77.87,0.56,0.89,0.94,59.50,31.18,15.60,0.07,-105.43,69.00,"8,970.00",15.42,1.08,63.66,2.90,8.41,SHANG,SET,SERVICE,TOURISM
3Q2560,601.06,65.86,6.13,122.33,0.92,1.39,1.48,65.26,29.75,20.35,0.06,-104.10,68.25,"8,872.50",15.03,1.09,62.66,2.93,8.21,SHANG,SET,SERVICE,TOURISM
4Q2560,748.98,62.46,-19.79,194.44,1.50,2.15,2.30,69.32,26.17,25.96,0.08,-104.47,72.75,"9,457.50",15.80,1.14,63.67,2.75,9.47,SHANG,SET,SERVICE,TOURISM
1Q2561,782.66,32.00,58.40,257.79,1.98,2.79,2.99,72.82,23.32,32.94,0.07,-99.01,69.75,"9,067.50",16.50,1.06,65.86,3.23,7.96,SHANG,SET,SERVICE,TOURISM
2Q2561,564.90,-35.86,128.14,171.37,1.27,1.87,1.99,61.50,29.42,30.34,0.06,-96.95,67.50,"8,775.00",13.62,1.02,66.02,3.33,6.91,SHANG,SET,SERVICE,TOURISM
3Q2561,629.63,-2.36,34.30,163.21,1.24,1.79,1.90,64.69,29.14,25.92,0.06,-93.49,78.75,"10,237.50",13.88,1.19,65.91,2.86,7.87,SHANG,SET,SERVICE,TOURISM
4Q2561,760.94,-26.61,-39.33,131.57,0.91,1.43,1.53,62.31,28.27,17.29,0.08,-91.51,76.50,"9,945.00",12.77,1.17,65.37,2.94,6.94,SHANG,SET,SERVICE,TOURISM
1Q2562,763.06,98.90,-8.59,235.78,1.81,2.51,2.69,70.27,25.93,30.90,0.07,-90.80,0.00,"11,310.00",16.12,1.31,66.24,2.59,9.60,SHANG,SET,SERVICE,TOURISM
2Q2562,531.20,-56.35,-37.80,104.90,0.79,1.14,1.21,58.31,34.83,19.75,0.06,-84.60,79.00,"10,270.00",15.12,1.17,67.46,2.85,10.29,SHANG,SET,SERVICE,TOURISM
3Q2562,584.31,49.37,-4.84,153.36,1.18,1.70,1.81,65.30,30.48,26.25,0.07,-85.07,71.00,"9,230.00",14.96,1.10,64.65,3.17,9.53,SHANG,SET,SERVICE,TOURISM
4Q2562,756.27,0.11,29.81,154.20,1.18,1.68,1.80,72.45,22.05,20.39,0.07,-84.29,71.75,"9,327.50",15.31,1.11,64.69,3.14,8.32,SHANG,SET,SERVICE,TOURISM
1Q2563,448.60,-16.19,-45.30,129.10,0.99,1.39,1.48,60.10,34.64,28.78,0.05,-76.16,64.75,"8,417.50",,,,3.47,8.41,SHANG,SET,SERVICE,TOURISM
2Q2563,42.69,,,-156.68,-1.20,-1.75,-1.83,-159.01,216.22,-367.00,0.04,-77.69,60.75,"7,897.50",14.67,0.90,67.42,3.70,11.70,SHANG,SET,SERVICE,TOURISM
3Q2563,103.49,9.17,,-139.72,-1.09,-1.62,-1.69,4.05,79.86,-135.01,0.04,-74.73,54.25,"7,052.50",25.30,0.86,63.22,4.15,27.90,SHANG,SET,SERVICE,TOURISM
4Q2563,67.31,-474.31,,-814.59,-6.26,-10.01,-10.41,8.64,162.77,"-1,210.13",0.04,-54.46,55.00,"7,150.00",N/A,0.87,63.08,4.09,-7.10,SHANG,SET,SERVICE,TOURISM
1Q2564,75.65,89.68,,-84.03,-0.65,-1.09,-1.13,-6.79,105.88,-111.06,0.04,-55.62,52.75,"6,857.50",N/A,0.94,56.30,0.00,-5.19,SHANG,SET,SERVICE,TOURISM
2Q2564,65.76,-35.00,27.29,-107.40,-0.87,-1.39,-1.44,-20.27,98.81,-163.33,0.04,-60.51,0.00,"7,150.00",N/A,0.97,56.64,0.00,-5.62,SHANG,SET,SERVICE,TOURISM
3Q2564,72.80,-0.54,19.52,-113.63,-0.88,-1.46,-1.52,6.80,89.25,-156.10,0.04,-56.52,52.50,"6,825.00",N/A,0.92,56.84,0.00,-5.50,SHANG,SET,SERVICE,TOURISM
1Q2565,126.37,25.78,-0.73,-84.62,-0.65,-1.11,-1.16,20.94,76.51,-66.96,0.04,-51.21,53.00,"6,890.00",,,,0.00,-23.21,SHANG,SET,SERVICE,TOURISM
2Q2565,186.56,47.00,60.45,-43.38,-0.35,-0.58,-0.61,36.55,60.77,-23.25,0.05,-42.88,57.00,"7,605.00",N/A,1.08,54.01,0.00,-33.63,SHANG,SET,SERVICE,TOURISM
3Q2565,354.95,,,62.36,0.46,0.81,0.86,61.03,38.34,17.57,0.06,-41.15,54.50,"7,085.00",N/A,1.00,54.58,0.00,-149.17,SHANG,SET,SERVICE,TOURISM
