,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,363.46,-71.88,28.57,16.71,0.09,1.48,4.49,91.14,8.50,4.60,1.98,-185.53,2.50,415.50,8.79,1.21,2.07,0.45,11.82,SIMAT,mai,TECH,-
2Q2555,371.83,-22.22,,14.94,0.07,1.34,3.85,90.21,8.64,4.02,1.76,-255.60,2.66,486.31,8.70,1.36,1.96,0.38,8.54,SIMAT,mai,TECH,-
3Q2555,543.74,0.00,-46.15,17.01,0.07,1.48,4.22,92.19,7.65,3.13,1.93,-303.38,3.92,716.66,9.36,1.94,2.02,0.26,10.96,SIMAT,mai,TECH,-
4Q2555,953.61,185.71,-37.50,48.19,0.20,3.78,11.01,95.03,4.64,5.05,1.90,-386.61,6.35,"1,160.92",14.96,3.03,2.10,0.16,13.36,SIMAT,mai,TECH,-
1Q2556,283.76,-50.00,11.11,27.30,0.10,2.12,5.07,86.05,11.86,9.62,1.01,-438.06,14.80,"2,946.50",39.14,6.99,2.30,0.23,20.99,SIMAT,mai,TECH,-
2Q2556,334.69,-90.00,-85.71,4.99,0.01,0.41,0.81,88.63,10.77,1.49,0.93,-449.14,7.30,"1,943.14",22.27,3.38,2.16,0.38,16.22,SIMAT,mai,TECH,-
3Q2556,366.50,0.00,-85.71,4.21,0.01,0.36,0.68,88.82,10.85,1.15,0.84,-406.51,5.70,"1,562.75",19.93,2.69,2.18,0.47,14.28,SIMAT,mai,TECH,-
4Q2556,325.70,,,3.10,0.00,0.27,0.50,85.27,13.11,0.95,0.83,-275.91,4.52,"1,247.40",18.50,2.13,2.13,0.59,17.73,SIMAT,mai,TECH,-
1Q2557,250.73,,,-13.29,-0.05,-1.18,-2.09,82.32,16.89,-5.30,0.73,-212.54,6.25,"1,732.66",52.20,2.94,2.14,0.18,36.27,SIMAT,mai,TECH,-
2Q2557,289.04,20.00,,-11.04,-0.04,-0.98,-1.74,83.19,14.90,-3.82,0.81,-144.31,4.98,"1,657.65",N/A,2.76,1.97,0.20,45.85,SIMAT,mai,TECH,-
3Q2557,319.35,0.00,,-14.88,-0.04,-1.26,-2.25,85.80,14.06,-4.66,0.76,-106.33,5.35,"1,985.55",N/A,3.29,1.76,0.17,80.96,SIMAT,mai,TECH,-
4Q2557,455.49,25.00,,-11.56,-0.03,-0.91,-1.69,85.95,13.56,-2.54,0.97,-108.08,4.60,"1,707.21",N/A,2.59,1.77,0.20,174.44,SIMAT,mai,TECH,-
1Q2558,404.51,-100.00,-20.00,-20.72,-0.06,-1.57,-3.05,86.50,13.22,-5.12,0.92,-138.82,5.90,"2,230.98",N/A,3.52,1.71,0.00,257.34,SIMAT,mai,TECH,-
2Q2558,317.86,0.00,-50.00,-20.36,-0.06,-1.55,-2.98,83.12,16.63,-6.41,0.92,-129.59,5.30,"2,035.94",N/A,3.17,1.70,0.00,399.95,SIMAT,mai,TECH,-
