,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"5,181.89",-69.03,-60.00,340.41,0.05,0.91,2.93,73.81,24.79,6.57,2.26,"1,968.86",1.96,"14,014.14",6.95,1.23,1.61,7.09,11.22,SIRI,SET,PROPCON,PROP
2Q2555,"5,551.25",29.17,-67.37,450.09,0.06,1.12,3.88,77.08,21.58,8.11,2.68,"1,963.78",2.12,"15,311.32",7.16,1.29,1.66,6.49,12.21,SIRI,SET,PROPCON,PROP
3Q2555,"5,280.15",-8.06,,409.27,0.06,0.94,3.43,73.33,25.32,7.75,2.60,"1,955.96",2.86,"20,798.43",9.17,1.83,1.58,4.78,14.85,SIRI,SET,PROPCON,PROP
4Q2555,"14,072.47",326.32,56.77,"1,819.06",0.24,3.99,13.32,83.75,15.92,12.93,2.11,"1,837.43",3.52,"27,746.34",12.25,2.22,1.72,3.58,12.35,SIRI,SET,PROPCON,PROP
1Q2556,"5,180.47",,,-86.43,-0.01,-0.18,-0.57,66.59,32.06,-1.67,2.20,"1,876.56",4.78,"40,077.63",13.28,2.70,1.88,3.55,17.76,SIRI,SET,PROPCON,PROP
2Q2556,"7,703.41",,-3.23,520.90,0.06,1.01,3.33,74.65,23.64,6.76,2.40,"1,799.44",3.12,"28,411.71",10.96,1.80,1.88,5.00,14.87,SIRI,SET,PROPCON,PROP
3Q2556,"7,136.16",-21.67,-17.54,437.80,0.05,0.80,2.78,76.07,22.61,6.13,2.56,"1,834.63",2.30,"21,921.93",8.23,1.41,1.70,6.49,14.57,SIRI,SET,PROPCON,PROP
4Q2556,"8,966.65",140.43,-53.50,"1,056.80",0.11,1.81,6.40,79.86,19.09,11.79,2.52,"2,123.22",1.79,"17,065.03",6.34,1.07,1.68,8.33,18.30,SIRI,SET,PROPCON,PROP
1Q2557,"4,429.87",-23.01,,829.99,0.09,1.32,4.74,67.17,31.14,18.74,2.66,"2,391.30",1.89,"18,073.17",9.37,1.06,1.79,5.29,14.79,SIRI,SET,PROPCON,PROP
2Q2557,"6,143.94",-35.63,-6.67,537.41,0.06,0.81,3.03,78.64,20.33,8.75,2.84,"2,850.51",2.02,"19,383.77",6.81,1.08,1.88,4.93,16.03,SIRI,SET,PROPCON,PROP
3Q2557,"7,380.85",14.29,36.17,793.91,0.06,1.16,4.34,80.52,18.19,10.76,2.69,"3,184.19",2.24,"21,610.42",7.55,1.23,1.83,4.42,14.59,SIRI,SET,PROPCON,PROP
