,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"5,562.53",,-70.45,26.42,0.13,0.41,2.04,94.80,3.66,0.48,4.21,527.42,12.40,"2,618.68",18.25,2.05,6.06,1.21,28.02,SIS,SET,TECH,ICT
2Q2555,"6,114.70",,,-86.84,-0.41,-1.25,-6.95,96.47,3.31,-1.42,4.97,514.36,9.30,"2,169.39",27.85,1.66,5.62,1.46,141.47,SIS,SET,TECH,ICT
3Q2555,"5,130.93",-112.20,,-194.78,-0.87,-2.91,-17.77,94.91,4.33,-3.80,5.26,465.19,8.00,"1,866.14",N/A,1.56,5.12,1.70,-35.88,SIS,SET,TECH,ICT
4Q2555,"5,255.74",-132.18,-220.63,-483.46,-2.02,-8.94,-63.83,84.23,15.13,-9.20,7.86,251.24,7.00,"1,634.26",N/A,1.64,4.28,1.94,-10.66,SIS,SET,TECH,ICT
1Q2556,"4,843.19",,61.54,49.96,0.21,1.03,7.29,94.68,4.26,1.03,5.02,100.31,5.95,"1,389.12",N/A,2.69,2.21,0.00,-10.46,SIS,SET,TECH,ICT
2Q2556,"5,128.57",23.81,,63.18,0.26,1.20,5.89,95.30,4.28,1.23,3.15,47.39,4.56,"1,596.91",N/A,1.87,3.66,0.00,-15.23,SIS,SET,TECH,ICT
3Q2556,"4,331.10",-61.54,,45.59,0.10,0.86,3.47,94.50,4.83,1.05,2.88,13.50,4.46,"1,561.89",N/A,1.21,3.69,0.00,-34.57,SIS,SET,TECH,ICT
4Q2556,"4,042.21",-30.00,,31.44,0.07,0.61,2.32,95.35,4.20,0.78,2.68,77.44,4.46,"1,561.89",N/A,1.17,3.82,0.00,14.14,SIS,SET,TECH,ICT
1Q2557,"4,856.38",71.43,-42.86,41.29,0.12,0.85,2.97,96.35,3.46,0.85,2.33,143.93,4.28,"1,498.85",7.88,1.09,3.91,4.67,13.12,SIS,SET,TECH,ICT
2Q2557,"4,633.35",33.33,-38.46,57.76,0.16,1.21,4.11,97.00,2.82,1.25,2.47,232.12,4.38,"1,533.87",8.45,1.09,4.03,4.57,13.79,SIS,SET,TECH,ICT
