,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,8.22,,,,,,,,,SISB,SET,SERVICE,PROF
3Q2561,690.39,,,71.54,0.12,3.98,32.10,,24.94,10.36,6.24,,,,,,,,,SISB,SET,SERVICE,PROF
4Q2561,256.96,-66.67,,31.98,0.04,1.49,3.44,337.00,25.87,12.44,0.52,,4.28,"4,023.20",49.05,,0.00,0.00,11.03,SISB,SET,SERVICE,PROF
1Q2562,268.64,25.00,,42.46,0.05,1.73,2.62,,27.67,15.80,0.51,,7.20,"6,768.00",65.38,4.24,1.70,0.00,15.13,SISB,SET,SERVICE,PROF
2Q2562,272.39,0.00,,52.04,0.05,1.95,3.12,,22.89,19.11,0.69,,7.40,"6,956.00",56.51,4.24,1.75,0.00,18.46,SISB,SET,SERVICE,PROF
3Q2562,289.68,20.00,-50.00,60.40,0.06,2.19,3.51,,23.76,20.85,0.53,,8.80,"8,272.00",53.60,4.89,1.80,0.00,27.81,SISB,SET,SERVICE,PROF
4Q2562,298.49,16.67,75.00,65.98,0.07,2.46,3.69,,22.32,22.10,0.48,,9.60,"9,024.00",48.29,5.15,1.86,0.00,27.37,SISB,SET,SERVICE,PROF
1Q2563,286.09,-14.29,20.00,58.85,0.06,2.02,3.19,,24.16,20.57,0.67,,7.20,"6,768.00",,,,1.39,19.62,SISB,SET,SERVICE,PROF
2Q2563,228.20,-88.33,-86.00,4.26,0.01,0.13,0.23,,30.33,1.87,0.81,,9.70,"9,118.00",38.43,4.86,2.00,1.03,28.87,SISB,SET,SERVICE,PROF
3Q2563,267.06,371.43,-45.00,28.74,0.03,0.91,1.60,,24.38,10.76,0.69,,8.50,"7,990.00",42.17,4.47,1.90,1.18,26.88,SISB,SET,SERVICE,PROF
4Q2563,295.18,112.12,0.00,68.08,0.07,2.18,3.69,,29.66,23.06,0.69,,8.90,"8,366.00",53.01,4.61,1.93,1.12,26.78,SISB,SET,SERVICE,PROF
1Q2564,297.08,7.29,25.17,70.60,0.08,2.20,3.69,73.97,24.41,23.76,0.66,,10.70,"10,058.00",62.89,5.36,2.00,0.71,31.62,SISB,SET,SERVICE,PROF
2Q2564,271.23,-7.26,895.00,65.47,0.07,2.07,3.37,74.91,24.28,24.14,0.60,,9.65,"9,071.00",52.84,4.66,2.07,0.79,24.28,SISB,SET,SERVICE,PROF
3Q2564,258.63,-29.59,48.61,46.10,0.05,1.46,2.35,74.86,23.88,17.82,0.63,,9.50,"8,930.00",38.35,4.60,2.07,0.80,23.33,SISB,SET,SERVICE,PROF
1Q2565,289.13,37.09,-10.48,63.20,0.07,1.90,3.11,72.39,26.04,21.86,0.64,,10.30,"9,682.00",,,,0.97,24.99,SISB,SET,SERVICE,PROF
2Q2565,307.93,23.89,19.58,78.30,0.08,2.19,3.78,75.67,22.69,25.43,0.81,,11.40,"10,810.00",53.69,5.20,2.21,0.87,27.79,SISB,SET,SERVICE,PROF
3Q2565,348.94,27.01,115.72,99.44,0.11,2.66,4.71,77.20,20.68,28.50,0.74,,16.80,"16,262.00",75.93,7.89,2.19,0.58,37.23,SISB,SET,SERVICE,PROF
