,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.21,-54.74,,,,,,,,SKE,SET,RESOURC,ENERG
3Q2560,247.33,,,55.63,0.08,7.70,10.29,75.23,17.55,22.49,0.52,-64.26,,,,,,,,SKE,SET,RESOURC,ENERG
4Q2560,86.37,-71.25,,18.29,0.02,2.12,2.74,72.75,20.66,21.18,0.17,-81.04,1.61,"1,497.30",17.75,,0.00,0.00,10.08,SKE,SET,RESOURC,ENERG
1Q2561,84.34,-17.39,,17.88,0.02,1.70,1.99,71.66,20.78,21.20,0.16,-85.35,1.50,"1,395.00",18.87,1.57,0.95,0.00,8.39,SKE,SET,RESOURC,ENERG
2Q2561,88.16,-26.05,,12.86,0.01,1.17,1.35,67.83,24.71,14.59,0.16,-113.46,1.17,"1,088.10",15.93,1.20,0.97,0.00,17.49,SKE,SET,RESOURC,ENERG
3Q2561,82.81,13.52,-80.06,13.70,0.02,1.19,1.38,68.88,23.54,16.55,0.16,-132.95,1.30,"1,209.00",18.15,1.32,0.99,0.00,16.27,SKE,SET,RESOURC,ENERG
4Q2561,70.05,-10.97,-38.26,12.85,0.01,0.97,1.27,62.12,24.95,18.35,0.46,-286.01,1.03,957.90,15.10,1.03,1.00,0.00,18.31,SKE,SET,RESOURC,ENERG
1Q2562,70.38,-53.87,-65.53,5.00,0.01,0.32,0.49,60.69,29.32,7.10,0.55,-308.53,1.10,"1,023.00",17.40,1.08,1.02,5.45,23.52,SKE,SET,RESOURC,ENERG
2Q2562,79.44,174.81,28.11,18.88,0.02,1.18,1.88,49.04,27.84,23.77,0.63,-291.66,1.08,"1,004.40",21.40,1.06,1.02,5.56,22.12,SKE,SET,RESOURC,ENERG
3Q2562,102.83,,,-2.31,-0.00,-0.14,-0.23,65.47,28.18,-2.24,0.74,-294.24,1.10,"1,023.00",20.24,1.12,0.98,5.45,24.34,SKE,SET,RESOURC,ENERG
4Q2562,141.45,,-52.96,3.54,0.01,0.20,0.36,76.31,20.30,2.50,0.82,-190.18,0.86,799.80,22.84,0.88,0.98,6.98,18.41,SKE,SET,RESOURC,ENERG
1Q2563,143.63,108.98,113.13,13.98,0.01,0.80,1.40,77.48,18.49,9.73,0.68,-150.83,0.50,465.00,,,,5.00,10.20,SKE,SET,RESOURC,ENERG
2Q2563,133.38,-1.22,-23.39,14.28,0.01,0.85,1.43,78.86,17.20,10.71,0.69,-142.69,0.81,753.30,21.83,0.81,1.00,3.09,11.25,SKE,SET,RESOURC,ENERG
3Q2563,135.89,-46.92,,6.18,0.01,0.37,0.62,76.55,19.76,4.55,0.64,-108.07,0.61,567.30,18.54,0.62,0.99,4.10,8.40,SKE,SET,RESOURC,ENERG
4Q2563,120.76,-31.42,-24.85,2.88,0.01,0.18,0.29,71.68,23.16,2.39,0.61,-52.34,0.64,595.20,15.33,0.64,0.99,3.91,8.74,SKE,SET,RESOURC,ENERG
1Q2564,120.56,18.53,-57.38,6.92,0.01,0.43,0.69,74.77,24.65,5.74,0.59,-41.29,1.12,"1,041.60",27.93,1.12,1.00,1.34,12.77,SKE,SET,RESOURC,ENERG
2Q2564,149.44,123.36,-3.63,15.90,0.01,0.94,1.52,65.18,24.91,10.64,0.64,-99.42,1.14,"1,272.24",42.64,1.36,0.97,1.10,14.33,SKE,SET,RESOURC,ENERG
3Q2564,112.21,-84.57,-71.99,3.31,0.00,0.19,0.31,74.31,23.43,2.95,0.60,-161.22,1.04,"1,160.64",38.81,1.16,0.90,1.20,13.51,SKE,SET,RESOURC,ENERG
4Q2564,119.25,118.54,-10.76,5.91,0.00,0.36,0.55,75.20,23.18,4.96,0.46,-160.54,0.99,"1,104.84",42.17,1.10,0.90,1.26,12.29,SKE,SET,RESOURC,ENERG
1Q2565,112.94,,,-4.09,-0.00,-0.25,-0.38,73.79,23.59,-3.62,0.55,-174.28,0.89,993.24,,,,0.00,11.55,SKE,SET,RESOURC,ENERG
2Q2565,138.69,,23.63,21.68,0.02,1.23,1.96,66.37,24.11,15.63,0.65,-117.19,0.77,859.32,45.75,0.85,0.90,0.00,11.16,SKE,SET,RESOURC,ENERG
3Q2565,120.32,,,-5.03,-0.00,-0.27,-0.45,74.74,25.05,-4.18,0.63,-40.00,0.76,892.80,36.85,0.87,0.92,0.00,12.59,SKE,SET,RESOURC,ENERG
