,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.70,-110.48,,,,,,,,SKN,SET,PROPCON,CONMAT
2Q2560,749.84,,,103.71,0.17,5.37,14.14,83.31,15.71,13.83,1.57,-149.32,,,,,,,,SKN,SET,PROPCON,CONMAT
3Q2560,391.43,-49.58,,53.81,0.09,2.06,3.66,78.73,19.91,13.75,0.52,-161.36,9.40,"7,520.00",33.16,,0.00,0.00,10.13,SKN,SET,PROPCON,CONMAT
4Q2560,444.33,-1.37,,68.43,0.09,2.30,3.05,84.18,14.28,15.40,0.14,-168.28,6.90,"5,520.00",27.87,2.50,2.76,0.00,6.31,SKN,SET,PROPCON,CONMAT
1Q2561,377.07,-25.37,,51.32,0.06,1.85,2.23,77.78,19.79,13.61,0.26,-269.39,6.55,"5,240.00",23.19,2.30,2.85,1.64,11.74,SKN,SET,PROPCON,CONMAT
2Q2561,376.32,-44.12,-79.26,31.61,0.04,1.04,1.37,80.94,18.11,8.40,0.39,-384.21,5.00,"4,000.00",16.31,1.72,2.91,2.15,13.83,SKN,SET,PROPCON,CONMAT
3Q2561,434.68,130.49,-5.19,63.18,0.08,1.97,2.74,79.87,18.57,14.54,0.39,-420.18,4.66,"3,728.00",18.17,1.64,2.84,2.30,13.43,SKN,SET,PROPCON,CONMAT
4Q2561,383.13,-6.37,-9.99,60.68,0.08,1.84,2.56,80.48,16.49,15.84,0.39,-416.43,3.68,"2,944.00",13.72,1.26,2.92,2.92,12.55,SKN,SET,PROPCON,CONMAT
1Q2562,567.81,-94.04,-92.81,3.69,0.00,0.11,0.15,80.43,17.40,0.65,0.40,-303.33,2.86,"2,288.00",11.06,0.95,3.00,3.43,11.35,SKN,SET,PROPCON,CONMAT
2Q2562,520.11,16.92,-84.97,5.26,0.01,0.16,0.22,82.21,16.35,1.01,0.46,-150.25,2.02,"1,616.00",10.15,0.67,3.00,4.86,9.36,SKN,SET,PROPCON,CONMAT
3Q2562,669.90,760.85,-43.85,36.17,0.05,1.06,1.54,81.12,17.28,5.40,0.46,-60.10,2.16,"1,728.00",13.01,0.74,2.91,4.55,9.65,SKN,SET,PROPCON,CONMAT
4Q2562,617.92,-58.86,-75.33,15.27,0.02,0.45,0.64,83.13,15.15,2.47,0.41,-35.74,2.14,"1,712.00",16.18,0.72,2.96,4.59,8.95,SKN,SET,PROPCON,CONMAT
1Q2563,630.92,98.32,721.26,30.29,0.04,0.89,1.26,82.84,16.49,4.80,0.42,-32.75,1.55,"1,240.00",,,,1.97,6.82,SKN,SET,PROPCON,CONMAT
2Q2563,541.44,103.17,"1,327.09",61.54,0.08,1.78,2.53,83.87,15.59,11.37,0.42,-32.27,2.00,"1,600.00",18.39,0.66,3.02,1.53,6.63,SKN,SET,PROPCON,CONMAT
3Q2563,650.28,-45.38,-9.46,33.60,0.04,0.96,1.36,82.71,16.84,5.17,0.42,-51.36,2.42,"1,936.00",13.51,0.79,3.06,1.26,7.59,SKN,SET,PROPCON,CONMAT
4Q2563,656.47,12.02,146.52,37.65,0.05,1.05,1.55,83.87,15.81,5.74,0.52,-51.53,2.04,"1,632.00",11.60,0.66,3.10,1.50,6.88,SKN,SET,PROPCON,CONMAT
1Q2564,748.69,129.75,185.58,86.50,0.11,2.38,3.56,78.94,20.60,11.55,0.47,-31.98,3.50,"2,800.00",17.17,1.17,2.98,4.82,8.01,SKN,SET,PROPCON,CONMAT
2Q2564,963.31,100.45,181.76,173.38,0.22,4.71,6.78,77.66,22.03,18.00,0.41,-24.79,5.65,"4,520.00",20.61,1.83,3.09,2.99,9.09,SKN,SET,PROPCON,CONMAT
3Q2564,872.41,15.80,497.41,200.78,0.25,5.32,7.31,76.77,22.93,23.01,0.34,12.19,8.20,"6,560.00",19.81,2.48,3.31,2.06,9.34,SKN,SET,PROPCON,CONMAT
1Q2565,"1,058.99",11.81,159.54,224.50,0.28,5.60,7.20,76.14,22.74,21.20,0.24,20.94,8.20,"6,560.00",,,,3.41,6.87,SKN,SET,PROPCON,CONMAT
2Q2565,913.27,-33.80,-14.29,148.61,0.19,3.53,4.44,77.84,22.05,16.27,0.28,37.19,6.70,"5,360.00",5.86,1.58,4.23,4.18,5.39,SKN,SET,PROPCON,CONMAT
3Q2565,868.87,-15.85,-37.71,125.05,0.16,2.94,3.71,74.36,26.08,14.39,0.24,62.47,4.92,"4,040.00",4.54,1.22,4.14,5.54,4.21,SKN,SET,PROPCON,CONMAT
