,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,0.23,-24.77,,,,,,,,SKY,SET,TECH,ICT
1Q2557,37.27,,,1.27,0.01,0.87,1.09,74.21,21.73,3.40,0.28,-35.29,,,,,,,,SKY,SET,TECH,ICT
2Q2557,88.63,582.15,,8.64,0.05,5.37,7.36,87.08,11.78,9.75,0.45,-76.17,,,,,,,,SKY,SET,TECH,ICT
3Q2557,60.53,-17.89,,7.72,0.04,3.73,4.97,81.66,16.68,12.75,0.25,-91.34,3.14,722.20,35.38,0.00,0.00,0.00,15.56,SKY,SET,TECH,ICT
4Q2557,46.59,-76.04,,2.84,0.01,1.23,1.49,74.18,21.96,6.09,0.17,-172.94,3.32,763.60,37.69,4.04,0.82,0.00,26.70,SKY,SET,TECH,ICT
1Q2558,40.81,-40.00,-19.46,1.40,0.01,0.62,0.73,72.30,24.95,3.43,0.17,-173.68,3.12,717.60,35.07,3.74,0.83,1.28,24.30,SKY,SET,TECH,ICT
2Q2558,39.10,-86.67,-98.43,0.16,0.00,0.07,0.09,71.70,25.76,0.42,0.19,-112.56,3.00,690.00,33.50,3.57,0.84,1.33,37.49,SKY,SET,TECH,ICT
3Q2558,83.10,"4,340.00",-14.88,8.17,0.04,3.50,4.34,88.07,11.45,9.83,0.29,-149.29,2.64,607.20,50.09,3.30,0.80,1.52,34.77,SKY,SET,TECH,ICT
4Q2558,42.55,-78.38,-23.20,2.18,0.01,0.91,1.13,71.59,23.88,5.12,0.19,-157.14,2.24,515.20,40.98,2.68,0.84,1.79,30.04,SKY,SET,TECH,ICT
1Q2559,74.88,17.45,50.33,2.07,0.01,0.86,1.06,84.36,14.29,2.77,0.27,-177.69,2.32,533.60,44.79,2.75,0.84,1.72,31.50,SKY,SET,TECH,ICT
2Q2559,60.74,-12.64,885.00,1.82,0.01,0.62,0.94,79.04,18.42,2.99,0.79,-232.29,2.12,487.60,38.74,2.49,0.85,1.89,30.69,SKY,SET,TECH,ICT
3Q2559,72.70,-55.58,-90.15,0.81,0.00,0.24,0.43,80.60,16.82,1.11,0.80,-214.52,2.84,653.20,45.88,3.46,0.82,1.41,69.24,SKY,SET,TECH,ICT
4Q2559,108.43,471.43,160.42,4.59,0.02,1.29,2.39,90.62,8.78,4.23,0.91,-422.75,3.34,768.20,111.75,4.05,0.82,1.20,64.60,SKY,SET,TECH,ICT
