,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,584.44,,78.98,274.67,0.66,13.05,23.75,11.11,10.55,47.00,0.66,-580.95,8.95,"3,733.91",N/A,3.65,2.46,2.24,-4.25,SMT,SET,TECH,ETRON
2Q2555,615.92,,,-108.26,-0.26,-4.67,-8.72,88.29,6.82,-17.58,1.10,-737.03,8.25,"3,448.24",N/A,2.65,3.12,2.43,-3.67,SMT,SET,TECH,ETRON
3Q2555,"1,789.00",,"2,848.89",552.66,1.33,18.18,37.70,61.44,2.23,30.89,1.06,-904.11,11.70,"4,891.52",N/A,4.08,2.87,1.71,-8.51,SMT,SET,TECH,ETRON
4Q2555,"1,843.75",-97.66,,12.38,0.03,0.33,0.71,88.79,2.74,0.67,1.22,-925.47,11.00,"4,586.26",N/A,2.63,4.20,1.82,6.91,SMT,SET,TECH,ETRON
1Q2556,"2,301.19","2,241.94",9.34,302.45,0.73,7.55,15.83,81.20,2.15,13.14,0.99,"-1,086.53",10.60,"4,420.64",6.02,2.51,4.23,0.00,6.23,SMT,SET,TECH,ETRON
2Q2556,"1,936.26",,24.31,-82.05,-0.19,-2.08,-4.03,95.92,2.69,-4.24,0.88,-815.82,7.15,"2,989.97",3.92,1.45,4.95,0.00,4.28,SMT,SET,TECH,ETRON
3Q2556,"1,979.18",,-96.91,14.30,0.04,0.39,0.71,95.68,2.65,0.72,0.76,-515.68,7.00,"2,927.44",3.72,1.47,4.76,0.00,7.44,SMT,SET,TECH,ETRON
4Q2556,"1,884.00",,,-98.46,-0.23,-2.78,-5.00,95.72,3.98,-5.23,0.84,-251.29,7.50,"3,136.58",12.41,1.56,4.80,0.00,9.86,SMT,SET,TECH,ETRON
1Q2557,"2,090.49",,-92.15,21.63,0.06,0.60,1.12,93.98,2.39,1.03,0.94,-215.86,6.75,"2,823.04",19.57,1.48,4.55,0.00,22.72,SMT,SET,TECH,ETRON
2Q2557,"2,262.25",,44.04,-45.47,-0.11,-1.26,-2.38,97.75,2.16,-2.01,0.83,-313.20,7.00,"2,927.67",N/A,1.52,4.60,0.00,18.33,SMT,SET,TECH,ETRON
