,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,815.43",488.51,-24.80,133.37,0.47,3.83,6.66,95.48,3.70,7.35,0.87,"-1,785.48",29.25,"8,816.04",16.20,4.34,6.74,5.47,14.86,SNC,SET,INDUS,IMM
2Q2555,"2,255.84",23.07,-20.39,168.34,0.57,4.13,8.04,96.61,3.05,7.46,1.02,"-1,680.89",25.25,"7,266.38",15.24,3.50,7.20,6.34,14.45,SNC,SET,INDUS,IMM
3Q2555,"1,726.85",-45.97,-19.70,87.85,0.31,2.19,4.35,94.28,4.78,5.09,0.95,"-1,516.52",27.25,"7,841.93",18.05,3.79,7.18,5.87,15.44,SNC,SET,INDUS,IMM
4Q2555,"1,896.64",18.05,361.93,107.61,0.37,2.81,5.47,95.92,3.66,5.67,0.94,"-1,563.38",24.50,"7,050.54",17.14,3.78,6.49,6.53,12.02,SNC,SET,INDUS,IMM
1Q2556,"2,332.22",50.30,17.97,157.81,0.55,3.84,7.53,95.64,3.54,6.77,0.98,"-1,561.68",24.60,"7,079.32",14.34,3.62,6.79,6.50,11.53,SNC,SET,INDUS,IMM
2Q2556,"2,000.08",-10.56,-14.27,142.32,0.49,3.44,6.58,95.45,4.01,7.12,0.84,"-1,429.46",24.30,"6,992.99",13.49,3.30,7.37,6.58,11.16,SNC,SET,INDUS,IMM
3Q2556,"1,327.67",-57.70,-32.87,64.31,0.21,1.74,3.07,93.50,5.91,4.84,0.67,"-1,326.27",19.50,"5,611.66",11.38,2.69,7.26,8.21,9.28,SNC,SET,INDUS,IMM
4Q2556,"1,540.80",6.02,-39.71,65.71,0.22,1.82,3.17,94.27,5.19,4.26,0.81,"-1,175.96",15.70,"4,518.10",9.69,2.28,6.87,10.19,8.44,SNC,SET,INDUS,IMM
1Q2557,"2,477.93",143.14,-2.47,155.25,0.54,3.68,7.11,95.94,3.55,6.27,1.04,"-1,185.43",15.50,"4,460.55",10.54,2.19,7.09,6.45,9.22,SNC,SET,INDUS,IMM
2Q2557,"1,804.57",-49.32,-44.74,78.07,0.27,1.80,3.46,94.44,5.15,4.33,0.80,"-1,087.91",18.80,"5,410.21",12.92,2.46,7.63,5.32,10.63,SNC,SET,INDUS,IMM
3Q2557,"1,390.28",-14.23,12.04,67.33,0.23,1.72,3.00,94.10,5.34,4.84,0.69,"-1,115.96",16.90,"4,863.44",13.66,2.25,7.50,5.92,9.33,SNC,SET,INDUS,IMM
4Q2557,"1,770.44",15.79,22.37,75.97,0.27,1.91,3.34,94.28,5.11,4.29,0.80,"-1,130.79",14.00,"4,028.88",11.13,1.88,7.43,7.14,8.05,SNC,SET,INDUS,IMM
1Q2558,"2,782.62",126.53,14.00,174.85,0.61,3.76,7.47,96.14,3.47,6.28,1.17,"-1,153.42",15.40,"4,431.77",11.74,2.00,7.70,4.29,9.42,SNC,SET,INDUS,IMM
2Q2558,"2,327.16",-50.10,12.25,89.24,0.31,1.80,3.69,95.56,4.10,3.83,0.94,"-1,247.73",15.70,"4,518.10",11.32,1.97,7.95,4.20,8.56,SNC,SET,INDUS,IMM
3Q2558,"1,426.21",-36.27,-16.59,56.81,0.19,1.30,2.35,93.56,5.50,3.98,0.66,"-1,228.49",13.70,"3,942.55",9.65,1.66,8.26,4.82,6.97,SNC,SET,INDUS,IMM
4Q2558,"1,647.25",61.01,15.99,89.83,0.31,2.22,3.71,93.53,5.80,5.45,0.68,"-1,173.31",13.70,"3,942.55",9.92,1.72,7.95,4.82,7.10,SNC,SET,INDUS,IMM
1Q2559,"2,487.66",82.50,-6.55,165.28,0.57,3.59,6.50,94.77,4.90,6.64,0.93,"-1,041.83",14.70,"4,230.33",10.32,1.78,8.25,6.12,8.52,SNC,SET,INDUS,IMM
2Q2559,"1,936.88",-47.75,-2.15,84.48,0.30,1.71,3.24,92.70,6.67,4.36,0.86,-897.02,15.00,"4,316.66",10.84,1.70,8.82,6.00,8.16,SNC,SET,INDUS,IMM
3Q2559,"1,464.27",-12.92,33.70,72.83,0.26,1.53,2.82,91.12,7.69,4.97,0.82,-831.28,13.40,"3,856.22",9.73,1.54,8.71,6.72,7.46,SNC,SET,INDUS,IMM
4Q2559,"1,638.39",2.20,-15.14,74.77,0.27,1.51,2.82,91.13,7.59,4.56,0.91,-774.41,15.00,"4,316.66",10.38,1.77,8.48,6.00,8.47,SNC,SET,INDUS,IMM
1Q2560,"2,475.46",27.96,-40.50,97.65,0.34,1.74,3.59,94.82,4.25,3.94,1.22,-791.07,16.80,"4,834.66",12.04,1.92,8.74,5.36,10.62,SNC,SET,INDUS,IMM
2Q2560,"2,092.30",18.86,35.36,116.85,0.40,2.02,4.23,92.30,7.00,5.58,0.97,-745.20,14.50,"4,172.77",12.48,1.67,8.68,6.21,8.37,SNC,SET,INDUS,IMM
3Q2560,"1,422.37",-41.64,-9.28,69.26,0.24,1.33,2.51,93.21,6.13,4.87,0.79,-768.44,14.50,"4,172.77",11.41,1.62,8.96,6.21,7.69,SNC,SET,INDUS,IMM
4Q2560,"1,598.94",70.01,50.91,122.19,0.40,2.52,4.41,92.82,6.21,7.64,0.71,-789.86,14.00,"4,028.88",11.25,1.59,8.80,6.43,7.12,SNC,SET,INDUS,IMM
1Q2561,"2,267.58",51.30,78.43,175.06,0.61,3.28,6.14,94.15,4.66,7.72,1.03,-812.57,15.40,"4,431.77",11.04,1.67,9.21,5.84,7.74,SNC,SET,INDUS,IMM
2Q2561,"1,632.31",-38.21,-7.24,108.88,0.37,2.00,3.73,91.40,6.68,6.67,0.71,-871.07,14.00,"4,028.88",8.42,1.50,9.32,6.43,6.33,SNC,SET,INDUS,IMM
3Q2561,"1,400.28",-29.80,11.58,77.17,0.26,1.56,2.63,89.94,7.85,5.51,0.66,-845.84,14.70,"4,230.33",9.01,1.52,9.70,6.12,6.40,SNC,SET,INDUS,IMM
4Q2561,"1,334.90",-4.27,-37.17,75.87,0.25,1.57,2.59,90.15,6.33,5.68,0.63,-888.96,13.50,"3,884.99",8.14,1.43,9.46,6.67,5.94,SNC,SET,INDUS,IMM
1Q2562,"2,066.37",126.26,-6.04,166.60,0.57,3.20,5.61,93.22,5.07,8.06,0.88,-885.76,13.30,"3,827.44",8.89,1.37,9.69,7.52,6.98,SNC,SET,INDUS,IMM
2Q2562,"1,968.07",-50.77,-25.14,80.58,0.28,1.47,2.67,93.02,5.86,4.09,0.76,-937.15,13.90,"4,000.11",9.49,1.42,9.77,7.19,6.92,SNC,SET,INDUS,IMM
3Q2562,"1,265.82",444.01,480.06,439.80,1.53,8.39,13.70,91.44,7.12,34.74,0.52,-989.73,13.30,"3,827.44",9.74,1.33,10.03,7.52,3.92,SNC,SET,INDUS,IMM
4Q2562,"1,420.36",-91.35,-47.55,39.32,0.13,0.75,1.16,91.88,6.75,2.77,0.59,-986.19,10.00,"2,877.77",3.80,0.90,11.05,10.00,3.54,SNC,SET,INDUS,IMM
