,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,509.63",4.88,97.70,172.28,1.72,5.65,8.63,65.91,32.83,11.41,0.47,-16.33,87.00,"9,107.71",18.80,4.63,18.77,4.60,9.13,SNP,SET,AGRO,FOOD
2Q2555,"1,498.06",-29.65,132.69,116.45,1.21,3.91,5.81,62.79,35.43,7.77,0.51,-26.59,135.00,"14,132.65",24.64,6.59,20.49,2.96,13.14,SNP,SET,AGRO,FOOD
3Q2555,"1,760.13",92.56,45.63,231.63,2.33,7.80,11.81,67.92,31.07,13.16,0.52,-29.68,165.00,"17,273.24",26.77,8.74,18.89,2.42,15.07,SNP,SET,AGRO,FOOD
4Q2555,"1,832.99",-15.88,19.51,192.18,1.96,5.92,9.16,65.26,34.15,10.48,0.57,-31.40,172.50,"18,058.38",25.02,8.74,19.74,2.32,15.76,SNP,SET,AGRO,FOOD
1Q2556,"1,630.39",-29.08,-19.19,137.50,1.39,4.03,6.10,63.28,34.92,8.43,0.46,-34.64,190.00,"19,890.39",26.33,8.76,21.68,3.16,18.00,SNP,SET,AGRO,FOOD
2Q2556,"1,614.82",-20.14,-8.26,112.82,1.11,3.54,5.22,63.16,35.72,6.99,0.49,-35.11,153.50,"16,069.34",22.30,6.68,22.97,3.91,14.81,SNP,SET,AGRO,FOOD
3Q2556,"1,918.01",101.80,-3.86,222.96,2.24,7.22,10.81,66.59,32.74,11.62,0.50,-43.52,132.00,"13,818.59",19.46,6.72,19.65,4.55,12.76,SNP,SET,AGRO,FOOD
4Q2556,"1,914.54",-26.79,-16.33,161.34,1.64,4.80,7.32,63.95,35.14,8.43,0.54,-42.41,135.00,"13,241.03",20.14,6.52,20.72,4.44,12.77,SNP,SET,AGRO,FOOD
1Q2557,"1,673.80",-32.32,-20.14,109.09,1.11,3.13,4.65,60.81,38.06,6.52,0.43,-39.80,0.00,"13,633.35",21.78,6.19,22.46,3.96,13.25,SNP,SET,AGRO,FOOD
2Q2557,"1,699.05",,,73.94,-0.74,2.24,3.32,60.11,38.35,4.35,0.54,-34.27,29.00,"14,221.84",23.74,6.15,4.71,3.79,14.29,SNP,SET,AGRO,FOOD
3Q2557,"1,949.30",,-87.95,124.47,0.27,3.89,5.94,62.36,36.57,6.39,0.51,-24.41,26.50,"12,995.82",23.05,6.59,4.02,4.15,14.53,SNP,SET,AGRO,FOOD
4Q2557,"2,018.39",37.04,-77.44,189.43,0.37,5.53,8.52,63.59,35.54,9.38,0.56,-22.48,27.00,"13,241.03",27.89,6.47,4.17,4.07,14.09,SNP,SET,AGRO,FOOD
1Q2558,"1,767.13",-32.43,-77.48,120.25,0.25,3.39,5.07,61.18,37.85,6.80,0.43,-21.22,26.50,"12,995.82",26.11,5.82,4.56,3.02,13.36,SNP,SET,AGRO,FOOD
2Q2558,"1,746.52",0.00,,127.18,0.25,3.77,5.47,60.21,38.66,7.28,0.48,-26.15,26.50,"12,995.82",25.54,5.54,4.78,3.02,12.60,SNP,SET,AGRO,FOOD
3Q2558,"2,060.56",56.00,44.44,195.08,0.39,5.76,8.55,63.81,35.43,9.47,0.49,-27.43,27.00,"13,241.03",23.59,6.19,4.36,2.96,11.83,SNP,SET,AGRO,FOOD
4Q2558,"2,056.31",-12.82,-8.11,165.56,0.34,4.54,6.85,62.28,36.44,8.05,0.52,-37.53,28.00,"13,731.43",22.09,6.13,4.57,2.86,12.70,SNP,SET,AGRO,FOOD
1Q2559,"1,807.66",-47.06,-28.00,89.55,0.18,2.39,3.52,59.23,39.30,4.95,0.43,-38.72,28.50,"13,976.64",23.06,5.80,4.91,3.86,13.12,SNP,SET,AGRO,FOOD
2Q2559,"1,853.30",55.56,12.00,138.51,0.28,3.92,5.70,61.04,38.11,7.47,0.49,-33.56,27.00,"13,241.03",23.08,5.31,5.09,4.07,12.17,SNP,SET,AGRO,FOOD
3Q2559,"2,131.14",-14.29,-38.46,119.41,0.24,3.44,5.19,63.00,36.44,5.60,0.53,-35.04,26.50,"12,995.82",22.24,5.96,4.45,4.15,13.05,SNP,SET,AGRO,FOOD
4Q2559,"2,139.93",-20.83,-44.12,90.68,0.19,2.49,3.81,57.47,37.73,4.24,0.53,-34.99,25.50,"12,505.41",24.34,5.56,4.59,4.31,13.96,SNP,SET,AGRO,FOOD
1Q2560,"1,854.83",-10.53,-5.56,83.07,0.17,2.27,3.37,59.30,39.39,4.48,0.44,-39.87,24.90,"12,211.17",27.91,5.24,4.75,3.21,13.48,SNP,SET,AGRO,FOOD
2Q2560,"1,816.92",-5.88,-42.86,67.33,0.16,1.93,2.84,58.41,40.72,3.71,0.50,-40.58,23.80,"11,671.72",26.72,4.83,4.93,3.36,14.40,SNP,SET,AGRO,FOOD
3Q2560,"2,098.58",81.25,20.83,137.87,0.29,3.95,6.03,60.42,38.45,6.57,0.55,-45.04,22.40,"10,985.15",29.31,5.11,4.39,3.57,13.33,SNP,SET,AGRO,FOOD
