,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,431.17,147.48,123.38,22.73,3.44,1.94,6.51,78.14,20.39,5.27,2.22,92.60,43.00,347.65,20.52,2.94,43.91,2.33,6.10,SORKON,SET,AGRO,FOOD
2Q2555,462.56,,,18.28,-0.59,1.55,4.10,74.81,23.48,3.95,1.25,95.16,71.50,"1,734.23",27.45,4.53,47.38,1.40,13.00,SORKON,SET,AGRO,FOOD
3Q2555,457.14,,-61.38,26.27,0.95,2.21,4.85,74.42,22.85,5.75,1.15,96.01,82.75,"2,007.10",30.63,3.81,21.74,1.21,13.53,SORKON,SET,AGRO,FOOD
4Q2555,495.29,8.42,-25.90,26.23,1.03,2.14,4.60,78.61,22.10,5.30,1.14,97.90,69.50,"1,685.72",22.21,3.05,22.82,1.44,11.37,SORKON,SET,AGRO,FOOD
1Q2556,461.90,1.94,-69.48,25.58,1.05,2.04,4.30,76.98,21.70,5.54,1.08,100.55,74.00,"1,794.87",19.28,3.08,24.06,3.28,12.26,SORKON,SET,AGRO,FOOD
2Q2556,496.37,-21.78,,19.87,0.82,1.57,3.39,76.39,22.21,4.00,1.24,88.78,73.50,"1,782.74",18.50,2.95,24.90,3.31,12.55,SORKON,SET,AGRO,FOOD
3Q2556,502.94,6.99,-7.51,21.41,0.88,1.71,3.71,77.54,21.28,4.26,1.11,75.71,71.25,"1,728.17",17.67,3.06,23.29,3.41,12.35,SORKON,SET,AGRO,FOOD
4Q2556,558.02,17.22,0.00,24.93,1.03,1.96,4.16,74.51,24.18,4.47,1.14,61.49,71.25,"1,728.17",18.60,2.95,24.17,3.41,13.43,SORKON,SET,AGRO,FOOD
1Q2557,526.16,21.36,19.05,30.51,1.25,2.30,4.86,75.86,23.52,5.80,1.09,49.09,72.00,"1,746.36",19.07,2.86,25.19,3.38,13.04,SORKON,SET,AGRO,FOOD
2Q2557,552.59,-21.60,19.32,23.61,0.98,1.72,3.78,74.41,24.85,4.27,1.30,43.69,79.75,"1,934.34",20.05,3.02,26.44,3.05,14.35,SORKON,SET,AGRO,FOOD
3Q2557,541.43,0.00,11.53,24.03,0.98,1.69,3.88,73.63,25.79,4.44,1.28,41.29,88.00,"2,134.44",21.30,3.52,24.98,2.76,15.49,SORKON,SET,AGRO,FOOD
4Q2557,612.77,39.80,33.01,33.26,1.37,2.18,5.13,73.52,25.67,5.43,1.42,34.88,77.00,"1,867.63",18.16,2.96,25.98,3.16,13.55,SORKON,SET,AGRO,FOOD
1Q2558,567.21,1.46,11.20,33.63,1.39,2.08,4.93,74.02,25.62,5.93,1.32,30.03,81.00,"1,964.65",17.68,2.96,27.34,3.40,13.62,SORKON,SET,AGRO,FOOD
2Q2558,586.99,-29.78,-0.41,23.31,0.98,1.40,3.44,73.80,25.93,3.97,1.60,24.78,82.00,"1,988.91",17.40,2.85,28.73,3.35,14.07,SORKON,SET,AGRO,FOOD
3Q2558,588.77,16.27,15.79,27.30,1.13,1.57,4.08,72.65,26.34,4.64,1.61,19.61,79.75,"1,934.34",16.89,2.96,26.96,3.45,13.43,SORKON,SET,AGRO,FOOD
4Q2558,651.33,40.05,16.00,38.00,1.59,2.08,5.49,75.85,23.19,5.83,1.68,19.94,82.25,"1,994.97",16.89,2.93,28.06,3.34,12.72,SORKON,SET,AGRO,FOOD
1Q2559,632.47,-14.43,-2.16,33.01,1.36,1.75,4.60,73.73,25.33,5.22,1.60,20.44,81.50,"1,976.78",16.01,2.82,28.85,3.37,12.11,SORKON,SET,AGRO,FOOD
2Q2559,660.50,-50.74,-31.35,17.55,0.67,0.85,2.34,72.41,27.94,2.66,1.93,22.44,61.25,"1,980.83",16.11,2.71,30.18,3.37,12.84,SORKON,SET,AGRO,FOOD
3Q2559,658.47,-74.63,-85.02,9.59,0.17,0.43,1.25,74.14,25.93,1.46,1.85,15.03,65.25,"2,110.18",18.07,2.76,23.61,3.16,14.05,SORKON,SET,AGRO,FOOD
4Q2559,712.04,841.18,0.68,48.69,1.60,2.17,6.10,72.99,26.16,6.84,1.79,14.12,61.25,"1,980.83",20.03,2.56,23.91,3.37,12.90,SORKON,SET,AGRO,FOOD
1Q2560,653.50,-43.13,-33.09,29.46,0.91,1.29,3.52,74.00,24.22,4.51,1.69,13.32,62.75,"2,029.34",18.59,2.47,25.42,4.38,12.80,SORKON,SET,AGRO,FOOD
2Q2560,713.92,23.08,67.16,36.33,1.12,1.57,4.40,75.81,23.06,5.09,1.92,2.90,64.25,"2,077.84",19.70,2.44,26.33,4.28,12.26,SORKON,SET,AGRO,FOOD
3Q2560,690.88,3.57,582.35,37.71,1.16,1.61,4.61,75.03,24.18,5.46,1.80,2.10,76.00,"2,457.84",19.80,3.08,24.70,3.62,12.00,SORKON,SET,AGRO,FOOD
4Q2560,684.52,-11.21,-35.63,33.24,1.03,1.38,3.75,76.70,25.67,4.86,1.64,-4.63,81.75,"2,643.80",17.38,3.16,25.87,3.36,13.09,SORKON,SET,AGRO,FOOD
1Q2561,696.47,52.43,72.53,50.93,1.57,2.02,5.29,72.95,23.57,7.31,1.59,-18.80,0.00,"2,336.57",17.13,2.49,28.96,3.04,10.80,SORKON,SET,AGRO,FOOD
2Q2561,743.52,31.21,83.93,66.83,2.06,2.70,6.77,74.61,23.73,8.99,1.43,-22.00,65.50,"2,118.27",13.42,2.15,30.53,3.36,8.89,SORKON,SET,AGRO,FOOD
3Q2561,746.35,-31.55,21.55,45.56,1.41,1.93,4.52,73.13,23.39,6.10,1.26,-24.21,71.50,"2,312.31",12.28,2.35,30.40,3.08,9.07,SORKON,SET,AGRO,FOOD
4Q2561,743.57,-38.30,-15.53,28.33,0.87,1.20,2.71,73.50,26.84,3.81,1.27,-24.61,68.25,"2,207.20",11.25,2.15,31.80,3.22,9.20,SORKON,SET,AGRO,FOOD
1Q2562,696.63,32.18,-26.75,37.19,1.15,1.54,3.45,78.27,20.54,5.34,1.23,-18.91,70.00,"2,263.80",11.84,2.14,32.68,3.57,9.88,SORKON,SET,AGRO,FOOD
2Q2562,727.58,-47.83,-70.87,19.64,0.60,0.81,1.85,77.11,21.80,2.70,1.32,-15.23,63.00,"2,037.42",11.48,1.86,33.82,3.97,11.40,SORKON,SET,AGRO,FOOD
3Q2562,695.77,-78.33,-90.78,4.33,0.13,0.18,0.42,78.94,20.29,0.62,1.35,-5.92,60.75,"1,964.65",15.07,1.91,31.86,4.12,13.46,SORKON,SET,AGRO,FOOD
4Q2562,744.99,"1,123.08",82.76,51.33,1.59,2.05,4.84,80.07,19.09,6.89,1.36,5.20,50.50,"1,633.17",18.32,1.58,31.94,4.95,10.92,SORKON,SET,AGRO,FOOD
1Q2563,726.41,-35.22,-10.43,33.53,1.03,1.31,3.04,79.55,19.70,4.62,1.29,6.95,0.00,"1,398.70",,,,4.62,10.07,SORKON,SET,AGRO,FOOD
2Q2563,694.49,,,31.20,-0.83,1.21,2.83,79.19,20.54,4.49,1.39,14.32,51.25,"1,657.42",15.29,1.48,34.56,3.90,10.48,SORKON,SET,AGRO,FOOD
3Q2563,684.44,,-7.27,39.50,0.12,1.53,3.57,76.20,20.49,5.77,1.27,13.84,5.30,"1,714.02",14.29,1.58,3.35,3.77,9.08,SORKON,SET,AGRO,FOOD
4Q2563,688.58,-83.41,-98.74,6.23,0.02,0.24,0.55,78.69,21.22,0.90,1.32,3.43,5.75,"1,859.55",11.99,1.65,3.47,3.48,11.25,SORKON,SET,AGRO,FOOD
1Q2564,674.16,432.15,-89.67,34.53,0.11,1.30,2.97,78.19,19.41,5.12,1.25,6.82,4.98,"1,610.53",14.65,1.41,3.54,4.02,10.30,SORKON,SET,AGRO,FOOD
2Q2564,705.61,43.06,,49.38,0.15,1.83,4.21,79.91,18.61,7.00,1.35,7.47,4.72,"1,526.45",13.76,1.30,3.64,4.24,9.87,SORKON,SET,AGRO,FOOD
3Q2564,684.40,-82.10,-77.40,8.90,0.03,0.33,0.76,79.90,21.58,1.30,1.31,12.78,5.60,"1,811.04",14.03,1.56,3.60,3.57,12.10,SORKON,SET,AGRO,FOOD
1Q2565,756.39,179.78,-28.37,24.75,0.08,0.90,2.04,80.94,18.28,3.27,1.24,25.24,5.05,"1,633.17",,,,2.97,10.56,SORKON,SET,AGRO,FOOD
2Q2565,779.35,63.88,-17.94,40.46,0.12,1.44,3.25,79.86,19.35,5.19,1.29,26.70,5.45,"1,827.21",13.77,1.47,3.85,2.65,10.79,SORKON,SET,AGRO,FOOD
3Q2565,824.22,-56.00,101.72,17.85,0.05,0.62,1.43,78.88,19.59,2.17,1.32,42.79,5.15,"1,697.85",13.71,1.37,3.83,2.86,11.33,SORKON,SET,AGRO,FOOD
