,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,597.72",-28.57,-65.12,275.48,0.15,1.34,2.45,80.32,18.46,17.24,0.80,"4,411.69",15.60,"26,778.23",10.43,2.49,6.26,4.17,10.34,SPALI,SET,PROPCON,PROP
2Q2555,"1,753.20",20.00,-62.50,324.39,0.18,1.55,2.87,83.72,15.38,18.50,0.91,"5,257.77",17.10,"29,353.06",13.99,2.67,6.42,3.80,15.48,SPALI,SET,PROPCON,PROP
3Q2555,"2,606.62",83.33,-13.16,589.41,0.33,2.73,5.25,87.11,12.17,22.61,0.94,"5,397.77",19.60,"33,644.44",21.43,3.11,6.29,3.32,19.10,SPALI,SET,PROPCON,PROP
4Q2555,"5,691.85",184.85,347.62,"1,632.40",0.94,7.17,13.52,89.35,9.21,28.68,0.84,"4,733.93",17.70,"30,382.99",20.50,2.80,6.32,3.67,10.10,SPALI,SET,PROPCON,PROP
1Q2556,"2,139.82",-71.28,80.00,475.34,0.27,2.01,3.62,84.66,13.75,22.21,0.78,"4,840.61",20.50,"35,189.34",12.83,2.82,7.26,3.17,11.10,SPALI,SET,PROPCON,PROP
2Q2556,"1,879.74",-33.07,0.39,319.34,0.18,1.27,2.42,82.58,16.35,16.99,1.03,"4,860.08",17.70,"30,382.99",10.30,2.35,7.54,3.67,10.50,SPALI,SET,PROPCON,PROP
3Q2556,"1,978.59",13.04,-38.10,373.42,0.20,1.36,2.88,81.16,16.69,18.87,1.20,"5,114.11",15.80,"27,121.54",9.20,2.14,7.37,4.11,10.90,SPALI,SET,PROPCON,PROP
4Q2556,"6,743.86",401.80,9.04,"1,782.31",1.03,6.04,12.91,91.28,8.27,26.43,1.09,"5,395.92",14.60,"25,061.68",9.16,2.01,7.27,4.45,10.43,SPALI,SET,PROPCON,PROP
1Q2557,"3,236.17",-58.05,59.26,765.86,0.43,2.43,5.08,87.93,11.45,23.67,1.09,,17.80,"30,554.65",10.60,2.14,8.30,3.93,11.06,SPALI,SET,PROPCON,PROP
2Q2557,"2,647.55",-27.91,71.55,558.39,0.31,1.64,3.63,85.63,13.58,21.09,1.33,,21.90,"37,592.52",11.93,2.51,8.73,3.20,12.63,SPALI,SET,PROPCON,PROP
