,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,109.15",,65.25,174.45,5.04,4.48,5.12,89.67,8.07,15.73,0.14,"1,424.12",89.00,"3,070.50",9.24,0.93,95.67,5.62,4.88,SPG,SET,INDUS,AUTO
2Q2555,"1,027.64",-7.74,-1.90,161.34,4.65,4.08,4.62,87.49,8.77,15.70,0.12,"1,417.10",99.00,"3,415.50",8.52,0.98,100.71,5.05,5.99,SPG,SET,INDUS,AUTO
3Q2555,916.63,-3.66,65.31,156.94,4.48,3.86,4.41,85.98,6.75,17.12,0.16,"1,469.86",128.50,"4,433.25",11.14,1.28,100.36,3.89,7.02,SPG,SET,INDUS,AUTO
4Q2555,"1,011.07",-27.23,,112.84,3.26,2.68,3.05,94.75,4.65,11.16,0.12,"1,422.59",129.00,"4,450.50",9.70,1.23,104.84,3.88,5.35,SPG,SET,INDUS,AUTO
1Q2556,953.81,-86.20,-91.07,156.85,0.45,3.65,4.09,87.54,8.56,16.44,0.12,"1,501.09",188.00,"6,486.00",10.78,1.74,108.11,4.79,7.63,SPG,SET,INDUS,AUTO
2Q2556,971.41,-2.22,-90.54,151.48,0.44,3.53,3.95,88.36,9.29,15.59,0.12,"1,440.28",17.80,"6,141.00",10.52,1.58,11.26,5.06,7.86,SPG,SET,INDUS,AUTO
3Q2556,866.76,31.82,-87.05,203.49,0.58,4.78,5.28,80.87,8.15,23.48,0.09,"1,468.15",17.00,"5,865.00",10.21,1.57,10.80,5.29,7.01,SPG,SET,INDUS,AUTO
4Q2556,"1,017.15",-27.59,-87.12,144.09,0.42,3.31,3.64,95.12,3.74,14.17,0.11,"1,473.55",18.80,"6,486.00",10.46,1.65,11.38,4.79,7.69,SPG,SET,INDUS,AUTO
1Q2557,895.99,-9.52,-15.56,131.72,0.38,2.96,3.27,87.36,9.37,14.70,0.10,"1,468.05",18.80,"6,486.00",9.96,1.65,11.40,4.79,7.85,SPG,SET,INDUS,AUTO
2Q2557,925.15,-10.53,-22.73,118.56,0.34,2.63,2.92,88.39,10.19,12.82,0.12,"1,500.70",30.00,"10,350.00",16.54,2.55,11.78,3.00,13.01,SPG,SET,INDUS,AUTO
3Q2557,759.55,-29.41,-58.62,84.27,0.24,1.86,2.07,87.50,10.63,11.10,0.10,"1,413.66",37.50,"12,937.50",21.82,3.23,11.62,2.40,19.23,SPG,SET,INDUS,AUTO
4Q2557,966.54,33.33,-23.81,110.90,0.32,2.42,2.65,97.15,2.77,11.47,0.10,"1,514.32",0.00,"10,953.75",23.00,2.68,11.86,2.83,17.21,SPG,SET,INDUS,AUTO
1Q2558,824.30,-15.63,-28.95,94.56,0.27,2.02,2.21,87.10,10.79,11.47,0.09,"1,438.17",0.00,"10,005.00",22.57,2.38,12.18,2.41,16.98,SPG,SET,INDUS,AUTO
2Q2558,990.26,59.26,26.47,147.22,0.43,3.12,3.44,89.52,8.57,14.87,0.11,"1,334.56",0.00,"8,970.00",22.07,2.09,12.46,2.69,14.64,SPG,SET,INDUS,AUTO
3Q2558,691.03,-32.56,20.83,99.21,0.29,2.14,2.35,85.43,12.18,14.36,0.09,"1,170.30",0.00,"8,349.00",19.20,1.99,12.19,2.89,13.18,SPG,SET,INDUS,AUTO
4Q2558,928.48,44.83,31.25,148.41,0.42,3.19,3.46,97.03,3.66,15.98,0.09,"1,008.45",0.00,"6,969.00",15.47,1.67,12.13,3.47,10.12,SPG,SET,INDUS,AUTO
1Q2559,837.60,-7.14,44.44,136.01,0.39,2.82,3.07,83.89,14.37,16.24,0.09,823.94,0.00,"8,452.50",17.33,1.95,12.55,2.86,11.21,SPG,SET,INDUS,AUTO
2Q2559,914.36,30.77,18.60,174.74,0.51,3.53,3.86,86.18,12.26,19.11,0.10,777.95,18.00,"6,210.00",11.74,1.39,12.96,3.89,7.86,SPG,SET,INDUS,AUTO
