,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,1.38,-48.06,,,,,,,,SPVI,mai,TECH,-
3Q2556,"1,702.57",,,10.40,0.04,2.47,5.36,90.87,8.67,0.61,0.89,-26.13,,,,,,,,SPVI,mai,TECH,-
4Q2556,602.29,-50.00,,5.85,0.02,1.58,2.67,91.94,8.02,0.97,0.55,-16.83,1.03,412.00,19.06,0.00,0.00,0.00,4.42,SPVI,mai,TECH,-
1Q2557,553.77,-50.00,,5.16,0.01,1.20,1.90,90.72,8.83,0.93,0.59,-10.71,0.93,372.00,22.88,1.38,0.67,1.75,3.84,SPVI,mai,TECH,-
2Q2557,445.84,-30.00,,1.68,0.01,0.39,0.62,89.48,10.22,0.38,0.54,12.62,1.39,556.00,28.62,2.02,0.69,1.17,10.77,SPVI,mai,TECH,-
3Q2557,366.58,-14.29,-85.00,2.38,0.01,0.58,0.88,85.82,12.68,0.65,0.49,5.21,1.78,712.00,41.60,2.64,0.68,0.92,16.37,SPVI,mai,TECH,-
4Q2557,592.18,183.33,-15.00,6.49,0.02,1.56,2.35,91.23,8.32,1.10,0.53,16.74,1.53,612.00,40.59,2.25,0.68,1.07,15.80,SPVI,mai,TECH,-
1Q2558,505.72,-41.18,0.00,5.24,0.01,1.25,1.89,89.32,9.88,1.04,0.49,23.47,1.36,544.00,34.61,1.95,0.70,1.47,13.37,SPVI,mai,TECH,-
2Q2558,415.49,,,-4.24,-0.01,-0.98,-1.55,87.41,11.87,-1.02,0.66,17.50,1.18,472.00,29.90,1.71,0.69,1.69,16.92,SPVI,mai,TECH,-
3Q2558,432.08,,-50.00,0.85,0.00,0.20,0.31,86.00,13.37,0.20,0.44,28.37,1.14,456.00,46.20,1.68,0.68,1.75,17.12,SPVI,mai,TECH,-
4Q2558,518.39,400.00,-11.76,6.84,0.01,1.66,2.48,89.13,10.33,1.32,0.55,18.37,0.95,380.00,45.57,1.39,0.68,2.11,14.77,SPVI,mai,TECH,-
1Q2559,418.06,,,-3.74,-0.01,-0.87,-1.35,85.40,13.83,-0.89,0.54,5.10,0.94,376.00,43.28,1.35,0.70,2.13,20.52,SPVI,mai,TECH,-
2Q2559,430.10,,,0.94,0.00,0.22,0.35,86.74,12.21,0.22,0.68,4.11,0.88,352.00,N/A,1.28,0.69,2.27,16.91,SPVI,mai,TECH,-
3Q2559,397.99,3.32,3.67,1.25,0.00,0.30,0.46,86.29,13.02,0.31,0.41,7.88,0.82,328.00,66.99,1.22,0.67,2.44,15.07,SPVI,mai,TECH,-
4Q2559,551.31,346.30,-7.47,6.69,0.01,1.72,2.45,88.89,10.52,1.21,0.44,14.98,0.80,320.00,60.50,1.19,0.67,2.50,15.56,SPVI,mai,TECH,-
1Q2560,486.24,-27.95,,2.06,0.01,0.52,0.74,87.50,11.81,0.42,0.40,42.02,0.75,300.00,58.41,1.09,0.69,1.60,11.19,SPVI,mai,TECH,-
2Q2560,439.95,20.00,298.67,6.87,0.01,1.83,2.46,85.90,13.14,1.56,0.29,92.42,0.76,304.00,27.80,1.09,0.69,1.58,8.71,SPVI,mai,TECH,-
3Q2560,498.24,83.33,607.40,8.83,0.02,2.36,3.11,87.26,11.68,1.77,0.34,117.37,1.49,596.00,35.34,2.13,0.70,0.81,12.83,SPVI,mai,TECH,-
4Q2560,671.76,63.64,159.37,12.70,0.04,2.89,4.30,87.98,11.13,1.89,0.64,108.31,1.79,716.00,29.28,2.48,0.72,0.67,14.79,SPVI,mai,TECH,-
1Q2561,614.26,-44.44,100.00,9.21,0.02,1.96,3.01,87.47,11.54,1.50,0.44,106.36,1.36,544.00,17.85,1.80,0.75,2.94,9.49,SPVI,mai,TECH,-
2Q2561,579.50,25.00,108.33,8.63,0.03,1.93,2.81,86.26,12.65,1.49,0.47,86.29,1.18,472.00,12.55,1.52,0.78,3.39,8.38,SPVI,mai,TECH,-
3Q2561,601.62,0.00,13.64,8.46,0.03,1.84,2.75,86.59,12.02,1.41,0.53,70.20,1.68,672.00,17.07,2.22,0.76,2.38,11.47,SPVI,mai,TECH,-
4Q2561,796.08,60.00,11.11,18.93,0.04,3.51,5.91,88.37,10.35,2.38,0.83,70.08,1.10,440.00,11.28,1.41,0.78,3.64,8.41,SPVI,mai,TECH,-
1Q2562,776.21,0.00,100.00,14.92,0.04,2.59,4.44,88.26,10.56,1.92,0.60,76.67,1.34,536.00,11.85,1.63,0.82,4.48,8.08,SPVI,mai,TECH,-
2Q2562,800.32,-25.00,20.00,12.68,0.03,2.10,3.75,88.06,10.55,1.58,0.98,51.01,1.62,648.00,12.72,1.89,0.86,3.70,10.06,SPVI,mai,TECH,-
3Q2562,737.72,33.33,60.00,16.22,0.04,2.71,4.76,87.35,11.25,2.20,0.54,59.16,2.08,832.00,15.13,2.50,0.83,2.88,9.72,SPVI,mai,TECH,-
4Q2562,"1,295.66",100.00,100.00,31.88,0.08,5.04,8.76,91.51,7.60,2.46,0.92,63.89,3.04,"1,216.00",19.38,3.49,0.87,1.97,12.73,SPVI,mai,TECH,-
1Q2563,745.78,-62.50,-25.00,12.10,0.03,1.77,3.31,87.05,11.52,1.62,0.82,67.50,1.47,588.00,7.77,1.55,0.95,6.80,5.55,SPVI,mai,TECH,-
2Q2563,704.38,0.00,0.00,11.64,0.03,1.48,3.26,89.81,9.04,1.65,1.59,15.65,2.50,"1,000.00",13.72,2.85,0.88,4.00,8.17,SPVI,mai,TECH,-
3Q2563,700.33,-33.33,-50.00,7.85,0.02,1.01,2.14,87.44,11.17,1.12,0.67,32.00,3.06,"1,224.00",17.04,3.37,0.91,3.27,9.85,SPVI,mai,TECH,-
4Q2563,"1,484.48",400.00,25.00,41.71,0.10,5.63,10.66,92.16,7.20,2.81,1.10,98.29,2.90,"1,160.00",18.28,3.13,0.93,3.45,9.57,SPVI,mai,TECH,-
1Q2564,"1,387.64",-20.00,166.67,33.82,0.08,4.03,7.88,92.10,7.18,2.44,0.82,125.68,5.65,"2,260.00",30.83,5.48,1.03,1.95,13.35,SPVI,mai,TECH,-
2Q2564,"1,177.40",-37.50,66.67,16.85,0.05,2.20,3.90,90.64,8.21,1.43,0.71,218.56,6.65,"2,660.00",27.99,5.96,1.12,1.65,14.23,SPVI,mai,TECH,-
3Q2564,"1,003.01",-34.70,63.25,14.38,0.03,1.93,3.38,90.98,8.77,1.43,0.78,206.40,6.10,"2,440.00",24.34,5.82,1.05,1.80,12.34,SPVI,mai,TECH,-
4Q2564,"2,005.21",349.59,46.79,60.50,0.15,7.75,13.08,93.20,6.23,3.02,0.61,172.32,7.20,"2,880.00",26.97,6.65,1.08,1.53,12.72,SPVI,mai,TECH,-
1Q2565,"1,256.37",-52.82,-13.44,27.70,0.07,3.42,5.48,90.38,8.61,2.20,0.59,169.34,6.65,"2,660.00",21.18,5.41,1.23,2.63,12.27,SPVI,mai,TECH,-
2Q2565,"1,391.30",-2.58,34.92,26.98,0.07,3.17,5.42,91.21,8.09,1.94,0.84,154.82,4.58,"1,840.00",15.41,3.54,1.30,3.80,8.46,SPVI,mai,TECH,-
3Q2565,"1,319.67",7.75,122.63,29.08,0.07,3.37,5.92,89.84,9.11,2.20,0.68,186.67,5.40,"2,240.00",17.29,4.70,1.19,3.13,8.95,SPVI,mai,TECH,-
